ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion
3,BAJA CALIFORNIA SUR,1,LA PAZ,PAN_PRS,5867,15773,43,694,16467,31836,5867
3,BAJA CALIFORNIA SUR,1,LA PAZ,PRI,3292,15773,43,694,16467,31836,3292
3,BAJA CALIFORNIA SUR,1,LA PAZ,PRI_PVEM...9,NA,15773,43,694,16467,31836,3292
3,BAJA CALIFORNIA SUR,1,LA PAZ,PRD_PT_MC,1965,15773,43,694,16467,31836,1965
3,BAJA CALIFORNIA SUR,1,LA PAZ,PVEM,804,15773,43,694,16467,31836,804
3,BAJA CALIFORNIA SUR,1,LA PAZ,NUAL,213,15773,43,694,16467,31836,213
3,BAJA CALIFORNIA SUR,1,LA PAZ,MORENA,1054,15773,43,694,16467,31836,1054
3,BAJA CALIFORNIA SUR,1,LA PAZ,PH,364,15773,43,694,16467,31836,364
3,BAJA CALIFORNIA SUR,1,LA PAZ,ES,1244,15773,43,694,16467,31836,1244
3,BAJA CALIFORNIA SUR,1,LA PAZ,BS,374,15773,43,694,16467,31836,374
3,BAJA CALIFORNIA SUR,1,LA PAZ,FACA,NA,15773,43,694,16467,31836,0
3,BAJA CALIFORNIA SUR,1,LA PAZ,JLCM,NA,15773,43,694,16467,31836,0
3,BAJA CALIFORNIA SUR,1,LA PAZ,JRM,NA,15773,43,694,16467,31836,0
3,BAJA CALIFORNIA SUR,1,LA PAZ,ISRM,NA,15773,43,694,16467,31836,0
3,BAJA CALIFORNIA SUR,1,LA PAZ,MARM,NA,15773,43,694,16467,31836,0
3,BAJA CALIFORNIA SUR,1,LA PAZ,PRI_PVEM_NUAL,226,15773,43,694,16467,31836,4535
3,BAJA CALIFORNIA SUR,1,LA PAZ,PRI_PVEM...23,302,15773,43,694,16467,31836,3594
3,BAJA CALIFORNIA SUR,1,LA PAZ,PRI_NUAL,23,15773,43,694,16467,31836,3528
3,BAJA CALIFORNIA SUR,1,LA PAZ,PVEM_NUAL,2,15773,43,694,16467,31836,1019
3,BAJA CALIFORNIA SUR,2,LA PAZ,PAN_PRS,5311,11098,34,453,11551,19608,5311
3,BAJA CALIFORNIA SUR,2,LA PAZ,PRI,2640,11098,34,453,11551,19608,2640
3,BAJA CALIFORNIA SUR,2,LA PAZ,PRI_PVEM...9,NA,11098,34,453,11551,19608,2640
3,BAJA CALIFORNIA SUR,2,LA PAZ,PRD_PT_MC,621,11098,34,453,11551,19608,621
3,BAJA CALIFORNIA SUR,2,LA PAZ,PVEM,237,11098,34,453,11551,19608,237
3,BAJA CALIFORNIA SUR,2,LA PAZ,NUAL,144,11098,34,453,11551,19608,144
3,BAJA CALIFORNIA SUR,2,LA PAZ,MORENA,882,11098,34,453,11551,19608,882
3,BAJA CALIFORNIA SUR,2,LA PAZ,PH,540,11098,34,453,11551,19608,540
3,BAJA CALIFORNIA SUR,2,LA PAZ,ES,441,11098,34,453,11551,19608,441
3,BAJA CALIFORNIA SUR,2,LA PAZ,BS,NA,11098,34,453,11551,19608,0
3,BAJA CALIFORNIA SUR,2,LA PAZ,FACA,NA,11098,34,453,11551,19608,0
3,BAJA CALIFORNIA SUR,2,LA PAZ,JLCM,NA,11098,34,453,11551,19608,0
3,BAJA CALIFORNIA SUR,2,LA PAZ,JRM,NA,11098,34,453,11551,19608,0
3,BAJA CALIFORNIA SUR,2,LA PAZ,ISRM,NA,11098,34,453,11551,19608,0
3,BAJA CALIFORNIA SUR,2,LA PAZ,MARM,NA,11098,34,453,11551,19608,0
