ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion
23,QUINTANA ROO,1,KANTUNILKIN,PAN,4160,41748,55,2003,43806,93477,4160
23,QUINTANA ROO,1,KANTUNILKIN,PRI,928,41748,55,2003,43806,93477,928
23,QUINTANA ROO,1,KANTUNILKIN,PRD,368,41748,55,2003,43806,93477,368
23,QUINTANA ROO,1,KANTUNILKIN,PVEM,11975,41748,55,2003,43806,93477,11975
23,QUINTANA ROO,1,KANTUNILKIN,PT,1675,41748,55,2003,43806,93477,1675
23,QUINTANA ROO,1,KANTUNILKIN,MC,1983,41748,55,2003,43806,93477,1983
23,QUINTANA ROO,1,KANTUNILKIN,MORENA,10802,41748,55,2003,43806,93477,10802
23,QUINTANA ROO,1,KANTUNILKIN,MAS,5616,41748,55,2003,43806,93477,5616
23,QUINTANA ROO,1,KANTUNILKIN,CXQROO,390,41748,55,2003,43806,93477,390
23,QUINTANA ROO,1,KANTUNILKIN,FXMQROO,2906,41748,55,2003,43806,93477,2906
23,QUINTANA ROO,1,KANTUNILKIN,CAND_IND1,NA,41748,55,2003,43806,93477,0
23,QUINTANA ROO,1,KANTUNILKIN,PAN_PRD_CXQROO,83,41748,55,2003,43806,93477,5001
23,QUINTANA ROO,1,KANTUNILKIN,PAN_PRD,67,41748,55,2003,43806,93477,4595
23,QUINTANA ROO,1,KANTUNILKIN,PAN_CXQROO,5,41748,55,2003,43806,93477,4555
23,QUINTANA ROO,1,KANTUNILKIN,PRD_CXQROO,1,41748,55,2003,43806,93477,759
23,QUINTANA ROO,1,KANTUNILKIN,PVEM_PT_MORENA_FXMQROO,46,41748,55,2003,43806,93477,27404
23,QUINTANA ROO,1,KANTUNILKIN,PVEM_PT_MORENA,52,41748,55,2003,43806,93477,24504
