Año,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion,Coalición
2015,3,BAJA CALIFORNIA SUR,1,LA PAZ,PAN_PRS,5867,15773,43,694,16467,31836,5867,Sí
2015,3,BAJA CALIFORNIA SUR,1,LA PAZ,PRI,3292,15773,43,694,16467,31836,3292,No
2015,3,BAJA CALIFORNIA SUR,1,LA PAZ,PRD_PT_MC,1965,15773,43,694,16467,31836,1965,Sí
2015,3,BAJA CALIFORNIA SUR,1,LA PAZ,PVEM,804,15773,43,694,16467,31836,804,No
2015,3,BAJA CALIFORNIA SUR,1,LA PAZ,NUAL,213,15773,43,694,16467,31836,213,No
2015,3,BAJA CALIFORNIA SUR,1,LA PAZ,MORENA,1054,15773,43,694,16467,31836,1054,No
2015,3,BAJA CALIFORNIA SUR,1,LA PAZ,PH,364,15773,43,694,16467,31836,364,No
2015,3,BAJA CALIFORNIA SUR,1,LA PAZ,ES,1244,15773,43,694,16467,31836,1244,No
2015,3,BAJA CALIFORNIA SUR,1,LA PAZ,BS,374,15773,43,694,16467,31836,374,No
2015,3,BAJA CALIFORNIA SUR,1,LA PAZ,PRI_PVEM_NUAL,226,15773,43,694,16467,31836,4535,Sí
2015,3,BAJA CALIFORNIA SUR,1,LA PAZ,PRI_PVEM...23,302,15773,43,694,16467,31836,3594,Sí
2015,3,BAJA CALIFORNIA SUR,1,LA PAZ,PRI_NUAL,23,15773,43,694,16467,31836,3528,Sí
2015,3,BAJA CALIFORNIA SUR,1,LA PAZ,PVEM_NUAL,2,15773,43,694,16467,31836,1019,Sí
2015,3,BAJA CALIFORNIA SUR,2,LA PAZ,PAN_PRS,5311,11098,34,453,11551,19608,5311,Sí
2015,3,BAJA CALIFORNIA SUR,2,LA PAZ,PRI,2640,11098,34,453,11551,19608,2640,No
2015,3,BAJA CALIFORNIA SUR,2,LA PAZ,PRD_PT_MC,621,11098,34,453,11551,19608,621,Sí
2015,3,BAJA CALIFORNIA SUR,2,LA PAZ,PVEM,237,11098,34,453,11551,19608,237,No
2015,3,BAJA CALIFORNIA SUR,2,LA PAZ,NUAL,144,11098,34,453,11551,19608,144,No
2015,3,BAJA CALIFORNIA SUR,2,LA PAZ,MORENA,882,11098,34,453,11551,19608,882,No
2015,3,BAJA CALIFORNIA SUR,2,LA PAZ,PH,540,11098,34,453,11551,19608,540,No
2015,3,BAJA CALIFORNIA SUR,2,LA PAZ,ES,441,11098,34,453,11551,19608,441,No
