Año,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion,Coalición
2018,1,AGUASCALIENTES,1,RINCON DE ROMOS,PAN,6836,25604,15,1196,26815,48443,6836,No
2018,1,AGUASCALIENTES,1,RINCON DE ROMOS,PRI,5815,25604,15,1196,26815,48443,5815,No
2018,1,AGUASCALIENTES,1,RINCON DE ROMOS,PRD,372,25604,15,1196,26815,48443,372,No
2018,1,AGUASCALIENTES,1,RINCON DE ROMOS,PT,1853,25604,15,1196,26815,48443,1853,No
2018,1,AGUASCALIENTES,1,RINCON DE ROMOS,PVEM,1505,25604,15,1196,26815,48443,1505,No
2018,1,AGUASCALIENTES,1,RINCON DE ROMOS,MC,823,25604,15,1196,26815,48443,823,No
2018,1,AGUASCALIENTES,1,RINCON DE ROMOS,NUAL,2996,25604,15,1196,26815,48443,2996,No
2018,1,AGUASCALIENTES,1,RINCON DE ROMOS,MORENA,4580,25604,15,1196,26815,48443,4580,No
2018,1,AGUASCALIENTES,1,RINCON DE ROMOS,ES,374,25604,15,1196,26815,48443,374,No
2018,1,AGUASCALIENTES,1,RINCON DE ROMOS,PAN_PRD_MC,111,25604,15,1196,26815,48443,8142,Sí
2018,1,AGUASCALIENTES,1,RINCON DE ROMOS,PAN_PRD,32,25604,15,1196,26815,48443,7240,Sí
2018,1,AGUASCALIENTES,1,RINCON DE ROMOS,PAN_MC,39,25604,15,1196,26815,48443,7698,Sí
2018,1,AGUASCALIENTES,1,RINCON DE ROMOS,PRD_MC,15,25604,15,1196,26815,48443,1210,Sí
2018,1,AGUASCALIENTES,1,RINCON DE ROMOS,PT_MORENA_ES,118,25604,15,1196,26815,48443,6925,Sí
2018,1,AGUASCALIENTES,1,RINCON DE ROMOS,PT_MORENA,88,25604,15,1196,26815,48443,6521,Sí
2018,1,AGUASCALIENTES,1,RINCON DE ROMOS,PT_ES,14,25604,15,1196,26815,48443,2241,Sí
2018,1,AGUASCALIENTES,1,RINCON DE ROMOS,MORENA_ES,33,25604,15,1196,26815,48443,4987,Sí
2018,1,AGUASCALIENTES,10,AGUASCALIENTES,PAN,13864,33285,56,1417,34758,56227,13864,No
2018,1,AGUASCALIENTES,10,AGUASCALIENTES,PRI,6325,33285,56,1417,34758,56227,6325,No
2018,1,AGUASCALIENTES,10,AGUASCALIENTES,PRD,500,33285,56,1417,34758,56227,500,No
2018,1,AGUASCALIENTES,10,AGUASCALIENTES,PT,769,33285,56,1417,34758,56227,769,No
2018,1,AGUASCALIENTES,10,AGUASCALIENTES,PVEM,1389,33285,56,1417,34758,56227,1389,No
2018,1,AGUASCALIENTES,10,AGUASCALIENTES,MC,720,33285,56,1417,34758,56227,720,No
2018,1,AGUASCALIENTES,10,AGUASCALIENTES,NUAL,889,33285,56,1417,34758,56227,889,No
2018,1,AGUASCALIENTES,10,AGUASCALIENTES,MORENA,7654,33285,56,1417,34758,56227,7654,No
2018,1,AGUASCALIENTES,10,AGUASCALIENTES,ES,721,33285,56,1417,34758,56227,721,No
2018,1,AGUASCALIENTES,10,AGUASCALIENTES,PAN_PRD_MC,144,33285,56,1417,34758,56227,15228,Sí
2018,1,AGUASCALIENTES,10,AGUASCALIENTES,PAN_PRD,42,33285,56,1417,34758,56227,14406,Sí
