ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,187,263,16148,9597,7660,1518,2798,2647,2096,12700,1041,225,402,242,43,181,,,,,,,,3726,61024,97,4182,65303,123833,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACD2018_01.pdf
8,CHIHUAHUA,2,JUAREZ,69,178,4249,6073,598,2025,2039,1107,2500,15189,1322,48,362,176,26,122,7730,,,,,,,,43566,45,2057,45668,106457,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACD2018_02.pdf
8,CHIHUAHUA,3,JUAREZ,151,218,6994,9238,1197,2625,2127,1674,1607,17727,2240,108,465,243,31,214,,,,,,,,,46490,117,3182,49789,117722,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACD2018_03.pdf
8,CHIHUAHUA,4,JUAREZ,221,272,13319,8462,753,3239,1544,1247,1639,17438,1259,111,364,155,21,155,,11693,,,,,,,61399,128,2756,64283,132223,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACD2018_04.pdf
8,CHIHUAHUA,5,JUAREZ,88,222,22966,7245,628,3022,1461,1724,1974,21799,1536,169,357,125,10,94,,,11853,,,,,,74963,58,2158,77179,131585,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/JIN-235_2018.pdf
8,CHIHUAHUA,6,JUAREZ,153,236,10054,8687,878,4141,3938,1909,2323,21925,2503,82,501,290,49,242,,,,,,,,,57522,159,3659,61340,124694,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACD2018_06.pdf
8,CHIHUAHUA,7,JUAREZ,121,222,7651,6093,777,2604,2145,1476,2055,21582,1632,50,409,171,25,253,,,,12231,,,,,59154,52,2432,61638,120765,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACD2018_07.pdf
8,CHIHUAHUA,8,JUAREZ,107,211,5616,5834,680,2475,1873,1261,1872,21809,1738,54,425,160,22,146,,,,,8296,,,,52261,88,2183,54532,119779,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACD2018_08.pdf
8,CHIHUAHUA,9,JUAREZ,85,194,5439,4319,645,2670,1685,1218,1310,19395,1306,45,355,119,15,179,,,,,,14030,,,52730,41,1810,54581,106886,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACD2018_09.pdf
8,CHIHUAHUA,10,JUAREZ,180,239,4083,4192,663,2413,1795,1224,1027,18530,1406,110,609,227,27,199,,,,,,,5663,,42168,49,1620,43837,109204,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACD2018_10.pdf
8,CHIHUAHUA,11,MEOQUI,156,266,21703,18064,4622,3633,1530,1860,4095,13892,1284,231,,,,,,,,,,,,,70914,28,4474,75416,135714,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACD2018_11.pdf
8,CHIHUAHUA,12,CHIHUAHUA,97,230,24099,7709,1097,4360,2045,1635,2211,20722,1999,236,477,234,12,168,,,,,,,,,67004,69,2532,69605,127307,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACD2018_12.pdf
8,CHIHUAHUA,13,GUERRERO,244,314,14213,19315,1489,840,1648,5727,4375,15368,977,450,305,163,31,207,,,,,,,,,65108,24,5395,70527,117860,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACD2018_13.pdf
8,CHIHUAHUA,14,CUAUHTEMOC,120,245,19073,8597,882,2243,2194,1137,1493,23296,1669,193,598,318,48,210,,,,,,,,,61951,23,2791,64765,134486,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACD2018_14.pdf
8,CHIHUAHUA,15,CHIHUAHUA,131,251,50385,13702,871,3003,1481,1779,2559,18253,1925,377,318,128,7,84,,,,,,,,,94872,91,3216,98179,142731,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACD2018_15.pdf
8,CHIHUAHUA,16,CHIHUAHUA,178,275,38465,12832,876,3208,2063,2120,2092,18986,1932,,435,197,21,116,,,,,,,,,83343,84,3615,87042,142138,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACD2018_16.pdf
8,CHIHUAHUA,17,CHIHUAHUA,126,236,27380,9683,1926,3038,2284,1513,3907,19228,1862,227,456,218,18,126,,,,,,,,,71866,83,2872,74821,132896,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACD2018_17.pdf
