ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
8,CHIHUAHUA,1,AHUMADA,15,23,520,863,1184,1591,60,765,224,468,88,59,,,,,,,,,,,,,5822,6,366,6194,9268,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_001.pdf
8,CHIHUAHUA,2,ALDAMA,20,37,1812,2441,2113,185,182,112,1904,1478,157,9,,,,,,,,,,,,,10393,6,675,11074,19842,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_002.pdf
8,CHIHUAHUA,3,ALLENDE,15,18,1581,1820,40,71,61,148,221,687,67,38,12,4,0,13,,,,,,,,,4763,1,252,5016,7259,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_003.pdf
8,CHIHUAHUA,4,AQUILES SERDAN,3,19,1206,2303,332,284,113,105,117,1180,168,5,,,,,,,,,,,,,5813,2,311,6126,11922,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_004.pdf
8,CHIHUAHUA,5,ASCENSION,21,34,2664,2570,120,140,143,202,73,2143,49,63,28,37,2,13,,,,,,,,216,8463,16,517,8996,17920,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_005.pdf
8,CHIHUAHUA,6,BACHINIVA,18,18,1047,574,76,34,84,123,187,1093,38,7,16,9,0,7,,,,,,,,,3295,1,308,3604,5601,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_006.pdf
8,CHIHUAHUA,7,BALLEZA,14,24,1042,4652,33,187,76,57,61,1846,40,8,,,,,,,,,,,,,8002,0,751,8753,13068,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_007.pdf
8,CHIHUAHUA,8,BATOPILAS,11,17,974,1376,47,61,61,38,108,246,20,13,,,,,,,,,,,,,2944,0,736,3680,8191,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_008.pdf
8,CHIHUAHUA,9,BOCOYNA,22,42,1708,3221,101,139,142,3265,849,3005,91,59,27,16,4,10,,,,,,,,,12637,3,1080,13720,20625,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_009.pdf
8,CHIHUAHUA,10,BUENAVENTURA,26,38,3886,3026,94,245,232,239,89,2094,94,34,,,,,,,,,,,,,10033,2,750,10785,18426,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_010.pdf
8,CHIHUAHUA,11,CAMARGO,40,72,12373,5016,400,175,363,172,382,2410,140,103,46,36,3,12,,,,,,,,,21631,1,730,22362,37986,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_011.pdf
8,CHIHUAHUA,12,CARICHI,16,18,1997,1795,20,39,35,48,27,316,12,31,,,,,,,,,,,,,4320,1,483,4804,7242,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_012.pdf
8,CHIHUAHUA,13,CASAS GRANDES,13,22,1193,491,1858,76,149,122,234,834,80,5,18,7,7,9,,,,,,,,497,5580,5,374,5959,10251,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_013.pdf
8,CHIHUAHUA,14,CORONADO,7,8,482,593,6,4,355,6,49,34,1,4,8,4,2,0,,,,,,,,,1548,0,47,1595,1906,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_014.pdf
8,CHIHUAHUA,15,COYAME DEL SOTOL,3,4,843,725,7,6,3,2,2,62,3,0,,,,,,,,,,,,,1653,0,60,1713,2275,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_015.pdf
8,CHIHUAHUA,16,LA CRUZ,5,8,736,569,24,20,31,14,740,139,8,5,2,2,1,0,,,,,,,,,2291,1,113,2405,3458,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_016.pdf
8,CHIHUAHUA,17,CUAUHTEMOC,111,229,18175,7782,879,1783,2182,1133,1484,23151,1659,191,597,318,48,210,,,,,,,,,59592,23,2661,62276,127190,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_017.pdf
8,CHIHUAHUA,18,CUSIHUIRIACHI,13,14,865,1105,23,24,383,20,73,308,17,11,7,12,6,1,,,,,,,,,2855,0,253,3108,5302,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_018.pdf
8,CHIHUAHUA,19,CHIHUAHUA,647,1243,164942,55814,5938,16400,10212,8439,12684,94405,9501,1069,2156,1019,75,630,,,,,,,,,383284,369,15614,399267,679181,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_019.pdf
8,CHIHUAHUA,20,CHINIPAS,8,16,235,1522,26,19,248,56,117,787,14,4,39,23,2,9,,,,,,,,,3101,0,223,3324,5049,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_020.pdf
8,CHIHUAHUA,21,DELICIAS,109,206,20163,12443,1869,1357,2761,1083,2343,15908,1443,208,442,294,19,65,,,,,,,,,60398,34,2373,62805,112975,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_021.pdf
8,CHIHUAHUA,22,DR. BELISARIO DOMINGUEZ,8,8,511,849,10,28,11,8,39,143,3,5,0,1,0,2,,,,,,,,,1610,0,127,1737,3021,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_022.pdf
8,CHIHUAHUA,23,GALEANA,3,8,1219,575,64,52,46,44,39,413,13,25,6,2,0,2,,,,,,,,44,2544,39,177,2760,4365,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_023.pdf
8,CHIHUAHUA,24,SANTA ISABEL,7,9,1429,728,13,32,27,15,24,282,17,7,1,2,0,1,,,,,,,,,2578,1,198,2777,4243,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_024.pdf
8,CHIHUAHUA,25,GOMEZ FARIAS,15,16,574,868,43,295,237,61,69,903,247,5,81,21,18,33,,,,,,,,37,3492,0,377,3869,7268,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_025.pdf
8,CHIHUAHUA,26,GRAN MORELOS,13,13,492,594,21,450,23,16,21,190,10,5,3,1,0,4,,,,,,,,,1830,0,149,1979,3186,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_026.pdf
8,CHIHUAHUA,27,GUACHOCHI,43,72,5438,6165,275,1892,290,423,1624,1822,282,101,,,,,,,,,,,,,18312,6,3110,21428,35538,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_027.pdf
8,CHIHUAHUA,28,GUADALUPE,8,12,638,1126,62,60,27,34,43,403,22,7,,,,,,,,,,,,,2422,1,177,2600,4797,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_028.pdf
8,CHIHUAHUA,29,GUADALUPE Y CALVO,31,61,1821,7143,180,330,418,186,418,4307,77,16,,,,,,,,,,,,,14896,1,1370,16267,30294,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_029.pdf
8,CHIHUAHUA,30,GUAZAPARES,14,18,477,1642,14,34,34,1095,168,376,20,222,10,2,2,3,,,,,,,,,4099,1,383,4483,6764,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_030.pdf
8,CHIHUAHUA,31,GUERRERO,67,82,3398,3577,210,237,413,755,1458,4958,618,77,145,63,6,126,,,,,,,,,16041,10,1128,17179,30445,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_031.pdf
8,CHIHUAHUA,32,HIDALGO DEL PARRAL,87,160,12608,10168,631,2813,914,5231,4128,9033,1051,137,88,70,6,52,,,,,,,,,46930,63,2734,49727,85682,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_032.pdf
8,CHIHUAHUA,33,HUEJOTITAN,2,3,529,528,23,12,12,11,22,48,3,1,1,0,0,0,,,,,,,,,1190,0,54,1244,1507,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_033.pdf
8,CHIHUAHUA,34,IGNACIO ZARAGOZA,13,15,806,503,57,54,46,739,41,552,33,8,8,1,1,2,,,,,,,,46,2897,0,348,3245,5994,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_034.pdf
8,CHIHUAHUA,35,JANOS,12,18,245,609,667,36,56,834,73,510,49,56,2,0,0,8,,,,,,,,404,3549,0,344,3893,7582,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_035.pdf
8,CHIHUAHUA,36,JIMENEZ,36,59,3777,4328,212,509,721,466,4151,2353,174,64,34,41,2,13,,,,,,,,,16845,2,931,17778,29905,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_036.pdf
8,CHIHUAHUA,37,JUAREZ,1175,1992,80371,60143,6819,25214,18607,12840,16307,175394,14942,777,3847,1666,226,1604,7730,11693,11853,12231,8296,14030,5663,,490253,737,21857,512847,1069315,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_037.pdf
8,CHIHUAHUA,38,JULIMES,6,9,1009,795,43,43,43,48,113,746,65,8,,,,,,,,,,,,,2913,0,224,3137,4773,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_038.pdf
8,CHIHUAHUA,39,LOPEZ,7,9,210,708,248,30,412,15,578,158,11,1,11,13,3,0,,,,,,,,,2398,0,164,2562,3473,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_039.pdf
8,CHIHUAHUA,40,MADERA,46,58,4774,1519,220,198,186,132,663,1952,174,20,21,20,3,23,,,,,,,,188,10093,3,839,10935,22130,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_040.pdf
8,CHIHUAHUA,41,MAGUARICHI,5,5,58,534,26,4,6,8,31,61,5,2,4,0,0,3,,,,,,,,,742,0,80,822,1268,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_041.pdf
8,CHIHUAHUA,42,MANUEL BENAVIDES,5,5,73,646,259,6,307,4,6,65,3,0,,,,,,,,,,,,,1369,0,72,1441,1931,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_042.pdf
8,CHIHUAHUA,43,MATACHI,7,8,283,453,12,9,23,52,206,520,10,7,0,4,0,8,,,,,,,,,1587,1,129,1717,2624,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_043.pdf
8,CHIHUAHUA,44,MATAMOROS,8,10,965,863,30,168,36,84,85,322,27,16,1,3,0,5,,,,,,,,,2605,1,225,2831,3972,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_044.pdf
8,CHIHUAHUA,45,MEOQUI,35,64,5101,2324,386,571,441,464,1381,5375,576,58,,,,,,,,,,,,,16677,8,1022,17707,34632,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_045.pdf
8,CHIHUAHUA,46,MORELOS,8,12,1691,1423,14,17,15,10,15,369,5,17,,,,,,,,,,,,,3576,0,281,3857,5402,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_046.pdf
8,CHIHUAHUA,47,MORIS,8,11,1047,1033,4,10,14,9,46,220,6,20,1,0,0,3,,,,,,,,,2413,0,125,2538,3953,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMD2018_047.pdf
