ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,PCU,MORENA,ES,MVC,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_PCU_MVC,PRI_PVEM_PCU,PRI_PVEM_MVC,PRI_PCU_MVC,PVEM_PCU_MVC,PRI_PVEM,PRI_PCU,PRI_MVC,PVEM_PCU,PVEM_MVC,PCU_MVC,C_COMUN_PRI_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
7,CHIAPAS,1,TUXTLA GUTIERREZ,94,315,6485,5755,988,3118,2997,1417,7059,995,54185,2356,3091,208,148,46,28, , , , , , , , , , , ,887,1223,298,239,500,3873,,,,,,95896,390,4250,100536,182614,
7,CHIAPAS,2,TUXTLA GUTIERREZ,72,258,3621,5896,3611,3185,6637,4509,3039,2854,3915,3116,8848,2477,1226,1223,1222,168,1216,1223,1215,1219,1282,1216,1227,1217,1230,1231, ,1551,1286,1244,1341,,2799,1195,,,,77239,1758,5854,84851,168739,
7,CHIAPAS,3,CHIAPA DE CORZO,83,260,2611,9693,4138,3580,15941,2041,1226,3407,37426,2416,6640,358,37,13,48, , , , , , , , , , , , ,913,256,75,344,,,,2128,,,93291,102,7652,101045,154980,
7,CHIAPAS,4,YAJALON,59,225,567,10499,459,2188,25798,1387,3730,568,32546,774,4055,31,7,6,5,341,9,5,0,7,102,5,9,34,15,13, ,528,116,32,82,,,,,,,83918,77,5281,89276,127073,
7,CHIAPAS,5,SAN CRISTOBAL DE LAS CASAS,51,218,2862,4143,2085,3877,6302,1722,1718,858,43123,2921,3955,146,47,21,21, , , , , , , , , , , ,148,1298,302,121,461,,,,,,,76131,167,5828,82126,133015,
7,CHIAPAS,6,COMITAN DE DOMINGUEZ,80,248,2349,16762,1944,4349,9605,1866,4475,4984,36608,1870,1917,79,41,10,20,48,76,22,15,23,205,49,35,60,37,38, ,818,391,160,314,,,,,,,89170,210,9043,98423,148079,
7,CHIAPAS,7,OCOSINGO,55,251,1575,10585,1136,2950,22119,3922,862,549,26486,1489,4284,150,30,25,23,114,6,13,2,9,211,10,22,23,62,58, ,1004,221,48,214,,,,,,,78202,102,6319,84623,132202,
7,CHIAPAS,8,SIMOJOVEL,65,236,1476,17635,1584,2663,19420,1185,3405,8315,12156,998,17013,35,23,11,5,451,19,7,2,10,440,51,35,45,33,37, ,142,60,22,105,,,,,,,87383,6,8282,95671,128311,
7,CHIAPAS,9,PALENQUE,70,250,1779,3166,2874,3644,11564,3621,1411,3494,26336,1511,6587,83,22,13,31,163,9,7,6,13,81,23,19,34,31,48, ,745,206,68,790,,,,,,,68379,681,6065,75125,142264,
7,CHIAPAS,10,FRONTERA COMALAPA,79,227,2522,19647,2394,3958,32822,2545,2301,2284,10879,2559,2430,4,4,3,1,3,9,9,2,9,119,6,19,20,25,4, , , , , ,,,,,,,84578,31,8756,93365,136937,
7,CHIAPAS,11,BOCHIL,78,264,3876,14469,5971,3400,11983,1611,2344,8113,28942,2280,7044,43,27,13,21,15,26,3,5,5,68,34,45,48,21,24, , , , , ,,,,,,,90431,27,9465,99923,141151,
7,CHIAPAS,12,PICHUCALCO,119,294,4991,12450,1938,3766,20281,2115,3243,5727,34799,1327,2406,155,58,25,11,27,36,15,8,17,350,52,29,60,50,30, ,643,192,59,219,,,,,,,95079,29,7461,102569,150663,
7,CHIAPAS,13,TUXTLA GUTIERREZ,98,255,12266,5056,2308,3753,3815,2772,2109,1473,46674,3067,1759,351,110,85,27,144,30,6,9,7,74,3,5,2,20,27, ,1379,454,75,634,,,,,8925,,97419,218,7415,105052,154652,
7,CHIAPAS,14,CINTALAPA,96,289,2383,12461,4768,4425,19300,6279,1919,7407,36134,1678,5135,416,65,117,45,254,284,266,34,26,213,51,47,97,74,59, ,775,336,73,209,,,,,,,105330,183,8308,113821,170377,
7,CHIAPAS,15,VILLAFLORES,114,310,4554,10490,1841,3848,17402,2435,3760,6267,41858,2167,3173,179,53,33,12,30,51,14,10,125,182,34,24,68,67,65, ,815,225,63,245,,,,,,,100090,101,6928,107119,173255,
7,CHIAPAS,16,HUIXTLA,107,279,4902,8661,4008,5939,9418,4845,6209,8152,27483,3424,6952,324,30,17,19,, , , , , , , , , , , ,488,173,33,174,,,,,,,91251,56,6142,97449,152090,
7,CHIAPAS,17,MOTOZINTLA,88,244,1069,16148,5982,9210,12057,1071,2221,6714,17574,841,4624,121,67,11,42,156,14,3,3,11,107,50,66,27,19,43, ,294,157,20,93,,,,,,,78815,70,8189,87074,131642,
7,CHIAPAS,18,MAPASTEPEC,96,259,2902,8905,1279,3982,13561,1371,2955,6465,35135,2892,5602,84,39,22,13,234,21,7,7,15,163,46,34,62,65,54, ,966,276,69,327,,,,,,,87553,15,6389,93957,142104,
7,CHIAPAS,19,TAPACHULA,104,260,11079,16108,4210,6779,10280,4531,4064,3475,9893,5584,4215,283,111,57,51,43,87,21,8,27,448,17,11,20,10,26, ,2311,811,124,897,,,,,,,85581,176,3519,89276,144765,
7,CHIAPAS,20,LAS MARGARITAS,73,294,1118,10816,21899,3406,23297,1040,5549,9144,14827,1103,2056,89,87,17,50,20,52,7,5,10,140,71,26,32,7,36, ,427,150,24,62,,,,,,,95567,72,8460,104099,145998,
7,CHIAPAS,21,TENEJAPA,81,274,4234,15111,5193,3744,14480,2499,1565,2423,11470,1446,4464,19,12,12,11,4,3,2,0,3,32,8,7,13,12,4, ,79,75,70,35,,,,,,,67030,70,4281,71381,142567,
7,CHIAPAS,22,CHAMULA,85,277,650,39851,2634,3376,15084,1101,353,2677,36994,1040,4245,49,17,25,10,47,27,14,6,27,104,44,39,51,25,46, ,772,169,58,251,,,,,,,109786,98,7558,117442,150659,
7,CHIAPAS,23,VILLA CORZO,88,245,1752,13810,836,3472,14827,2217,2874,8631,27179,1373,5881,156,24,20,16, , , , , , , , , , , , ,370,204,44,256,,,,,,871,84813,90,7342,92245,138191,
7,CHIAPAS,24,CACAHOATAN,110,271,4958,12235,1742,3067,11645,1263,3986,6798,37096,1263,6343,95,54,36,18,17,36,4,5,20,148,58,57,56,69,85, ,437,231,45,227,,,,,,,92094,69,7327,99490,148853,
