ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,PCU,MORENA,ES,MVC,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_PCU_MVC,PRI_PVEM_PCU,PRI_PVEM_MVC,PRI_PCU_MVC,PVEM_PCU_MVC,PRI_PVEM,PRI_PCU,PRI_MVC,PVEM_PCU,PVEM_MVC,PCU_MVC,C_COMUN_PRI_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
7,CHIAPAS,1,ACACOYAGUA,6,18,533,553,98,177,1024,114,552,879,2686,123,258,9,11,1,1,1,0,1,0,0,8,2,0,2,2,2,0,43,16,2,17,0,0,0,0,0,0,7115,2,482,7599,11832,
7,CHIAPAS,2,ACALA,11,27,248,978,240,454,1105,286,197,1995,5183,281,1095,11,6,2,4,0,0,0,0,1,0,0,0,0,0,0,0,60,19,7,21,0,0,0,120,0,0,12313,8,1113,13434,14979,
7,CHIAPAS,3,ACAPETAHUA,14,37,267,1632,136,488,3014,230,615,489,3728,283,1274,35,4,4,4,227,1,1,2,3,28,7,5,8,16,4,0,307,19,5,35,0,0,0,28,0,0,12899,0,1040,13939,20009,
7,CHIAPAS,4,ALTAMIRANO,9,40,187,5017,161,392,5329,87,81,268,2222,142,111,2,0,0,0,1,3,3,0,0,21,1,4,1,1,1,0,28,3,0,14,0,0,0,0,0,0,14080,9,1057,15146,20182,
7,CHIAPAS,5,AMATAN,10,27,89,1905,183,422,706,75,59,2057,3075,80,57,1,5,0,2,1,2,0,0,1,6,5,2,5,0,2,0,1,0,1,0,0,0,0,0,0,0,8742,0,791,9533,14462,
7,CHIAPAS,6,AMATENANGO DE LA FRONTERA,14,40,204,3326,937,498,3059,195,118,2490,2695,148,143,33,35,6,17,0,3,0,0,1,15,9,8,8,3,12,0,38,21,5,18,0,0,0,0,0,0,14045,7,1686,15738,21173,
7,CHIAPAS,7,AMATENANGO DEL VALLE,4,11,38,991,43,99,980,105,166,1071,1021,57,60,0,0,0,2,0,0,0,0,0,0,0,0,2,0,5,0,22,10,0,5,0,0,0,0,0,0,4677,0,492,5169,6293,
7,CHIAPAS,8,ANGEL ALBINO CORZO,12,34,244,635,159,427,1818,743,922,553,3423,216,190,11,3,2,8,0,1,0,0,0,0,1,2,1,2,0,0,100,29,11,40,0,0,0,0,0,143,9684,4,770,10458,18826,
7,CHIAPAS,9,ARRIAGA,25,58,780,2571,1367,545,1384,433,342,2866,6206,225,698,16,6,2,4,10,9,0,0,5,11,4,2,14,5,11,0,77,24,6,40,0,0,0,0,0,0,17663,2,1387,19052,30789,
7,CHIAPAS,10,BEJUCAL DE OCAMPO,3,9,15,731,617,43,232,18,101,19,784,31,78,3,3,0,2,0,0,0,0,2,1,0,0,1,1,0,0,2,1,1,3,0,0,0,0,0,0,2689,0,407,3096,5358,
7,CHIAPAS,11,BELLA VISTA,14,27,126,1321,1461,489,986,82,1499,566,2163,125,96,0,1,3,1,1,1,0,0,0,6,5,0,5,0,2,0,71,22,1,12,0,0,0,0,0,0,9045,0,842,9887,13832,
7,CHIAPAS,12,BERRIOZABAL,14,53,344,1739,236,644,998,1587,1880,916,4995,320,1706,12,4,5,1,1,0,3,0,1,4,2,4,0,3,8,0,117,36,14,51,0,201,167,0,0,0,15999,33,1227,17259,32843,
7,CHIAPAS,13,BOCHIL,11,43,699,2008,387,595,1806,495,178,520,5182,533,1837,16,2,4,3,7,6,0,0,3,17,2,8,7,3,9,0,90,7,1,5,0,0,0,0,0,0,14430,25,1349,15804,22429,
7,CHIAPAS,14,EL BOSQUE,8,27,167,2699,112,356,183,118,957,937,2152,694,1675,2,1,0,0,0,3,0,5,0,5,5,20,1,3,5,0,0,0,0,0,0,0,0,0,0,0,10100,0,1064,11164,15416,
7,CHIAPAS,15,CACAHOATAN,23,57,383,3982,258,707,5395,317,564,917,6990,372,1161,3,1,3,3,0,7,0,0,6,34,2,18,8,27,11,0,96,53,24,61,0,0,0,0,0,0,21403,7,1606,23016,32160,
7,CHIAPAS,16,CATAZAJA,11,26,1160,1333,116,1077,569,639,62,211,817,47,47,10,0,4,2,148,0,0,0,0,5,0,0,0,1,0,0,143,7,2,4,0,0,0,0,0,0,6404,1,305,6710,13299,
7,CHIAPAS,17,CINTALAPA,37,105,1519,10635,541,1544,2462,1151,489,579,15306,797,1144,59,4,21,2,3,14,2,2,15,29,11,12,15,7,0,0,268,49,28,91,0,0,0,0,0,0,36799,42,2380,39221,60535,
7,CHIAPAS,18,COAPILLA,5,12,48,1428,49,202,242,76,35,45,1695,55,217,2,0,0,0,1,0,1,0,0,10,2,1,0,1,0,0,29,9,6,12,0,0,0,0,0,0,4166,4,421,4591,5913,
7,CHIAPAS,19,COMITAN DE DOMINGUEZ,54,174,1754,12997,1554,1922,14647,1111,719,566,24607,1018,1536,46,20,4,19,5,4,3,0,1,19,3,4,6,3,0,0,468,132,54,155,0,0,0,0,0,0,63377,43,4048,67468,105790,
7,CHIAPAS,20,LA CONCORDIA,24,55,215,4371,137,620,3275,241,196,5501,4438,364,340,38,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,11,113,0,0,0,0,0,208,20175,13,2217,22405,32883,
7,CHIAPAS,21,COPAINALA,14,32,111,739,84,300,3856,307,184,94,5148,109,342,18,0,0,0,2,2,2,0,0,17,1,2,0,4,0,0,47,10,8,18,0,0,0,0,0,0,11405,2,645,12052,15452,
7,CHIAPAS,22,CHALCHIHUITAN,5,21,39,518,34,113,1594,79,210,27,2885,30,122,1,0,0,0,319,0,0,0,3,10,0,0,0,1,3,0,164,12,1,7,0,0,0,0,0,0,6172,1,346,6519,10620,
7,CHIAPAS,23,CHAMULA,39,119,459,4176,398,1637,12187,899,1154,447,18339,634,928,26,8,3,7,67,12,5,3,7,62,9,5,28,12,14,0,343,102,12,57,0,0,0,0,0,0,42040,30,2563,44633,62270,
7,CHIAPAS,24,CHANAL,6,15,42,264,31,113,501,50,74,51,1029,47,52,2,0,2,0,1,5,0,1,1,3,0,1,0,2,0,0,17,9,1,3,0,0,0,0,0,0,2302,0,163,2465,7024,
7,CHIAPAS,25,CHAPULTENANGO,3,10,51,420,52,157,807,56,71,70,1359,89,116,10,8,7,5,9,18,26,11,3,6,4,3,5,7,3,0,23,22,5,13,0,0,0,0,0,0,3436,4,189,3629,4784,
