ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IHG,CG,PSM,PSG,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,C_COMUN_PAN_PRD,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,46,152,944,10924,5419,1457,2801,864,505,25980,920,1096,214,591,206,267,121,68,18,45,391,242,,,,53073,30,2770,55873,90744,
12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,57,169,1266,12274,5618,1564,2233,1607,538,29938,970,1015,209,1186,162,272,180,86,28,76,412,397,,1055,,61086,62,2807,63955,101628,
12,GUERRERO,3,ACAPULCO DE JUAREZ,69,173,3679,7230,2256,1718,3190,1613,848,29299,1214,438,251,450,934,553,139,54,22,23,431,477,,,,54819,39,2668,57526,96776,
12,GUERRERO,4,ACAPULCO DE JUAREZ,79,172,2175,7922,2166,754,3028,2405,894,29916,1481,313,266,592,841,428,132,31,24,29,260,402,,,,54059,34,2634,56727,93257,
12,GUERRERO,5,ACAPULCO DE JUAREZ,58,156,1333,7056,8752,688,2069,1242,491,23248,1688,321,331,703,538,324,169,75,19,78,302,428,,,,49855,59,2972,52886,93690,
12,GUERRERO,6,ACAPULCO DE JUAREZ,53,139,1427,7126,4066,847,2120,1214,649,24304,1518,339,185,513,491,257,161,50,7,40,357,350,,,,46021,44,2577,48642,85092,
12,GUERRERO,7,ACAPULCO DE JUAREZ,39,160,2294,11709,2268,1907,2089,1384,1168,23885,2235,411,238,356,583,293,132,85,38,50,589,,,,,51714,12,3232,54958,98751,
12,GUERRERO,8,ACAPULCO DE JUAREZ,80,155,1332,10424,5959,768,1366,3671,533,18435,2475,400,1223,839,506,78,228,60,29,99,362,536,,,,49323,17,2649,51989,82443,
12,GUERRERO,9,ACAPULCO DE JUAREZ,62,148,2527,9906,7529,1125,1440,1448,676,16828,2491,214,214,1251,633,187,153,141,13,61,480,328,,,,47645,8,3353,51006,85362,
12,GUERRERO,10,TECPAN DE GALEANA,119,184,688,7959,11248,2305,739,939,7776,15937,836,823,102,249,125,197,93,58,20,61,133,198,,,1967,52453,17,3481,55951,88132,
