ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IHG,CG,PSM,PSG,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,C_COMUN_PAN_PRD,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
12,GUERRERO,29,CHILPANCINGO DE LOS BRAVO,103,321,2210,23198,11037,3021,5034,2471,1043,55918,1890,2111,423,1777,368,539,301,154,46,121,803,639,,1055,,114159,92,5577,119828,192372,
12,GUERRERO,1,ACAPULCO DE JUAREZ,381,1001,13967,53397,29412,7233,14576,9875,4746,153411,11314,2098,1535,4249,4382,2094,924,465,132,293,2517,2106,,,,318726,211,18344,337281,582951,
12,GUERRERO,21,COYUCA DE BENITEZ,59,102,736,7353,3213,575,715,3003,304,10663,1761,333,1153,337,125,23,179,27,20,90,256,418,,,,31284,4,1667,32955,52420,
12,GUERRERO,11,ATOYAC DE ALVAREZ,67,96,358,3338,4850,366,505,483,4063,7864,456,768,85,104,26,139,47,31,14,33,66,108,,,844,24548,11,1936,26495,43820,
12,GUERRERO,14,BENITO JUAREZ,15,25,84,462,2383,1816,61,113,888,1833,71,17,0,126,8,13,11,3,3,7,40,10,,,613,8562,0,483,9045,12547,
12,GUERRERO,58,TECPAN DE GALEANA,66,103,535,5747,5853,200,299,503,3044,9827,599,53,26,47,132,122,50,35,3,29,41,134,,,478,27757,6,1348,29111,47490,
12,GUERRERO,39,ZIHUATANEJO DE AZUETA,63,167,1129,13040,9163,1450,1441,1901,551,20462,733,207,223,1183,56,133,113,49,23,98,430,226,,,,52611,67,3167,55845,95280,
12,GUERRERO,49,PETATLAN,53,75,278,4585,4910,227,280,259,79,6724,298,54,40,40,17,186,26,72,1,30,155,72,,,,18333,2,1039,19374,33070,
12,GUERRERO,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,29,33,34,207,1779,2692,33,26,15,1991,48,69,0,1,0,0,2,1,0,1,71,4,,,,6974,0,97,7071,9323,
12,GUERRERO,69,LA UNION DE ISIDORO MONTES DE OCA,33,51,62,3820,6334,2076,79,52,60,1604,48,17,2,3,10,6,146,23,1,22,405,93,,,,14863,3,976,15842,21738,
12,GUERRERO,40,JUAN R. ESCUDERO,24,36,574,1432,2299,2226,145,514,172,3662,258,271,21,62,17,36,11,13,6,10,79,46,,,,11854,0,625,12479,18104,
