ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PVEM_PT_TRANS_MORENA,PVEM_PT_TRANS,PVEM_PT_MORENA,PVEM_TRANS_MORENA,PT_TRANS_MORENA,PVEM_PT,PVEM_TRANS,PVEM_MORENA,PT_TRANS,PT_MORENA,TRANS_MORENA,PBC,TRANS,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
2,BAJA CALIFORNIA,1,MEXICALI,129,274,11630,1899,1429,1001,982,7511,18063,56,16,5,17,48,9,7,29,14,54,138,963,1013, ,,44884,36,1738,46658,161073,
2,BAJA CALIFORNIA,2,MEXICALI,78,254,16469,2178,1287,951,852,5693,21242,81,26,30,17,70,9,1,32,8,42,133,3915,1109,,,54145,123,1307,55575,160383,
2,BAJA CALIFORNIA,3,MEXICALI,164,311,22041,4183,1673,1099,1025,3446,23073,93,23,22,21,80,9,11,37,15,53,197,5764,1626,,,64491,160,1874,66525,168464,
2,BAJA CALIFORNIA,4,MEXICALI,115,267,10782,2213,1002,738,906,2330,17967,129,12,32,25,59,16,4,52,9,60,129,1987,885,8997,,48334,52,1321,49707,156176,
2,BAJA CALIFORNIA,5,MEXICALI,94,255,9281,2220,1019,708,1003,4481,17796,84,25,23,20,63,11,10,28,17,49,150,2442,1146,,,40576,77,1373,42026,148804,
2,BAJA CALIFORNIA,6,TECATE,91,265,9176,4823,2871,2107,1211,2576,17599,104,36,42,25,42,26,11,117,14,64,114,1679,1198,,,43835,59,1463,45357,158009,
2,BAJA CALIFORNIA,7,TIJUANA,136,292,6422,1382,5826,865,2794,2555,20304,104,17,24,14,78,12,9,21,15,131,73,1595,871,,,43112,42,1199,44353,167320,
2,BAJA CALIFORNIA,8,TIJUANA,83,275,11312,2033,6905,970,1299,2483,20866,75,20,29,15,45,20,4,28,13,69,91,1823,855,,,48955,43,1313,50311,173978,
2,BAJA CALIFORNIA,9,TIJUANA,136,296,13351,2848,6588,1244,947,3481,18848,142,17,26,19,51,5,7,21,8,51,109,5153,1117,,,54033,61,1538,55632,165213,
2,BAJA CALIFORNIA,10,TIJUANA,179,328,12807,3814,6471,1268,1030,2406,21167,62,17,18,11,56,14,6,29,10,40,110,1868,1026,,,52230,48,1720,53998,171989,
2,BAJA CALIFORNIA,11,TIJUANA,95,273,8433,2228,7470,1236,1191,2738,20690,107,32,20,14,66,13,7,24,17,55,180,2216,2182,,,48919,42,1513,50474,164908,
2,BAJA CALIFORNIA,12,TIJUANA,110,260,5145,1644,5526,1296,1488,2445,19132,68,27,35,21,55,15,9,41,24,72,118,1353,945,,,39459,31,1216,40706,158602,
2,BAJA CALIFORNIA,13,TIJUANA,123,307,6607,1668,7451,1112,1137,1977,21843,185,15,28,23,56,21,6,36,12,65,88,1266,723,,,44319,34,1153,45506,181340,
2,BAJA CALIFORNIA,14,TIJUANA,158,315,4645,2199,6171,1057,1287,2049,23122,59,16,26,16,59,16,3,34,10,66,91,1168,619,,,42713,33,990,43736,176010,
2,BAJA CALIFORNIA,15,ROSARITO,95,312,14104,2824,2440,980,1657,5629,22052,170,30,46,25,94,13,7,40,16,124,172,1903,1407,,,53733,124,1877,55734,184589,
2,BAJA CALIFORNIA,16,ENSENADA,86,270,7809,4625,1267,644,3074,1822,16918,79,21,63,11,105,28,12,29,17,222,94,1192,968,,10301,49301,37,1277,50615,163938,
2,BAJA CALIFORNIA,17,ENSENADA,75,250,6455,2782,1861,944,2349,2206,16698,122,117,49,9,81,37,5,45,19,152,86,1146,1031,,,36194,68,1527,37789,150279,
,,,, , ,,,,,,,,,,,,,,,,,,,,,,, ,,,,,
