ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,CQROO,ESQROO,PAN_PRD_ESQROO,PAN_PRD,PAN_ESQROO,PRD_ESQROO,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
23,QUINTANA ROO,1,KANTUNILKIN,54,148,4605,4321,2719,3429,1489,2117,4417,255,1452,341,138,159,28,9,0,0,0,0,0,0,0,25479,31,1400,26910,87001,
23,QUINTANA ROO,2,CANCÚN,66,181,822,903,393,1867,785,875,4506,766,667,388,18,14,8,8,57,15,33,127,0,0,0,12252,45,816,13113,112366,
23,QUINTANA ROO,3,CANCÚN,60,130,834,564,554,1368,236,297,4050,588,225,2786,99,44,34,26,38,11,34,40,0,0,0,11828,16,606,12450,73810,
23,QUINTANA ROO,4,CANCÚN,62,117,1295,884,348,2481,175,391,3057,616,434,819,54,47,22,3,42,14,64,26,0,0,0,10772,34,842,11648,66864,
23,QUINTANA ROO,5,CANCÚN,80,149,2862,2418,328,1790,223,629,4635,1160,466,516,0,0,0,0,36,9,50,36,0,0,0,15158,43,996,16197,79189,
23,QUINTANA ROO,6,CANCÚN,53,117,946,778,286,1834,261,827,4943,420,797,415,25,18,10,6,55,12,68,53,0,0,0,11754,26,838,12618,70835,
23,QUINTANA ROO,7,CANCÚN,53,143,4071,1097,233,2384,308,829,4920,365,478,279,51,57,24,2,49,40,38,72,0,0,0,15297,33,844,16174,87249,
23,QUINTANA ROO,8,CANCÚN,48,128,4143,1742,216,2067,181,722,3042,1196,1249,289,32,34,9,1,33,8,86,15,0,0,0,15065,36,829,15930,80841,
23,QUINTANA ROO,9,TULUM,127,268,3683,2157,401,595,1632,1982,4854,4661,1018,829,165,89,30,6,55,19,19,76,0,0,0,22271,53,1197,23521,154262,
23,QUINTANA ROO,10,PLAYA DEL CARMEN,71,151,5587,1762,367,261,437,2388,3946,1603,601,539,204,149,101,9,84,14,23,82,0,0,0,18157,37,1045,19239,88926,
23,QUINTANA ROO,11,COZUMEL,22,104,4257,5721,201,291,185,294,4489,239,219,77,28,56,10,2,40,14,71,34,585,0,0,16813,134,804,17751,68497,
23,QUINTANA ROO,12,FELIPE C. PUERTO,43,112,4884,2323,4670,619,542,1723,6161,288,574,430,267,736,26,32,78,19,46,57,0,0,0,23475,4,1080,24559,63654,
23,QUINTANA ROO,13,BACALAR,65,129,3029,3736,2364,533,2088,634,6067,302,1368,283,186,302,17,8,85,38,59,137,0,0,0,21236,20,1030,22286,70324,
23,QUINTANA ROO,14,CHETUMAL,56,126,4074,2575,286,394,440,1107,6976,799,528,312,66,81,35,4,40,8,28,66,0,1615,0,19434,85,1215,20734,69352,
23,QUINTANA ROO,15,CHETUMAL,78,133,2935,3139,372,297,523,929,5730,1326,1059,456,93,70,23,6,66,15,23,95,0,0,1820,18977,86,1233,20296,74825,
