ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,CQROO,ESQROO,PAN_PRD_ESQROO,PAN_PRD,PAN_ESQROO,PRD_ESQROO,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
23,QUINTANA ROO,1,BENITO JUÁREZ,448,1014,15984,8781,2466,15055,2399,4910,30208,5260,4435,5589,292,235,113,46,308,109,371,369,0,0,0,96930,243,6108,103281,597995,
23,QUINTANA ROO,11,PUERTO MORELOS,4,28,381,710,75,1382,245,172,945,36,134,36,5,5,1,0,2,0,2,0,0,0,0,4131,9,277,4417,19375,
23,QUINTANA ROO,4,ISLA MUJERES,10,32,2036,2668,77,371,181,738,1043,44,591,45,83,66,10,1,0,0,0,0,0,0,0,7954,12,357,8323,19898,
23,QUINTANA ROO,6,LÁZARO CÁRDENAS,14,39,1177,548,2459,412,833,867,1374,26,608,163,37,67,11,8,0,0,0,0,0,0,0,8590,0,429,9019,20887,
23,QUINTANA ROO,8,SOLIDARIDAD,157,357,8797,2672,561,504,631,4148,7550,3785,1153,1159,298,205,127,11,105,20,29,110,0,0,0,31865,86,1831,33782,211576,
23,QUINTANA ROO,9,TULUM,41,62,509,1258,211,354,1439,238,1279,2484,472,212,72,33,4,4,34,13,13,48,0,0,0,8677,4,421,9102,31612,
23,QUINTANA ROO,2,COZUMEL,22,104,4257,5721,201,291,185,294,4489,239,219,77,28,56,10,2,40,14,71,34,585,0,0,16813,134,804,17751,68497,
23,QUINTANA ROO,3,FELIPE C. PUERTO,35,94,3980,2072,3780,572,419,1391,4919,244,499,200,185,506,17,15,63,14,41,48,0,0,0,18965,4,913,19882,53052,
23,QUINTANA ROO,5,JOSÉ MA. MORELOS,22,46,1578,934,1844,259,363,440,2550,62,531,320,156,367,14,21,29,10,44,23,0,0,0,9545,0,382,9927,26052,
23,QUINTANA ROO,10,BACALAR,25,55,1569,2298,761,201,1437,441,2607,171,493,129,80,103,5,2,51,19,12,85,0,0,0,10464,17,501,10982,30169,
23,QUINTANA ROO,7,OTHÓN P. BLANCO,160,305,7795,6469,1307,811,1374,2121,14858,2238,2006,832,191,213,65,12,126,37,59,199,0,1615,1820,44148,174,2762,47084,168882,
