ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
28,TAMAULIPAS,1,NUEVO LAREDO,81,202,13947,3970,308,477,299,857,8570,,28428,43,1429,29900,121800,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto01_ActaMR.pdf
28,TAMAULIPAS,2,NUEVO LAREDO,115,234,16177,5049,192,453,310,704,9616,3062,35563,20,1273,36856,129883,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto02_ActaMR.pdf
28,TAMAULIPAS,3,NUEVO LAREDO,71,203,19397,3834,251,407,341,809,9356,,34395,57,1306,35758,119027,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto03_ActaMR.pdf
28,TAMAULIPAS,4,REYNOSA,86,200,17663,2444,586,364,358,635,8144,,30194,36,1200,31430,118951,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto04_ActaMR.pdf
28,TAMAULIPAS,5,REYNOSA,110,212,14773,1774,558,447,394,785,10349,,29080,46,1015,30141,120886,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto05_ActaMR.pdf
28,TAMAULIPAS,6,REYNOSA,100,226,16862,2805,1007,491,481,1518,9102,,32266,35,1642,33943,128235,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto06_ActaMR.pdf
28,TAMAULIPAS,7,REYNOSA,87,215,15649,1385,750,595,736,1128,10313,,30556,84,1258,31898,121661,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto07_ActaMR.pdf
28,TAMAULIPAS,8,RIO BRAVO,89,224,15323,4621,814,742,2002,1638,8859,,33999,31,1556,35586,132489,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto08_ActaMR.pdf
28,TAMAULIPAS,9,VALLE HERMOSO,82,190,15108,6294,331,860,584,968,10337,,34482,1519,1613,37614,106787,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto09_ActaMR.pdf
28,TAMAULIPAS,10,MATAMOROS,47,183,9973,5205,246,429,411,1407,9817,,27488,4481,1475,33444,114444,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto10_ActaMR.pdf
28,TAMAULIPAS,11,MATAMOROS,35,167,9396,2860,217,508,400,1119,9658,,24158,4441,1469,30068,109574,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto11_ActaMR.pdf
28,TAMAULIPAS,12,MATAMOROS,106,215,12316,3820,257,672,539,1755,12034,,31393,3254,1567,36214,119963,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto12_ActaMR.pdf
28,TAMAULIPAS,13,SAN FERNANDO,160,259,33377,5241,696,492,821,1390,13916,,55933,40,1785,57758,118194,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto13_ActaMR.pdf
28,TAMAULIPAS,14,VICTORIA,82,208,23577,9972,589,1998,670,3620,14966,,55392,252,1821,57465,124068,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto14_ActaMR.pdf
28,TAMAULIPAS,15,VICTORIA,67,201,24733,5532,644,970,889,2515,14006,,49289,102,1929,51320,124344,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto15_ActaMR.pdf
28,TAMAULIPAS,16,XICOTÉNCATL,150,271,37534,5186,815,390,659,1152,12494,,58230,42,1577,59849,126650,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto16_ActaMR.pdf
28,TAMAULIPAS,17,EL MANTE,123,228,27447,4018,555,726,1066,1367,13009,,48188,50,1572,49810,117665,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto17_ActaMR.pdf
28,TAMAULIPAS,18,ALTAMIRA,76,209,23510,4215,464,727,474,2593,11631,,43614,46,1387,45047,123770,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto18_ActaMR.pdf
28,TAMAULIPAS,19,MIRAMAR,42,167,16348,1636,350,519,1824,642,10028,,31347,36,1073,32456,110802,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto19_ActaMR.pdf
28,TAMAULIPAS,20,CIUDAD MADERO,94,219,15750,2961,909,1969,2693,1734,12559,,38575,57,962,39594,126680,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto20_ActaMR.pdf
28,TAMAULIPAS,21,TAMPICO,69,194,21726,1708,455,802,527,921,11888,,38027,48,1195,39270,119672,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto21_ActaMR.pdf
28,TAMAULIPAS,22,TAMPICO,123,237,24701,3548,390,644,565,1080,11947,,42875,41,1134,44050,129456,http://www.ietam.org.mx/portal/documentos/PE2019/AECD/Dto22_ActaMR.pdf

