ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
28,TAMAULIPAS,1,ABASOLO,11,16,1472,1322,69,61,46,74,844,,3888,2,100,3990,8329,
28,TAMAULIPAS,2,ALDAMA,21,45,5688,795,100,55,81,1824,2274,,10817,3,322,11142,23346,
28,TAMAULIPAS,3,ALTAMIRA,84,265,29343,4428,556,926,1618,1101,14745,,52717,60,1780,54557,168760,
28,TAMAULIPAS,4,ANTIGUO MORELOS,7,12,2175,243,55,31,26,60,644,,3234,5,63,3302,7289,
28,TAMAULIPAS,5,BURGOS,8,12,1305,107,35,11,10,32,492,,1992,0,34,2026,4525,
28,TAMAULIPAS,6,BUSTAMANTE,9,15,2708,250,14,11,21,55,371,,3430,0,61,3491,5611,
28,TAMAULIPAS,7,CAMARGO,16,26,2630,493,52,34,31,48,1008,,4296,0,194,4490,13036,
28,TAMAULIPAS,8,CASAS,8,13,1577,188,18,6,12,47,364,,2212,0,50,2262,4270,
28,TAMAULIPAS,9,CIUDAD MADERO,107,285,20578,3589,1067,2234,3292,2044,17199,,50003,77,1319,51399,169146,
28,TAMAULIPAS,10,CRUILLAS,5,7,549,21,7,4,14,17,652,,1264,0,16,1280,2064,
28,TAMAULIPAS,11,GOMEZ FARIAS,7,17,2065,213,82,26,43,74,875,,3378,0,98,3476,7089,
28,TAMAULIPAS,12,GONZALEZ,37,66,6298,936,178,138,206,350,4099,,12205,4,489,12698,31304,
28,TAMAULIPAS,13,GUEMEZ,15,27,2265,496,69,49,101,253,3962,,7195,7,166,7368,12689,
28,TAMAULIPAS,14,GUERRERO,3,6,549,194,7,3,5,16,212,,986,1,17,1004,2628,
28,TAMAULIPAS,15,GUSTAVO DIAZ ORDAZ,14,27,2211,525,33,31,26,72,1345,,4243,2,146,4391,13570,
28,TAMAULIPAS,16,HIDALGO,21,32,6309,301,76,59,96,98,627,,7566,17,311,7894,14823,
28,TAMAULIPAS,17,JAUMAVE,12,26,3291,558,57,35,27,115,1263,,5346,3,178,5527,11833,
28,TAMAULIPAS,18,JIMENEZ,8,13,1335,198,22,141,19,64,822,,2601,3,57,2661,6074,
28,TAMAULIPAS,19,LLERA,18,29,2971,262,65,32,65,101,1184,,4680,2,138,4820,12759,
28,TAMAULIPAS,20,MAINERO,86,162,21149,3082,377,588,860,1017,8910,,35983,46,1083,37112,86361,
28,TAMAULIPAS,21,EL MANTE,4,6,1626,15,2,2,3,2,18,,1668,0,43,1711,2121,
28,TAMAULIPAS,22,MATAMOROS,224,667,38676,14453,920,1852,1748,4872,37401,,99922,13748,5535,119205,403626,
28,TAMAULIPAS,23,MENDEZ,6,10,1345,148,31,11,11,42,308,,1896,0,30,1926,4065,
28,TAMAULIPAS,24,MIER,6,10,1142,144,15,11,18,27,456,,1813,0,53,1866,4390,
28,TAMAULIPAS,25,MIGUEL ALEMAN,22,41,4222,917,36,20,42,72,1713,,7022,5,247,7274,20819,
28,TAMAULIPAS,26,MIQUIHUANA,4,6,1162,49,16,5,21,60,482,,1795,0,32,1827,2941,
28,TAMAULIPAS,27,NUEVO LAREDO,206,529,38766,10580,608,1238,828,2135,22808,3062,80025,112,3351,83488,316267,
28,TAMAULIPAS,28,NUEVO MORELOS,3,5,738,77,12,8,6,25,301,,1167,1,22,1190,3134,
28,TAMAULIPAS,29,OCAMPO,14,22,3133,383,92,32,89,109,1415,,5253,1,137,5391,10692,
28,TAMAULIPAS,30,PADILLA,9,21,3351,309,42,30,97,144,1306,,5279,2,147,5428,11569,
28,TAMAULIPAS,31,PALMILLAS,4,5,821,67,5,3,4,25,88,,1013,4,21,1038,1737,
28,TAMAULIPAS,32,REYNOSA,400,901,67875,8962,2999,1971,2054,4194,39767,,127822,207,5344,133373,518334,
28,TAMAULIPAS,33,RIO BRAVO,72,176,12395,4067,715,668,1917,1510,7000,,28272,26,1327,29625,103888,
28,TAMAULIPAS,34,SAN CARLOS,12,19,3419,233,36,19,21,56,282,,4066,0,74,4140,7336,
28,TAMAULIPAS,35,SAN FERNANDO,52,80,6676,1971,289,92,382,578,4456,,14444,9,712,15165,38821,
28,TAMAULIPAS,36,SAN NICOLAS,2,3,607,10,1,2,2,7,31,,660,0,3,663,1067,
28,TAMAULIPAS,37,SOTO LA MARINA,24,43,4760,585,117,57,52,164,1708,,7443,17,222,7682,19007,
28,TAMAULIPAS,38,TAMPICO,192,431,46427,5256,845,1446,1092,2001,23835,,80902,89,2329,83320,249128,
28,TAMAULIPAS,39,TULA,19,42,5571,1977,131,62,114,120,1160,,9135,4,266,9405,21900,
28,TAMAULIPAS,40,VALLE HERMOSO,46,88,8253,3758,134,623,195,396,4617,,17976,32,605,18613,47142,
28,TAMAULIPAS,41,VICTORIA,149,409,48310,15504,1233,2968,1559,6135,28972,,104681,354,3750,108785,248412,
28,TAMAULIPAS,42,VILLAGRAN,7,13,3118,110,17,11,19,23,116,,3414,0,92,3506,4711,
28,TAMAULIPAS,43,XICOTENCATL,21,36,6562,334,151,82,179,197,2639,,10144,5,289,10438,18388,
