ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,UDC,MC,MORENA,UNIDOS,PRC,EZA-PRO,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
5,COAHUILA,1,ACUÑA,93,238,1639,19763,471,409,3035,10075,215,11608,1661,209,343,,,49428,21,1883,51332,142274,
5,COAHUILA,2,PIEDRAS NEGRAS,110,264,2911,18469,391,659,1572,5234,949,8091,337,164,441,9475,,48693,20,1324,50037,156663,
5,COAHUILA,3,SABINAS,119,247,2695,28349,270,1068,624,4368,685,13595,352,201,871,,,53078,39,1799,54916,136811,
5,COAHUILA,4,SAN PEDRO,135,233,4044,25426,2404,534,7810,588,898,13879,489,740,406,,,57218,259,1580,59057,119959,
5,COAHUILA,5,MONCLOVA,125,259,5448,27990,489,748,782,4588,400,8774,505,214,246,,1097,51281,73,1375,52729,144982,
5,COAHUILA,6,FRONTERA,104,246,4542,24491,665,1143,2170,1143,366,10640,1466,238,179,,,47043,59,1388,48490,141722,
5,COAHUILA,7,MATAMOROS,131,257,1447,41464,4213,6456,1200,1366,370,16006,1434,3284,684,,,77924,62,2051,80037,142576,
5,COAHUILA,8,TORREON,37,194,9955,27054,433,427,532,483,752,9142,430,349,230,,,49787,59,1131,50977,128568,
5,COAHUILA,9,TORREON,154,244,11233,28642,526,582,853,491,383,13173,342,223,455,,,56903,30,1632,58565,129606,
5,COAHUILA,10,TORREON,134,227,8825,29569,578,386,929,262,855,9893,425,236,293,,,52251,36,1183,53470,118965,
5,COAHUILA,11,TORREON,37,194,6810,25720,382,424,736,423,481,11248,380,329,329,,,47262,95,1232,48589,128903,
5,COAHUILA,12,RAMOS ARIZPE,105,243,3948,25479,779,773,1575,442,432,5227,6655,206,2514,,,48030,22,1556,49608,131979,
5,COAHUILA,13,SALTILLO,91,228,4557,25639,410,662,1001,401,575,9428,1790,257,2031,,,46751,60,1647,48458,138565,
5,COAHUILA,14,SALTILLO,76,249,9018,26241,430,631,994,448,3068,9165,1279,149,1235,,,52658,589,1667,54914,159491,
5,COAHUILA,15,SALTILLO,88,238,4723,28555,603,1158,1005,301,789,9803,2129,245,1178,,,50489,59,1961,52509,145522,
5,COAHUILA,16,SALTILLO,122,267,4561,32519,638,692,1047,401,559,10701,1885,264,4107,,,57374,55,2332,59761,154160,
