ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PLA,PANALA,PES,RSP,FXM,PAN_PRD,PT_MORENA_PANALA,PT_MORENA,PT_PANALA,MORENA_PANALA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
1,AGUASCALIENTES,1,RINCON DE ROMOS,26,84,5575,5562,321,3449,2186,5511,3046,292,1273,299,209,891,36,79,36,37,28,737,29567,35,1148,30750,51743,
1,AGUASCALIENTES,2,PALO ALTO,25,83,8597,893,854,594,2815,458,15069,119,625,244,502,2981,129,,,,,,33880,8,1091,34979,52183,
1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,27,80,4702,4127,6734,3930,2402,383,5341,88,376,284,373,226,254,53,44,7,2,,29326,157,1007,30490,49063,
1,AGUASCALIENTES,4,SAN FRANCISCO DE LOS ROMO,16,101,13800,7885,286,846,417,528,7236,562,1202,437,202,327,56,,,,,,33784,37,863,34684,67832,
1,AGUASCALIENTES,5,AGUASCALIENTES,18,86,12668,1800,395,473,273,892,6340,585,241,285,121,432,41,,,,,,24546,35,649,25230,57531,
1,AGUASCALIENTES,6,AGUASCALIENTES,37,98,24081,2336,346,369,267,1171,4748,315,259,181,100,390,54,,,,,,34617,18,641,35276,58346,
1,AGUASCALIENTES,7,JESUS MARIA,16,89,13164,3009,322,711,521,306,7267,302,388,1041,199,1048,53,30,38,9,14,,28422,25,616,29063,58280,
1,AGUASCALIENTES,8,CALVILLO,38,96,10228,2182,424,760,368,758,6241,3413,709,224,266,3413,118,,,,,,29104,12,1135,30251,55675,
1,AGUASCALIENTES,9,AGUASCALIENTES,37,102,12356,1791,284,481,231,2401,5983,516,294,297,161,684,147,111,16,0,3,,25756,38,774,26568,59909,
1,AGUASCALIENTES,10,AGUASCALIENTES,43,105,18686,2244,380,534,478,1173,6066,400,357,380,130,456,47,,,,,,31331,20,821,32172,60739,
1,AGUASCALIENTES,11,AGUASCALIENTES,72,112,16140,2385,414,511,260,1104,7098,531,260,320,111,469,32,11,41,0,10,,29697,65,814,30576,56171,
1,AGUASCALIENTES,12,AGUASCALIENTES,25,89,7401,1625,630,483,266,726,5903,417,266,301,175,461,72,12,40,1,5,,18784,17,509,19310,58696,
1,AGUASCALIENTES,13,AGUASCALIENTES,33,92,10272,1905,285,563,268,974,6277,619,273,322,110,362,36,7,25,2,4,,22304,63,755,23122,51515,
1,AGUASCALIENTES,14,AGUASCALIENTES,32,91,12409,2149,358,486,368,1392,6905,455,725,369,158,428,38,32,29,4,16,,26321,14,789,27124,54853,
1,AGUASCALIENTES,15,AGUASCALIENTES,41,96,9246,1882,539,462,303,1148,6982,607,410,412,222,322,102,,,,,,22637,70,790,23497,52810,
1,AGUASCALIENTES,16,AGUASCALIENTES,36,96,8084,1560,1188,467,417,1140,6569,461,431,398,161,412,181,,,,,,21469,79,776,22324,55539,
1,AGUASCALIENTES,17,AGUASCALIENTES,63,109,16235,2167,347,572,327,1067,6070,482,357,326,110,451,47,,,,,,28558,36,729,29323,55600,
1,AGUASCALIENTES,18,AGUASCALIENTES,37,103,12331,1825,352,481,310,1080,6636,439,254,435,121,362,36,14,31,1,7,,24715,37,823,25575,60922,
