ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PLA,PANALA,PES,RSP,FXM,PAN_PRD,PT_MORENA_PANALA,PT_MORENA,PT_PANALA,MORENA_PANALA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
1,AGUASCALIENTES,1,AGUASCALIENTES,474,1179,159909,23669,5518,5882,3768,14268,75577,5827,4127,4026,1680,5229,833,187,182,8,45,0,310735,492,8870,320097,682631,
1,AGUASCALIENTES,2,ASIENTOS,17,58,6881,654,457,513,440,370,12552,93,454,175,392,279,41,0,0,0,0,0,23301,1,554,23856,36221,
1,AGUASCALIENTES,3,CALVILLO,31,81,8891,1598,288,704,305,709,5168,2853,617,196,154,2317,43,0,0,0,0,0,23843,11,950,24804,48366,
1,AGUASCALIENTES,4,COSIO,5,19,1953,1810,76,1971,578,2014,411,13,110,24,21,78,9,2,0,1,1,102,9174,2,244,9420,12212,
1,AGUASCALIENTES,5,JESUS MARIA,22,133,21764,4378,458,1214,666,627,10648,471,616,1307,290,1263,81,30,38,9,14,0,43874,51,934,44859,88247,
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,17,53,1030,3911,5134,624,2290,221,3576,55,238,239,280,172,98,52,40,6,1,0,17967,149,670,18786,32690,
1,AGUASCALIENTES,7,RINCON DE ROMOS,21,65,3622,3752,245,1478,1608,3497,2635,279,1163,275,188,813,27,77,36,36,27,635,20393,33,904,21330,39531,
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,7,15,1337,584,136,56,63,49,1073,560,92,28,112,1096,75,0,0,0,0,0,5261,1,185,5447,7309,
1,AGUASCALIENTES,9,TEPEZALA,10,27,3672,216,1600,3306,112,162,1765,33,138,45,93,54,156,1,4,1,1,0,11359,8,337,11704,16373,
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,10,57,5200,6516,150,343,272,207,3855,393,974,171,111,112,28,0,0,0,0,0,18332,11,545,18888,37865,
1,AGUASCALIENTES,11,EL LLANO,8,25,1716,239,397,81,2375,88,2517,26,171,69,110,2702,88,0,0,0,0,0,10579,7,537,11123,15962,
