ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,C_COMUN_PAN_PRI_PRD_PRS_PHBCS,PT,PVEM,MC,MORENA,BCSC,PANALBCS,PES,RSP,FXM,CAND_IND3,CAND_IND2,CAND_IND4,COA_MORENA_PT,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,11,65,7138,900,709,462,4951,239,587,342,692,776,0,0,0,421,17217,6,392,17615,42035,
3,BAJA CALIFORNIA SUR,2,LA PAZ,45,66,6608,758,1876,651,6146,245,617,360,178,267,0,0,0,345,18051,16,585,18652,34522,
3,BAJA CALIFORNIA SUR,3,LA PAZ,39,65,6514,795,1442,559,6231,374,274,258,129,217,0,399,0,424,17616,8,539,18163,32926,
3,BAJA CALIFORNIA SUR,4,LA PAZ,35,77,6770,810,612,727,7464,559,400,474,194,381,0,0,0,363,18754,16,437,19207,43808,
3,BAJA CALIFORNIA SUR,5,LA PAZ,37,71,8376,716,627,900,6410,298,435,458,170,519,0,0,0,338,19247,15,528,19790,36349,
3,BAJA CALIFORNIA SUR,6,LA PAZ,32,70,4811,842,1079,352,6143,188,230,405,147,203,0,0,0,349,14749,5,635,15389,33926,
3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,31,69,3604,1704,1096,319,4440,181,570,438,109,1152,0,0,0,592,14205,5,406,14616,37282,
3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,22,65,4846,923,637,425,6857,277,363,228,552,1012,0,0,0,338,16458,17,466,16941,41079,
3,BAJA CALIFORNIA SUR,9,CABO SAN LUCAS,30,68,2761,1473,386,230,5944,175,382,145,1197,1069,0,0,0,553,14315,6,547,14868,37805,
3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,29,56,3288,1832,875,730,4534,166,302,81,69,3033,0,0,0,512,15422,0,545,15967,29038,
3,BAJA CALIFORNIA SUR,11,CIUDAD CONSTITUCION,42,59,4429,1200,663,766,5392,150,188,294,98,2100,0,0,0,428,15708,0,498,16206,27087,
3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,17,62,4760,2670,825,292,4913,316,709,203,112,657,0,0,0,966,16423,17,425,16865,35676,
3,BAJA CALIFORNIA SUR,13,LORETO,31,65,8339,743,267,678,4382,71,1914,637,291,78,766,0,0,190,18356,8,602,18966,30160,
3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,23,50,3543,436,0,0,4307,570,2537,138,72,63,0,0,0,151,11817,3,337,12157,25171,
3,BAJA CALIFORNIA SUR,15,LA PAZ,34,61,9429,760,447,626,6174,393,473,849,139,232,0,0,492,458,20472,12,467,20951,33858,
3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,23,66,5795,826,806,605,6118,286,339,263,583,1103,0,0,0,467,17191,14,493,17698,40926,
