ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PES,RSP,FXM,PBC,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
2,BAJA CALIFORNIA,1,MEXICALI,129,287,6187,2625,550,830,1278,1691,26402,0,816,827,1523,127,74,22,3,0,0,0,0,0,0,42955,140,11783,54878,169696,
2,BAJA CALIFORNIA,2,MEXICALI,78,264,15154,2962,412,836,1494,6423,26884,10036,767,1129,2377,337,88,25,3,0,0,0,0,0,0,68927,86,1708,70721,166169,
2,BAJA CALIFORNIA,3,MEXICALI,164,310,19727,5232,524,874,1328,4468,27910,12254,1299,1110,2922,354,81,20,4,121,18,104,55,0,0,78405,106,1919,80430,167862,
2,BAJA CALIFORNIA,4,MEXICALI,115,270,11840,3070,636,724,951,3092,24698,7660,824,1129,1610,245,78,22,4,131,21,75,41,0,0,56851,77,1581,58509,158897,
2,BAJA CALIFORNIA,5,MEXICALI,94,267,4909,2083,482,763,1032,1964,24964,7345,990,756,959,95,49,7,4,113,27,115,63,0,0,46720,66,1616,48402,155913,
2,BAJA CALIFORNIA,6,TECATE,110,280,5310,5915,898,1047,2057,4994,25654,9631,1168,1721,865,255,77,11,15,108,23,110,73,0,0,59932,49,2363,62344,167698,
2,BAJA CALIFORNIA,7,TIJUANA,144,305,6106,2100,1158,2830,1098,2159,33833,9377,739,1107,1310,134,39,23,8,224,35,209,46,0,0,62535,67,1601,64203,176761,
2,BAJA CALIFORNIA,8,TIJUANA,83,282,10776,3165,715,1326,2191,2073,31750,11225,814,1089,1681,275,63,17,3,0,0,0,0,0,0,67163,70,2001,69234,177778,
2,BAJA CALIFORNIA,9,TIJUANA,136,295,15207,4783,757,1232,1300,3666,22698,13891,977,1096,5528,520,90,13,5,208,33,126,62,0,0,72192,61,1563,73816,165428,
2,BAJA CALIFORNIA,10,TIJUANA,179,324,11323,4531,785,907,1825,2633,25316,13523,735,941,2154,333,99,22,7,0,0,0,0,0,0,65134,62,2168,67364,171308,
2,BAJA CALIFORNIA,11,TIJUANA,98,283,10291,3700,758,767,1946,2522,27807,14584,776,1182,2198,364,117,50,19,0,0,0,0,0,0,67081,83,2420,69584,172856,
2,BAJA CALIFORNIA,12,TIJUANA,112,272,6154,3303,1024,1094,1288,2618,29231,10489,734,1298,996,244,65,12,10,0,0,0,0,0,0,58560,63,1992,60615,164634,
2,BAJA CALIFORNIA,13,TIJUANA,124,321,6536,2319,1210,993,1338,1818,35490,11958,815,914,1342,205,29,23,12,0,0,0,0,0,0,65002,47,2074,67123,190842,
2,BAJA CALIFORNIA,14,TIJUANA,176,349,4409,2081,1049,1462,2100,1648,40909,8954,593,0,935,94,27,6,3,0,0,0,0,0,0,64270,48,2959,67277,194465,
2,BAJA CALIFORNIA,15,POBLADO ROSARITO,95,318,8715,3578,976,2472,2925,3834,31209,11036,2293,4830,1010,250,58,65,7,0,0,0,0,0,0,73258,96,2867,76221,192574,
2,BAJA CALIFORNIA,16,ENSENADA,93,274,7358,3875,668,3530,1106,2327,24406,9044,2442,6536,875,208,40,7,8,335,69,318,58,3624,0,66834,55,2281,69170,168828,
2,BAJA CALIFORNIA,17,ENSENADA,83,266,3006,2562,1301,2933,1028,1266,24173,6156,774,2409,530,97,28,9,10,253,80,277,70,0,2361,49323,30,1921,51274,157468,
