ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,19,51,804,3441,142,422,280,6613,4362,188,119,100,172,78,1,8,16730,4,405,17139,29940,https://www.ieec.org.mx/Documentacion/elecciones/2021/COMPUTO/DMRCOMP_D01.pdf
4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,8,47,457,4245,124,270,232,6570,4887,174,174,116,205,35,4,6,17499,12,468,17979,31640,https://www.ieec.org.mx/Documentacion/elecciones/2021/COMPUTO/DMRCOMP_D02.pdf
4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,16,49,755,3667,137,254,1012,5301,5258,176,171,181,212,60,0,3,17187,3,463,17653,29180,https://www.ieec.org.mx/Documentacion/elecciones/2021/COMPUTO/DMRCOMP_D03.pdf
4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,23,56,567,5364,165,256,431,6915,5451,184,117,115,176,68,1,11,19821,13,465,20299,31587,https://www.ieec.org.mx/Documentacion/elecciones/2021/COMPUTO/DMRCOMP_D04.pdf
4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,21,54,568,5668,191,264,366,5139,6880,157,153,166,208,46,3,6,19815,17,444,20276,31987,https://www.ieec.org.mx/Documentacion/elecciones/2021/COMPUTO/DMRCOMP_D05.pdf
4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,32,65,640,6510,262,381,371,6178,6882,256,227,129,154,81,4,9,22084,9,543,22636,34015,https://www.ieec.org.mx/Documentacion/elecciones/2021/COMPUTO/DMRCOMP_D06.pdf
4,CAMPECHE,7,TENABO,35,68,1066,6229,161,234,480,6604,7329,193,606,169,285,84,2,5,23447,21,556,24024,32489,https://www.ieec.org.mx/Documentacion/elecciones/2021/COMPUTO/DMRCOMP_D07.pdf
4,CAMPECHE,8,CIUDAD DEL CARMEN,17,49,1434,3300,98,175,294,1762,7544,154,260,73,138,76,4,6,15318,5,514,15837,31586,https://www.ieec.org.mx/Documentacion/elecciones/2021/COMPUTO/DMRCOMP_D08.pdf
4,CAMPECHE,9,CIUDAD DEL CARMEN,24,54,950,3972,108,220,874,2049,7969,134,158,124,114,48,4,6,16730,10,440,17180,31007,https://www.ieec.org.mx/Documentacion/elecciones/2021/COMPUTO/DMRCOMP_D09.pdf
4,CAMPECHE,10,CIUDAD DEL CARMEN,16,47,681,3414,72,223,286,2164,6761,95,123,71,92,25,1,10,14018,11,325,14354,29927,https://www.ieec.org.mx/Documentacion/elecciones/2021/COMPUTO/DMRCOMP_D10.pdf
