ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,1,CAMPECHE,146,373,4334,33459,1144,2036,2965,42236,38647,1275,1196,926,1296,411,15,46,129986,75,3162,133223,212325,
4,CAMPECHE,2,CALKINI,30,60,500,6545,271,272,515,6102,7453,180,439,857,143,30,5,26,23338,14,484,23836,31269,
4,CAMPECHE,3,CARMEN,135,308,4743,24029,817,1858,2536,15431,43078,754,1305,554,834,297,14,42,96292,47,2862,99201,182975,
4,CAMPECHE,4,CHAMPOTON,48,105,1004,9558,267,1178,258,6622,13844,267,376,132,334,94,5,15,33954,4,1058,35016,55603,
4,CAMPECHE,5,HECELCHAKAN,18,40,876,4126,49,992,429,4338,5332,401,273,287,44,18,1,4,17170,3,325,17498,23365,
4,CAMPECHE,6,HOPELCHEN,32,56,505,7494,352,742,219,5498,5186,104,219,51,110,28,0,2,20510,0,394,20904,28711,
4,CAMPECHE,7,PALIZADA,10,14,63,2127,42,405,24,1089,1975,16,22,9,41,5,1,7,5826,0,126,5952,7380,
4,CAMPECHE,8,TENABO,8,17,523,1665,38,45,207,1084,2402,53,371,50,116,41,0,2,6597,4,182,6783,8513,
4,CAMPECHE,9,ESCARCEGA,36,74,1514,4966,372,550,677,7629,8003,187,316,104,327,125,9,16,24795,3,891,25689,42567,
4,CAMPECHE,10,CANDELARIA,35,65,4020,3841,91,333,265,1775,8297,264,207,111,122,221,10,2,19559,1,738,20298,33301,
4,CAMPECHE,11,CALAKMUL,18,39,103,3388,81,476,75,1599,6795,234,323,58,88,33,1,6,13260,0,412,13672,19722,
4,CAMPECHE,12,DZITBALCHE,6,17,71,2703,72,643,74,1454,2974,46,122,117,39,7,2,5,8329,0,160,8489,11472,
4,CAMPECHE,13,SEYBAPLAYA,9,22,80,2360,29,157,232,1875,3253,55,278,21,98,12,0,2,8452,0,218,8670,11547,
