ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,ELIGE,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,143,379,8912,8107,6404,3174,1776,2774,52741,1325,4799,1325,1627,,,,212,,,,659,,,,,,,,,,93835,148,4023,98006,233262,
9,CIUDAD DE MEXICO,2,GUSTAVO A. MADERO,263,488,45311,21118,6556,4247,4414,4127,45870,1296,1597,1026,2002,1666,267,67,52,,,,630,,,,,,,,,,140246,181,3501,143928,254585,
9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,198,416,28551,14263,2875,4720,2047,3115,48969,813,2096,804,8426,1194,197,44,24,,,,592,,,,,,,,,,118730,158,3618,122506,236951,
9,CIUDAD DE MEXICO,4,GUSTAVO A. MADERO,219,483,18842,15953,19986,3393,2553,4017,55367,1332,1963,1295,1901,,,,,,,,551,,,,,,,,,,127153,150,4470,131773,276951,
9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,222,467,48428,17980,2953,3563,2305,4299,51317,1084,2182,2188,3435,,,,217,448,38,127,445,,,,,,,,,941,141950,186,4448,146584,261053,
9,CIUDAD DE MEXICO,6,GUSTAVO A. MADERO,233,500,26002,23008,14393,3794,2647,4758,60989,1475,2524,1274,2311,1653,259,77,88,,,,567,,,,,,,,,,145819,224,4220,150263,288457,
9,CIUDAD DE MEXICO,7,MILPA ALTA,95,338,6073,20461,3443,6162,3241,5086,41567,1275,7214,1203,2793,629,137,34,177,,,,621,,,,,,,,,,100116,109,4397,104622,215971,
9,CIUDAD DE MEXICO,8,TLAHUAC,94,318,10589,14271,4915,4814,2108,2343,38624,829,3312,967,1915,678,149,24,209,,,,488,,,,,,,,,,86235,127,3098,89460,201849,
9,CIUDAD DE MEXICO,9,CUAUHTEMOC,184,404,21413,27130,2769,3296,2404,3453,42932,776,3380,1040,1662,1305,249,42,88,,,,701,1560,,,,,,,,,114200,189,3933,118322,236970,
9,CIUDAD DE MEXICO,10,VENUSTIANO CARRANZA,206,434,26377,21540,8218,2888,2432,4505,58657,1153,2989,1095,1746,1780,213,68,73,,,,634,,,,,,,,,,134368,175,3922,138465,253345,
9,CIUDAD DE MEXICO,11,IZTACALCO,213,449,23186,17715,7836,5057,2489,6049,58932,1031,2582,977,2467,1235,159,69,76,,,,663,,,,,,,,,,130523,232,3826,134581,257446,
