ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,ELIGE,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,347,693,55151,25371,4666,6814,2960,5182,75497,1411,3406,2166,11205,1194,197,44,162,164,17,56,810,,,,,,,,,439,196912,253,6079,203244,381925,
9,CIUDAD DE MEXICO,3,COYOACAN,403,963,109721,42295,18503,7686,5511,10474,110546,2750,3227,1709,4302,1945,228,115,635,,,,1297,,,,,,,,,,320944,800,9843,331587,567368,
9,CIUDAD DE MEXICO,4,CUAJIMALPA DE MORELOS,79,283,25445,39847,2774,3617,1615,4452,26958,788,2367,857,1250,0,0,0,387,,,,359,,,,,,,,,,110716,74,3379,114169,178827,
9,CIUDAD DE MEXICO,5,GUSTAVO A. MADERO,858,1850,99067,68186,47339,14608,11390,15676,214967,5428,10883,4920,7841,3319,526,144,352,,,,2407,,,,,,,,,,507053,703,16214,523970,1053255,
9,CIUDAD DE MEXICO,6,IZTACALCO,299,629,42392,24946,10462,13329,3006,5387,70405,1495,3694,1655,3565,357,64,23,33,,,,989,,,,,,,,,,181802,276,5728,187806,359480,
9,CIUDAD DE MEXICO,7,IZTAPALAPA,1003,2499,98335,78664,40986,28529,15370,21736,321868,5758,12920,4698,9658,2474,437,475,519,,,,4778,,,,,1778,,,,,648983,810,22915,672708,1499002,
9,CIUDAD DE MEXICO,8,LA MAGDALENA CONTRERAS,149,350,22149,26748,2190,2816,2617,3700,40030,707,2783,929,1883,1280,266,43,47,,,,487,,,,1785,,,,,,110460,141,3333,113934,204326,
9,CIUDAD DE MEXICO,9,MILPA ALTA,44,168,2307,13115,695,3227,1791,3959,20740,827,4338,691,2227,297,82,6,24,,,,378,,,,,,,,,,54704,56,2645,57405,111559,
9,CIUDAD DE MEXICO,10,ALVARO OBREGON,442,1040,102882,44002,22875,7862,4655,10364,102546,2749,4563,1674,7222,1884,246,103,195,,,,1197,,,,,,,,1124,,316143,384,10872,327399,609673,
9,CIUDAD DE MEXICO,11,TLAHUAC,145,488,14355,21617,7663,7749,3558,3470,59451,1277,6188,1479,2481,1010,204,52,362,,,,731,,,,,,,,,,131647,180,4850,136677,306261,
9,CIUDAD DE MEXICO,12,TLALPAN,352,935,79620,37763,7728,6083,4949,20252,102520,2535,3380,1438,15767,2100,342,77,60,,,,1378,,457,,,,,,,,286449,422,9241,296112,559586,
9,CIUDAD DE MEXICO,13,XOCHIMILCO,171,558,32631,20593,3563,6311,4509,6367,65342,1526,2718,1889,2308,1767,350,84,52,,,,691,,1577,1146,,,1104,,,,154528,240,5340,160108,351626,
9,CIUDAD DE MEXICO,14,BENITO JUAREZ,254,629,143770,22680,3859,2251,1985,5957,47742,1163,1270,711,1350,0,0,0,74,,,,655,,,,,,,,,,233467,283,4891,238641,374482,
9,CIUDAD DE MEXICO,15,CUAUHTEMOC,389,838,62713,50017,6681,6125,4239,8073,85017,1723,4891,1664,3869,3150,552,102,123,,,,1292,1560,,,,,,1435,,,243226,424,7221,250871,487027,
9,CIUDAD DE MEXICO,16,MIGUEL HIDALGO,255,554,87241,19776,3235,3170,3665,5578,60315,1251,1624,1273,1576,0,0,0,330,284,21,71,883,,,,,,,,,502,190795,217,5038,196050,323767,
9,CIUDAD DE MEXICO,17,VENUSTIANO CARRANZA,336,698,38829,32248,13606,4558,3982,8895,95615,1731,4147,1641,3260,2658,308,114,116,,,,1047,,,,,,,,,,212755,305,6243,219303,404354,
