ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,NACH,PAN_PRD,PT_MORENA_NACH,PT_MORENA,PT_NACH,MORENA_NACH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,184,268,19680,6267,2288,1862,1259,5917,14887,1842,,2010,842,276,144,168,19,85,57546,15,2783,60344,127010,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACD-DIPMR-D01_NUEVO CASAS GRANDES.pdf
8,CHIHUAHUA,2,JUAREZ,69,186,5320,2482,260,816,846,2206,17365,977,259,954,508,,,,,,31993,20,1314,33327,113068,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACD-DIPMR-D02_JUAREZ.pdf
8,CHIHUAHUA,3,JUAREZ,151,220,6877,2717,299,1252,633,2954,18684,1222,,908,,,,,,,35546,83,1763,37392,120745,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACD-DIPMR-D03_JUAREZ.pdf
8,CHIHUAHUA,4,JUAREZ,221,273,17858,5547,400,1173,696,3206,21579,841,684,604,630,,,,,,53218,80,1850,55148,133780,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACD-DIPMR-D04_JUAREZ.pdf
8,CHIHUAHUA,5,JUAREZ,88,237,32268,5054,377,1723,771,4911,21483,1039,557,794,1134,,,,,,70111,96,1551,71758,141442,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACD-DIPMR-D05_JUAREZ.pdf
8,CHIHUAHUA,6,JUAREZ,153,237,10823,3988,314,1483,1710,3470,23041,1034,382,731,642,,89,354,16,40,48117,56,1744,49917,127517,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACD-DIPMR-D06_JUAREZ.pdf
8,CHIHUAHUA,7,JUAREZ,121,231,9955,3492,393,1450,1067,3932,24608,1156,,831,1322,,,,,,48206,46,1772,50024,126627,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACD-DIPMR-D07_JUAREZ.pdf
8,CHIHUAHUA,8,JUAREZ,107,228,6560,2493,287,2314,686,2730,22940,1343,,741,,40,,,,,40134,26,1346,41506,129651,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACD-DIPMR-D08_JUAREZ.pdf
8,CHIHUAHUA,9,JUAREZ,85,204,7202,2880,233,1182,1140,3542,23748,1035,357,736,637,29,,,,,42721,47,1442,44210,115798,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACD-DIPMR-D09_JUAREZ.pdf
8,CHIHUAHUA,10,JUAREZ,181,269,4435,1813,207,1217,594,2010,21710,616,335,348,421,115,,,,,33821,58,1048,34927,135891,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACD-DIPMR-D10_JUAREZ.pdf
