ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,NACH,PAN_PRD,PT_MORENA_NACH,PT_MORENA,PT_NACH,MORENA_NACH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
8,CHIHUAHUA,1,AHUMADA,15,24,651,975,11,2194,113,62,1144,28,14,,40,0,,,,,5232,0,288,5520,9922,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-DIPMR-D11_001 AHUMADA.pdf
8,CHIHUAHUA,2,ALDAMA,20,39,3392,748,78,224,118,1881,1896,303,40,,1636,8,,,,,10324,7,478,10809,21401,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-DIPMR-D11_002 ALDAMA.pdf
8,CHIHUAHUA,3,ALLENDE,15,18,1295,1933,31,79,277,758,468,101,,16,145,4,,,,,5107,0,185,5292,7459,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-DIPMR-D20_003 ALLENDE.pdf
8,CHIHUAHUA,4,AQUILES SERDAN,3,21,1404,1815,20,164,36,356,1173,160,371,,48,66,,,,,5613,0,252,5865,13607,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-DIPMR-D11_004 AQUILES SERDAN.pdf
8,CHIHUAHUA,5,ASCENSION,20,32,2095,997,1246,112,93,962,1880,39,,42,54,17,2,8,1,5,7553,1,339,7893,18655,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-DIPMR-D01_005 ASCENSION.pdf
8,CHIHUAHUA,6,BACHINIVA,17,17,1675,276,19,127,14,309,1032,6,9,9,19,2,1,2,1,0,3501,0,201,3702,5786,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-DIPMR-D13_006 BACHINIVA.pdf
8,CHIHUAHUA,7,BALLEZA,14,25,774,4800,,56,57,225,770,29,42,,34,,0,0,0,0,6787,1,540,7328,13631,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-DIPMR-D22_007 BALLEZA.pdf
8,CHIHUAHUA,8,BATOPILAS DE MANUEL GOMEZ MORIN,11,17,318,2556,,34,68,75,645,101,49,,27,,1,1,0,4,3879,2,612,4493,8145,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-DIPMR-D22_008 BATOPILAS.pdf
8,CHIHUAHUA,9,BOCOYNA,22,42,4053,2497,30,83,51,4772,572,41,15,85,132,16,1,1,0,3,12352,0,768,13120,21351,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-DIPMR-D13_009 BOCOYNA.pdf
8,CHIHUAHUA,10,BUENAVENTURA,26,39,2309,3411,46,91,74,101,2598,48,23,,56,92,,,,,8849,8,417,9274,19342,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-DIPMR-D11_010 BUENAVENTURA.pdf
