ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,PCHU,PMCH,PNA,PPCH,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_PCHU_MORENA_PMCH,PT_PVEM_PCHU_MORENA,PT_PVEM_PCHU_PMCH,PT_PVEM_MORENA_PMCH,PT_PCHU_MORENA_PMCH,PVEM_PCHU_MORENA_PMCH,PT_PVEM_PCHU,PT_PVEM_MORENA,PT_PVEM_PMCH,PT_PCHU_MORENA,PT_PCHU_PMCH,PT_MORENA_PMCH,PVEM_PCHU_MORENA,PVEM_PCHU_PMCH,PVEM_MORENA_PMCH,PCHU_MORENA_PMCH,PT_PVEM,PT_PCHU,PT_MORENA,PT_PMCH,PVEM_PCHU,PVEM_MORENA,PVEM_PMCH,PCHU_MORENA,PCHU_PMCH,MORENA_PMCH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
7,CHIAPAS,1,TUXTLA GUTIERREZ,112,284,5659,9997,1870,1268,1714,5486,30255,2106,2640,1544,556,450,789,914,1233,190,54,69,260,173,90,45,18,6,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,67396,178,3732,71306,171191,
7,CHIAPAS,2,TUXTLA GUTIERREZ,71,282,10138,9020,1033,11816,1222,7205,31037,3056,1275,1911,5226,3509,829,730,779,175,37,21,158,8,3,4,6,10,2,56,2,2,2,7,5,3,1,6,7,1,64,0,8,16,12,9,3,12,89426,238,4274,93938,178378,
7,CHIAPAS,3,CHIAPA DE CORZO,58,195,1276,2447,2927,21468,3304,817,22608,2020,1610,675,4758,728,1128,1098,95,17,8,9,135,19,6,10,1,3,2,20,0,0,0,2,3,2,2,2,8,0,15,1,8,24,1,7,2,2,67268,28,3136,70432,116936,
7,CHIAPAS,4,YAJALON,73,242,386,12879,529,25812,13164,741,41144,3872,3029,389,577,3280,432,111,9,1,1,2,35,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,106409,30,3395,109834,140397,
7,CHIAPAS,5,SAN CRISTOBAL DE LAS CASAS,54,234,1669,6213,1597,7500,2493,2953,15353,2755,3794,1299,5429,1365,1657,951,390,62,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55521,277,4990,60788,140383,
7,CHIAPAS,6,COMITAN DE DOMINGUEZ,81,258,2112,17122,1435,7962,13154,2203,20037,3574,2501,2474,1139,2168,4435,1014,482,93,15,32,219,2,0,0,0,0,2,6,1,1,0,0,3,7,0,1,15,1,31,3,9,11,10,12,8,4,82298,118,5477,87893,155418,
7,CHIAPAS,7,OCOSINGO,60,271,402,1791,476,40711,1640,1609,33924,2514,2626,856,446,781,605,337,29,14,6,4,79,8,5,1,0,1,0,3,1,0,0,0,3,0,0,2,7,0,3,0,4,28,4,5,0,16,88941,36,4013,92990,145891,
7,CHIAPAS,8,SIMOJOVEL,65,255,827,4809,769,41147,6772,1157,28093,1679,1171,1016,9315,2321,3714,181,47,23,3,5,88,1,0,1,5,2,3,1,0,1,1,0,2,4,1,0,3,8,6,0,18,23,6,5,2,1,103231,29,6270,109530,139933,
7,CHIAPAS,9,PALENQUE,72,261,1138,3501,1788,22880,2329,1853,25523,6918,10776,1120,6695,11480,1382,880,167,50,13,27,898,103,68,40,25,12,3,2,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,99679,27,5196,104902,151526,
7,CHIAPAS,10,FRONTERA COMALAPA,82,242,499,2248,1106,8391,500,1037,46677,1207,597,0,1546,1166,428,127,127,4,3,37,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65754,50,3089,68893,145447,
