ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,PCHU,PMCH,PNA,PPCH,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_PCHU_MORENA_PMCH,PT_PVEM_PCHU_MORENA,PT_PVEM_PCHU_PMCH,PT_PVEM_MORENA_PMCH,PT_PCHU_MORENA_PMCH,PVEM_PCHU_MORENA_PMCH,PT_PVEM_PCHU,PT_PVEM_MORENA,PT_PVEM_PMCH,PT_PCHU_MORENA,PT_PCHU_PMCH,PT_MORENA_PMCH,PVEM_PCHU_MORENA,PVEM_PCHU_PMCH,PVEM_MORENA_PMCH,PCHU_MORENA_PMCH,PT_PVEM,PT_PCHU,PT_MORENA,PT_PMCH,PVEM_PCHU,PVEM_MORENA,PVEM_PMCH,PCHU_MORENA,PCHU_PMCH,MORENA_PMCH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
7,CHIAPAS,1,ACACOYAGUA,7,20,714,353,49,1367,57,351,2711,1697,275,39,238,134,56,88,24,4,4,1,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8177,0,260,8437,12572,
7,CHIAPAS,2,ACALA,10,26,254,475,61,1407,892,143,3483,114,457,250,2255,201,171,177,12,4,2,1,14,4,2,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,1,3,1,0,10394,3,697,11094,15453,
7,CHIAPAS,3,ACAPETAHUA,14,38,343,499,56,2419,2191,266,3730,884,1632,50,550,427,68,37,3,1,1,4,30,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13202,0,322,13524,21104,
7,CHIAPAS,4,ALTAMIRANO,9,42,121,367,48,7020,105,105,6238,194,241,90,2027,186,71,25,2,2,1,1,22,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16871,13,918,17802,22553,
7,CHIAPAS,5,AMATAN,10,28,3697,296,46,4176,33,74,2573,83,65,22,90,57,39,86,4,13,3,0,17,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11386,1,361,11748,15599,
7,CHIAPAS,6,AMATENANGO DE LA FRONTERA,14,43,68,372,89,6092,84,79,4000,4261,406,30,129,105,60,17,3,3,1,5,10,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15823,0,695,16518,22828,
7,CHIAPAS,7,AMATENANGO DEL VALLE,4,11,20,2700,18,180,43,36,296,29,10,468,1313,19,12,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5149,0,239,5388,6716,
7,CHIAPAS,8,ANGEL ALBINO CORZO,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19762,
7,CHIAPAS,9,ARRIAGA,25,59,1465,1060,183,199,196,1050,7868,587,812,143,3158,223,147,117,59,7,6,0,307,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17599,1,587,18187,31582,
7,CHIAPAS,10,BEJUCAL DE OCAMPO,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6018,
7,CHIAPAS,11,BELLA VISTA,14,28,31,327,59,1910,2872,80,491,727,110,19,2364,96,96,18,2,1,0,0,23,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9232,3,528,9763,14581,
7,CHIAPAS,12,BERRIOZABAL,14,58,386,820,117,4739,223,2374,6740,847,228,263,3912,1480,152,165,25,4,2,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,10,0,2,1,22526,13,942,23481,37397,
7,CHIAPAS,13,BOCHIL,11,45,624,5911,371,2328,538,289,3353,2752,60,140,85,171,65,28,62,20,3,13,25,4,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4,1,0,1,1,16857,0,819,17676,24364,
7,CHIAPAS,14,EL BOSQUE,9,30,110,3063,61,830,83,84,2505,193,136,944,69,2868,94,117,7,4,1,2,10,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,11192,1,794,11987,17371,
7,CHIAPAS,15,CACAHOATAN,23,61,867,2794,192,402,5325,253,7724,1948,303,83,123,308,1031,83,47,16,5,10,21,4,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,21549,38,810,22397,33962,
7,CHIAPAS,16,CATAZAJA,11,25,119,969,68,229,528,579,5478,102,817,38,174,167,38,27,27,18,0,5,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9398,0,218,9616,13744,
7,CHIAPAS,17,CINTALAPA,37,109,735,4307,294,6261,1270,466,10654,1671,451,1009,5769,691,511,76,74,17,5,7,92,22,13,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34408,12,1714,36134,64340,
7,CHIAPAS,18,COAPILLA,5,14,48,151,1637,65,35,22,2149,22,31,192,603,34,63,7,4,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5068,0,288,5356,6428,
7,CHIAPAS,19,COMITAN DE DOMINGUEZ,55,179,1244,14114,580,1649,7716,1897,13307,2532,1977,2306,346,256,4260,780,377,63,6,23,169,2,0,0,0,0,2,6,1,0,0,0,2,5,0,1,11,1,20,1,1,2,1,8,4,3,53673,87,3501,57261,110523,
7,CHIAPAS,20,LA CONCORDIA,24,65,226,704,76,160,222,246,10533,10451,497,235,170,637,174,347,1,1,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24692,30,1078,25800,34975,
7,CHIAPAS,21,COPAINALA,14,32,184,3467,218,2846,115,97,3758,421,87,32,71,79,102,11,50,11,5,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,11587,1,634,12222,16343,
7,CHIAPAS,22,CHALCHIHUITAN,5,22,109,4014,59,59,144,124,3613,164,175,33,108,210,46,25,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8889,0,407,9296,11762,
7,CHIAPAS,23,CHAMULA,41,130,414,18112,227,5786,1163,442,9558,1441,710,,351,623,313,115,15,9,1,7,21,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39312,5,2923,42240,68499,
7,CHIAPAS,24,CHANAL,6,18,40,268,39,92,23,18,594,1718,11,50,119,2430,30,4,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5442,0,349,5791,7855,
7,CHIAPAS,25,CHAPULTENANGO,3,12,48,71,839,72,71,61,1691,707,28,34,30,85,11,118,14,2,7,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3897,0,180,4077,5139,
7,CHIAPAS,26,CHENALHO,18,59,99,8416,75,8564,128,105,4388,257,650,39,125,237,108,20,2,3,2,2,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23230,0,861,24091,33289,
7,CHIAPAS,27,CHIAPA DE CORZO,34,122,920,1737,190,17698,983,613,14624,1438,946,377,244,417,903,894,80,12,3,8,117,15,4,8,1,3,2,19,0,0,0,2,2,2,2,2,6,0,14,1,6,22,0,4,1,2,42322,25,1884,44231,74387,
7,CHIAPAS,28,CHIAPILLA,3,9,52,130,14,82,1264,31,836,378,139,41,808,40,12,9,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3841,0,209,4050,4945,
7,CHIAPAS,29,CHICOASEN,3,7,270,87,13,198,7,26,1119,612,11,23,86,740,19,1,5,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3223,5,170,3398,4439,
7,CHIAPAS,30,CHICOMUSELO,17,45,133,681,115,100,7948,145,6328,894,167,58,179,208,67,42,9,1,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17096,107,647,17850,25598,
7,CHIAPAS,31,CHILON,44,142,203,841,312,17815,12730,363,25574,1126,1291,275,181,227,210,72,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61235,17,1552,62804,80493,
7,CHIAPAS,32,ESCUINTLA,14,41,184,1220,161,3021,1539,205,3427,868,818,105,506,537,242,1095,3,0,0,1,23,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13970,2,563,14535,23080,
7,CHIAPAS,33,FRANCISCO LEON,2,11,53,55,10,1521,21,30,1944,268,39,11,9,15,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003,0,256,4259,5066,
7,CHIAPAS,34,FRONTERA COMALAPA,30,90,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52537,
7,CHIAPAS,35,FRONTERA HIDALGO,7,18,94,316,27,1815,76,428,2212,302,107,32,407,981,53,7,26,3,2,0,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6901,1,228,7130,10095,
7,CHIAPAS,36,LA GRANDEZA,3,10,45,191,14,279,2040,13,625,156,34,4,17,28,15,85,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3551,1,187,3739,5325,
7,CHIAPAS,37,HUEHUETAN,16,52,198,586,791,3571,2110,161,4966,1024,1001,90,2621,303,573,31,69,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,18111,71,655,18837,27943,
7,CHIAPAS,38,HUITIUPAN,10,36,160,560,100,4435,69,152,6013,1006,222,511,281,452,395,16,1,7,0,2,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14396,1,1211,15608,17632,
7,CHIAPAS,39,HUIXTAN,11,36,83,612,156,1313,4610,67,1483,360,37,,1672,127,63,12,7,0,1,1,32,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10641,6,722,11369,16445,
7,CHIAPAS,40,HUIXTLA,25,72,1593,1836,473,7108,574,252,8572,547,290,90,508,240,324,84,345,64,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,22919,16,938,23873,39954,
7,CHIAPAS,41,LA INDEPENDENCIA,16,55,232,673,1002,415,186,315,18110,551,205,,1274,191,191,27,106,2,3,36,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23540,11,1333,24884,32444,
7,CHIAPAS,42,IXHUATAN,3,10,73,83,1309,15,20,15,2324,32,31,26,9,48,5,1,28,0,10,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4045,0,105,4150,5100,
7,CHIAPAS,43,IXTACOMITAN,6,14,132,131,76,1603,38,64,2333,158,43,32,468,132,27,9,12,7,4,3,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5281,0,210,5491,7665,
7,CHIAPAS,44,IXTAPA,9,34,105,1297,53,5709,60,95,3845,2373,74,,52,77,41,72,39,8,1,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13918,7,441,14366,19759,
7,CHIAPAS,45,IXTAPANGAJOYA,2,8,36,72,30,985,1876,14,480,29,7,7,10,13,5,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3575,0,131,3706,4632,
7,CHIAPAS,46,JIQUIPILAS,24,58,718,1323,365,7013,1023,164,7873,327,134,139,343,477,205,16,60,12,4,3,34,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20244,3,786,21033,31904,
7,CHIAPAS,47,JITOTOL,7,26,153,1753,438,73,68,66,3169,1903,76,124,2485,52,188,55,204,4,2,8,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,10833,2,695,11530,14091,
7,CHIAPAS,48,JUAREZ,13,29,261,917,155,3167,103,131,3815,153,121,352,60,165,60,86,127,15,3,5,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,2,2,1,0,0,0,0,9724,22,330,10076,16053,
7,CHIAPAS,49,LARRAINZAR,9,33,25,6364,25,2470,41,28,520,42,14,19,220,24,25,8,10,0,1,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9848,6,346,10200,17143,
7,CHIAPAS,50,LA LIBERTAD,5,9,71,95,21,254,55,33,1648,64,458,32,47,415,472,7,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3679,0,305,3984,4500,
7,CHIAPAS,51,MAPASTEPEC,22,57,305,470,154,2691,2243,222,4776,1614,1656,1073,191,355,170,1365,54,7,3,0,33,14,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17405,4,692,18101,33614,
7,CHIAPAS,52,LAS MARGARITAS,38,173,331,1014,1963,1224,11378,243,16336,18482,863,202,441,773,383,413,71,4,5,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54155,6,2786,56947,88444,
7,CHIAPAS,53,MAZAPA DE MADERO,5,12,28,1124,46,116,57,24,1229,69,294,18,1266,30,25,31,13,2,0,8,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4397,5,264,4666,6112,
7,CHIAPAS,54,MAZATAN,15,39,1021,581,88,1404,1822,254,3898,776,348,308,736,640,132,378,8,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,12402,7,395,12804,20053,
7,CHIAPAS,55,METAPA,2,9,132,177,21,169,437,108,1438,187,182,31,404,70,44,13,3,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3425,0,193,3618,4914,
7,CHIAPAS,56,MITONTIC,5,16,140,1598,523,80,77,41,996,95,200,1022,148,77,28,13,3,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5051,0,464,5515,7985,
7,CHIAPAS,57,MOTOZINTLA,28,91,192,2413,644,7214,1797,411,3332,3772,5051,187,356,1181,174,478,85,62,2,9,203,21,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27603,22,2504,30129,51118,
7,CHIAPAS,58,NICOLAS RUIZ,1,5,0,1,2,3,1,2,2401,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2414,0,1,2415,3083,
