ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA_PNA,MORENA,PNA,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
6,COLIMA,1,COLIMA,25,62,2279,2996,181,2125,596,3876,5423,,,366,222,373,272,60,1,3,,,,,,18773,28,487,19288,35867,
6,COLIMA,2,COLIMA,38,72,2578,3377,197,2365,619,3906,6000,,,857,525,504,252,44,2,2,,,,,,21228,21,630,21879,38120,
6,COLIMA,3,COLIMA,18,69,1010,2433,142,1607,720,2718,5430,,,534,167,2035,143,31,6,7,,,,,,16983,12,611,17606,37189,
6,COLIMA,4,COMALA,20,62,2128,3869,144,3420,543,2934,4688,,,428,211,498,286,66,3,3,421,,,,,19642,20,634,20296,33763,
6,COLIMA,5,COQUIMATLAN,29,75,1371,2726,97,4439,710,2864,5902,,,432,371,596,156,58,2,4,,,,,,19728,24,600,20352,40795,
6,COLIMA,6,CUAUHTEMOC,28,72,2853,5759,262,1763,496,3296,7003,,,1239,411,539,423,61,5,5,,,,,,24115,26,622,24763,40489,
6,COLIMA,7,VILLA DE ALVAREZ,13,56,1851,3310,182,1420,735,3416,,4593,461,460,160,856,219,22,4,2,,,,,,17691,23,564,18278,34383,
6,COLIMA,8,VILLA DE ALVAREZ,33,58,1447,3447,197,1446,538,3116,,4853,481,577,280,568,225,26,5,1,,,,,,17207,36,465,17708,32008,
6,COLIMA,9,ARMERIA,28,57,788,1407,198,3730,1642,963,,5299,535,628,235,501,90,24,3,5,,,,,,16048,33,533,16614,31298,
6,COLIMA,10,TECOMAN,17,48,943,1610,103,1180,495,1426,,4478,286,461,181,1016,134,37,4,3,,218,,,,12575,11,483,13069,29938,
6,COLIMA,11,MANZANILLO,9,56,2291,1101,92,3344,635,1470,,5845,629,746,142,327,120,42,2,0,,,,,,16786,57,442,17285,37705,
6,COLIMA,12,MANZANILLO,6,56,2436,1321,98,3839,593,1843,,6312,525,630,145,630,158,29,4,1,,,,,,18564,79,331,18974,36760,
6,COLIMA,13,MANZANILLO,25,55,2457,1070,80,3506,430,977,,5269,428,443,139,312,125,46,5,3,,,,,,15290,421,455,16166,31491,
6,COLIMA,14,MINATITLAN,29,74,1687,2872,99,5759,494,1565,,5779,665,1117,155,282,160,61,4,2,,,162,,,20863,38,592,21493,36634,
6,COLIMA,15,TECOMAN,20,46,971,1932,93,1386,285,830,,4090,199,640,449,1095,119,48,3,4,,,,136,,12280,20,448,12748,27567,
6,COLIMA,16,TECOMAN,31,61,916,2249,114,2493,264,672,,4048,182,2488,178,1339,193,46,4,6,,,,,557,15749,20,538,16307,32305,
