ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA_PNA,MORENA,PNA,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
6,COLIMA,1,COLIMA,91,231,8030,11498,628,6924,2232,12392,19027,,,1992,1116,3047,922,162,11,14,,,,,,67995,62,1965,70022,128146,
6,COLIMA,2,COMALA,13,35,1141,2235,78,2325,245,1231,2360,,,205,78,230,163,55,2,2,242,,,,,10592,3,394,10989,17311,
6,COLIMA,3,COQUIMATLAN,15,35,685,1380,30,2887,281,822,2451,,,205,166,68,62,44,2,1,,,,,,9084,4,293,9381,16600,
6,COLIMA,4,CUAUHTEMOC,18,44,690,3067,154,936,199,1404,4829,,,1004,209,404,168,34,3,3,,,,,,13104,25,385,13514,23519,
6,COLIMA,5,VILLA DE ALVAREZ,67,181,4971,9737,512,5513,2000,10277,5779,9446,942,1487,778,2220,661,73,10,7,179,,,,,54592,96,1576,56264,107038,
6,COLIMA,6,ARMERIA,21,41,425,1053,162,2829,1548,619,,3503,401,560,191,412,68,12,3,5,,,,,,11791,8,389,12188,21839,
6,COLIMA,7,IXTLAHUACAN,8,12,199,566,44,227,30,127,,273,33,2088,18,196,61,11,1,3,,,,,6,3883,2,116,4001,5257,
6,COLIMA,8,MANZANILLO,69,239,9112,5121,372,15219,2210,6019,,24198,2285,2196,616,1606,503,174,14,6,,,141,,,69792,618,1816,72226,144215,
6,COLIMA,9,MINATITLAN,7,18,122,1597,33,2130,36,180,,803,96,808,9,34,82,16,1,0,,,21,,,5968,2,148,6118,7834,
6,COLIMA,10,TECOMAN,60,143,2631,5225,266,4832,1014,2801,,12343,634,1501,790,3254,385,120,10,10,,218,,136,551,36721,49,1353,38123,84553,
