ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PD,MORENA,PES,RSP,FXM,CAND_IND1,CAND_IND2,CAND_IND3,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
10,DURANGO,1,VICTORIA DE DURANGO,48,154,10435,7261,609,1494,605,2139,255,8420,829,2647,1022,,,,452,324,26,14,375,36907,39,1136,38082,98719,
10,DURANGO,2,VICTORIA DE DURANGO,66,163,6296,6320,355,1577,540,2423,228,7896,785,7012,611,2054,,,315,190,8,16,356,36982,29,1051,38062,97520,
10,DURANGO,3,VICTORIA DE DURANGO,48,158,8657,6875,781,1355,825,2895,188,8983,735,1882,804,,602,,382,250,23,20,336,35593,25,1038,36656,103410,
10,DURANGO,4,VICTORIA DE DURANGO,66,169,8393,13012,606,2100,688,2150,273,9021,770,1502,649,,,,542,400,15,36,440,40597,24,1206,41827,100138,
10,DURANGO,5,VICTORIA DE DURANGO,101,178,13419,8125,454,1583,958,4124,294,11692,1132,2398,741,,,721,625,258,15,16,457,47012,71,1288,48371,96232,
10,DURANGO,6,EL SALTO,114,166,6936,7900,678,689,4656,733,152,8254,273,427,290,,,,273,195,15,6,198,31675,15,784,32474,72076,
10,DURANGO,7,SANTIAGO PAPASQUIARO,149,196,8697,8142,270,578,398,413,194,12834,217,297,485,,,,181,298,13,2,115,33134,7,981,34122,78133,
10,DURANGO,8,SANTA MARIA DEL ORO,182,237,7309,9979,1187,810,419,1870,253,12132,227,579,316,,,,277,253,30,8,144,35793,11,1291,37095,87389,
10,DURANGO,9,MAPIMI,107,167,3794,9745,405,1399,1330,1289,183,14121,300,1021,342,,,,204,171,9,19,225,34557,63,860,35480,77636,
10,DURANGO,10,GOMEZ PALACIO,73,149,3294,6063,406,315,1100,556,258,17936,387,310,201,,,,208,198,15,13,93,31353,34,733,32120,85621,
10,DURANGO,11,GOMEZ PALACIO,77,165,4293,8783,265,339,2590,1062,122,17891,892,151,873,,,,226,130,12,105,271,38005,39,986,39030,93272,
10,DURANGO,12,GOMEZ PALACIO,56,142,4523,8401,299,314,1245,839,243,16277,678,148,360,,,,289,139,8,9,82,33854,15,758,34627,85252,
10,DURANGO,13,LERDO,52,140,4086,12521,305,431,4018,1966,70,13205,861,255,398,,,,324,121,5,22,117,38705,34,789,39528,84479,
10,DURANGO,14,CUENCAME DE CENICEROS,112,179,4627,7185,2850,920,8293,1240,320,9588,424,1781,254,,,,212,113,48,42,146,38043,9,1242,39294,82040,
10,DURANGO,15,NOMBRE DE DIOS,100,178,3857,9803,763,2286,11170,767,485,9945,537,445,297,,,,189,179,14,6,314,41057,12,1415,42484,90886,
