ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PES,RSP,FXP,PRI_PRD,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
12,GUERRERO,1,CHILPANCINGO,46,156,738,12770,4229,568,619,2424,24800,694,407,530,748,8,48535,61,1671,50267,94425,
12,GUERRERO,2,CHILPANCINGO,57,174,2838,18093,3128,584,1517,1124,27824,719,756,411,710,22,57726,106,1692,59524,106696,
12,GUERRERO,3,ACAPULCO,69,171,1453,12032,2049,531,1220,2015,24372,1658,463,1654,276,10,47733,56,1559,49348,95775,
12,GUERRERO,4,ACAPULCO,79,169,1700,10769,1690,574,603,2039,25750,814,587,926,281,3,45736,35,1431,47202,91694,
12,GUERRERO,5,ACAPULCO,58,156,509,9135,1740,485,567,4061,23297,992,466,528,323,6,42109,34,1660,43803,94290,
12,GUERRERO,6,ACAPULCO,53,140,552,8768,2155,368,908,1159,21085,704,410,598,324,2,37033,26,1713,38772,84323,
12,GUERRERO,7,ACAPULCO,40,170,965,20440,1738,1115,405,947,20662,773,536,641,470,19,48711,18,1525,50254,106052,
12,GUERRERO,8,ACAPULCO,80,151,402,12300,6307,403,605,744,19753,1564,1202,1296,206,4,44786,7,1287,46080,82756,
12,GUERRERO,9,ACAPULCO,62,150,474,14166,1932,536,943,937,18704,1042,545,734,384,11,40408,14,1598,42020,86652,
12,GUERRERO,10,TECPAN DE GALEANA,119,186,1196,6802,10733,795,1997,430,25043,1723,894,171,562,6,50352,7,1769,52128,89548,
12,GUERRERO,11,ZIHUATANEJO,106,184,417,15859,5649,833,585,455,22424,1161,388,280,310,7,48368,13,1246,49627,90867,
12,GUERRERO,12,ZIHUATANEJO,100,182,364,9427,13436,763,435,582,20428,1117,282,229,355,4,47422,1,1295,48718,86037,
12,GUERRERO,13,SAN MARCOS,110,173,4780,8192,8318,2753,15519,838,12176,2544,417,1095,134,45,56811,25,2917,59753,86554,
12,GUERRERO,14,AYUTLA DE LOS LIBRES,100,171,215,4456,13481,1062,2938,488,14431,1523,477,1306,313,136,40826,6,1750,42582,82988,
12,GUERRERO,15,SAN LUIS ACATLAN,105,172,937,9780,2723,5288,7045,1143,21932,673,521,903,263,44,51252,17,2371,53640,81679,
12,GUERRERO,16,OMETEPEC,67,155,1583,23923,4358,4852,1699,350,17707,1208,460,703,263,8,57114,2,2187,59303,82237,
12,GUERRERO,17,COYUCA,154,203,195,12078,13757,239,185,242,19136,357,276,185,477,3,47130,2,1334,48466,85639,
12,GUERRERO,18,CD. ALTAMIRANO,147,220,430,34380,684,325,179,1025,15931,289,287,246,316,14,54106,9,1752,55867,96757,
12,GUERRERO,19,ZUMPANGO DEL RIO,98,160,6303,14136,3725,2923,305,354,12076,264,549,264,228,14,41141,1,2068,43210,77494,
12,GUERRERO,20,TELOLOAPAN,179,218,250,6986,12824,5257,517,3680,16878,417,506,765,511,125,48716,8,1769,50493,79087,
12,GUERRERO,21,TAXCO,126,200,12731,12430,2854,924,2487,1851,14043,498,1742,7648,198,8,57414,26,2374,59814,99940,
12,GUERRERO,22,IGUALA,71,175,1238,9855,5352,4820,4354,1277,15815,1754,559,803,426,275,46528,17,1778,48323,100406,
12,GUERRERO,23,CIUDAD DE HUITZUCO,112,191,5010,14370,1039,3280,2068,1473,22813,1582,2227,1453,72,26,55413,8,2036,57457,96192,
12,GUERRERO,24,TIXTLA,121,195,1720,6099,20534,1073,2174,2595,16814,632,687,196,920,23,53467,5,2655,56127,94788,
12,GUERRERO,25,CHILAPA,94,190,653,24440,5255,789,1032,362,16704,651,853,282,253,10,51284,10,2452,53746,100389,
12,GUERRERO,26,ATLIXTAC,108,205,3727,11779,26949,2158,312,572,15150,607,587,248,120,8,62217,20,2355,64592,87204,
12,GUERRERO,27,TLAPA,92,190,612,17028,3839,6757,2873,2716,27233,500,703,238,237,59,62795,93,2119,65007,102576,
12,GUERRERO,28,TLAPA,104,205,1896,8012,7660,12365,3180,5286,18450,3016,589,238,141,36,60869,84,3088,64041,100002,
