ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PES,RSP,FXP,PRI_PRD,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
12,GUERRERO,1,ACAPULCO DE JUAREZ,382,1007,5812,78939,11920,3773,4815,11486,140894,6461,3300,5378,920,1321,275019,187,9921,285127,588569,
12,GUERRERO,2,AHUACUOTZINGO,26,39,57,5160,5090,42,63,56,2342,79,79,116,18,0,13102,2,313,13417,18931,
12,GUERRERO,3,AJUCHITLAN DEL PROGRESO,42,59,37,7334,409,46,31,81,7620,141,100,51,1,83,15934,1,313,16248,26530,
12,GUERRERO,4,ALCOZAUCA DE GUERRERO,18,29,17,1545,2387,1637,576,32,2019,42,78,26,0,2,8361,3,392,8756,14587,
12,GUERRERO,5,ALPOYECA,5,11,265,233,570,630,73,712,1094,20,15,11,12,4,3639,5,257,3901,5415,
12,GUERRERO,6,APAXTLA,16,20,11,1085,1388,172,32,464,1948,81,41,30,1,40,5293,0,147,5440,7846,
12,GUERRERO,7,ARCELIA,44,61,46,12097,108,68,31,52,2685,69,43,32,5,11,15247,6,241,15494,23610,
12,GUERRERO,8,ATENANGO DEL RIO,10,15,22,1143,56,435,135,15,1664,796,44,239,1,7,4557,0,334,4891,6617,
12,GUERRERO,9,ATLAMAJALCINGO DEL MONTE,9,12,21,235,639,561,16,23,1405,32,42,5,0,0,2979,10,229,3218,4401,
12,GUERRERO,10,ATLIXTAC,22,47,169,1114,7687,125,109,97,2090,121,142,39,50,1,11744,4,659,12407,18454,
12,GUERRERO,11,ATOYAC DE ALVAREZ,67,98,111,3128,3766,281,499,333,12791,1370,713,97,0,273,23362,6,973,24341,44673,
12,GUERRERO,12,AYUTLA DE LOS LIBRES,55,95,141,1513,3750,877,1266,365,5440,350,272,301,94,219,14588,4,746,15338,44341,
12,GUERRERO,13,AZOYU,17,23,132,2828,171,62,169,198,3422,58,74,167,2,52,7335,0,348,7683,10785,
12,GUERRERO,14,BENITO JUAREZ,15,25,1018,896,1336,294,973,24,3493,49,53,25,1,61,8223,0,301,8524,12179,
12,GUERRERO,15,BUENAVISTA DE CUELLAR,11,20,572,1248,133,1010,84,34,2124,68,883,575,2,5,6738,2,185,6925,10236,
12,GUERRERO,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,29,33,20,286,3813,15,134,11,1169,30,23,7,0,5,5513,0,112,5625,8956,
12,GUERRERO,17,COCULA,24,28,43,791,655,79,82,1791,3915,71,50,42,1,5,7525,1,263,7789,12013,
12,GUERRERO,18,COPALA,14,21,28,346,2243,64,1063,61,2832,86,58,599,29,13,7422,0,392,7814,10940,
12,GUERRERO,19,COPALILLO,10,22,991,978,148,790,1073,227,2561,99,891,228,7,4,7997,2,406,8405,11542,
12,GUERRERO,20,COPANATOYAC,15,28,28,3365,1518,130,39,41,3968,68,158,41,19,1,9376,6,301,9683,13907,
12,GUERRERO,21,COYUCA DE BENITEZ,59,100,251,8670,5690,282,438,415,12709,1087,909,1002,1,75,31529,3,852,32384,52973,
12,GUERRERO,22,COYUCA DE CATALAN,53,69,67,2358,6232,87,80,56,4408,96,72,63,2,232,13753,1,531,14285,30875,
12,GUERRERO,23,CUAJINICUILAPA,28,41,110,1366,176,336,4518,662,2975,44,85,389,11,20,10692,1,493,11186,17964,
12,GUERRERO,24,CUALAC,7,13,14,1262,23,705,976,46,1157,32,34,13,6,3,4271,3,134,4408,5553,
12,GUERRERO,25,CUAUTEPEC,13,23,24,1945,2746,70,467,26,2310,975,59,152,2,18,8794,0,308,9102,11678,
12,GUERRERO,26,CUETZALA DEL PROGRESO,15,15,28,1287,816,149,22,27,1822,27,49,18,3,13,4261,0,133,4394,6231,
12,GUERRERO,27,CUTZAMALA DE PINZON,42,49,46,5000,175,64,59,831,2443,51,48,46,1,79,8843,0,484,9327,17522,
12,GUERRERO,28,CHILAPA DE ALVAREZ,85,170,619,21631,3678,581,485,337,14490,583,635,250,233,10,43532,10,2127,45669,89344,
12,GUERRERO,29,CHILPANCINGO DE LOS BRAVO,103,330,3576,30863,7357,1152,2136,3548,52624,1413,1163,941,770,718,106261,167,3363,109791,201121,
12,GUERRERO,30,EDUARDO NERI,29,66,2208,4467,3356,2742,158,133,7694,135,155,196,172,14,21430,1,928,22359,36713,
12,GUERRERO,31,FLORENCIO VILLARREAL,18,32,22,652,4742,51,142,36,3849,112,88,254,11,63,10022,2,304,10328,16029,
12,GUERRERO,32,GENERAL CANUTO A. NERI,16,17,25,284,374,104,18,1036,1164,18,30,46,1,3,3103,0,118,3221,4505,
12,GUERRERO,33,GENERAL HELIODORO CASTILLO,47,58,883,6789,131,66,78,162,1049,64,46,23,36,0,9327,0,421,9748,22801,
12,GUERRERO,34,HUAMUXTITLAN,12,23,44,663,1606,770,233,1019,3598,73,138,33,101,40,8318,1,262,8581,11680,
12,GUERRERO,35,HUITZUCO DE LOS FIGUEROA,36,62,112,5761,160,488,405,117,8772,396,199,69,4,20,16503,0,407,16910,30150,
12,GUERRERO,36,IGUALA DE LA INDEPENDENCIA,85,198,1327,11545,5737,4990,4580,1339,18106,1846,639,830,283,456,51678,19,1954,53651,112988,
12,GUERRERO,37,IGUALAPA,12,17,87,441,1347,47,1091,43,2962,38,84,60,0,5,6205,5,262,6472,8376,
12,GUERRERO,38,IXCATEOPAN DE CUAUHTEMOC,12,14,7,1471,1598,141,8,11,827,14,21,17,1,12,4128,0,101,4229,5383,
12,GUERRERO,39,ZIHUATANEJO DE AZUETA,63,168,515,16203,2402,1279,359,785,24149,1568,344,348,2,391,48345,11,1512,49868,97509,
12,GUERRERO,40,JUAN R. ESCUDERO,24,36,59,2594,2876,217,3198,53,2596,271,53,172,12,56,12157,0,491,12648,18533,
12,GUERRERO,41,LEONARDO BRAVO,22,36,3212,2880,238,115,69,59,3333,65,348,45,20,0,10384,0,719,11103,17980,
12,GUERRERO,42,MALINALTEPEC,16,37,80,604,2010,2311,180,294,4736,2236,127,53,0,18,12649,16,554,13219,19340,
12,GUERRERO,43,MARTIR DE CUILAPAN,16,27,53,759,2831,491,76,2219,1943,232,110,35,55,3,8807,0,452,9259,14054,
12,GUERRERO,44,METLATONOC,16,32,55,281,204,2895,53,962,2806,799,104,54,0,1,8214,18,385,8617,13509,
12,GUERRERO,45,MOCHITLAN,17,23,28,775,1779,285,1380,52,1349,75,40,30,47,17,5857,0,477,6334,9041,
12,GUERRERO,46,OLINALA,25,39,33,5625,95,225,48,460,7315,124,189,39,10,2,14165,7,270,14442,19391,
12,GUERRERO,47,OMETEPEC,38,88,269,15076,945,1392,155,106,12866,270,228,475,2,229,32013,1,1083,33097,45874,
12,GUERRERO,48,PEDRO ASCENCIO ALQUISIRAS,20,21,17,767,1425,118,27,93,588,22,24,24,1,56,3162,0,99,3261,4823,
12,GUERRERO,49,PETATLAN,52,75,163,7518,1794,158,109,146,8307,213,156,72,3,48,18687,3,442,19132,32890,
12,GUERRERO,50,PILCAYA,15,21,2467,931,239,59,141,368,2192,58,110,38,1,0,6604,0,257,6861,9313,
12,GUERRERO,51,PUNGARABATO,22,53,212,7498,173,96,60,106,5805,129,143,71,8,44,14345,3,501,14849,29292,
12,GUERRERO,52,QUECHULTENANGO,40,54,125,1354,9359,64,99,110,1348,66,50,16,607,1,13199,1,517,13717,24212,
12,GUERRERO,53,SAN LUIS ACATLAN,25,57,110,3123,869,4642,107,131,7487,203,210,225,3,100,17210,5,881,18096,29956,
12,GUERRERO,54,SAN MARCOS,47,75,2124,3497,4207,730,4450,513,5494,1188,156,699,10,63,23131,22,1152,24305,36869,
12,GUERRERO,55,SAN MIGUEL TOTOLAPAN,37,43,64,518,6583,44,36,84,2407,44,35,15,0,59,9889,0,290,10179,14279,
12,GUERRERO,56,TAXCO DE ALARCON,88,152,8344,8673,2485,809,2246,1141,11023,403,1543,7488,148,8,44311,25,1839,46175,80631,
12,GUERRERO,57,TECOANAPA,39,62,2597,2101,1235,1806,7871,272,4086,1085,208,224,23,15,21523,3,1274,22800,31152,
12,GUERRERO,58,TECPAN DE GALEANA,66,102,106,3711,8523,330,857,116,12492,664,194,72,7,306,27378,1,688,28067,48690,
12,GUERRERO,59,TELOLOAPAN,76,103,119,1301,6568,4494,328,258,6614,184,291,588,117,382,21244,7,908,22159,38286,
12,GUERRERO,60,TEPECOACUILCO DE TRUJANO,31,49,3224,3550,157,387,145,1018,5401,131,130,315,4,6,14468,2,528,14998,25065,
12,GUERRERO,61,TETIPAC,23,27,1920,2826,130,56,100,342,828,37,89,122,49,0,6499,1,278,6778,9996,
12,GUERRERO,62,TIXTLA DE GUERRERO,29,58,236,1797,3203,137,109,119,10150,188,367,75,136,0,16517,3,641,17161,31567,
12,GUERRERO,63,TLACOACHISTLAHUACA,14,30,454,1603,3273,878,1290,53,2425,98,90,160,6,22,10352,1,541,10894,15963,
12,GUERRERO,64,TLACOAPA,10,15,554,1446,469,37,29,27,1732,251,42,22,17,0,4626,2,289,4917,6428,
12,GUERRERO,65,TLALCHAPA,17,22,87,3334,151,66,16,9,1993,22,24,62,0,13,5777,0,376,6153,9539,
12,GUERRERO,66,TLALIXTAQUILLA DE MALDONADO,8,12,22,1203,21,160,159,12,1510,29,22,7,1,0,3146,1,81,3228,5497,
12,GUERRERO,67,TLAPA DE COMONFORT,37,108,232,10405,1324,4754,187,592,14017,236,320,155,103,10,32335,89,1394,33818,63493,
12,GUERRERO,68,TLAPEHUALA,22,35,39,6451,77,31,13,27,3005,18,29,35,0,169,9894,0,150,10044,16794,
12,GUERRERO,69,LA UNION DE ISIDORO MONTES DE OCA,33,51,44,346,8184,34,86,52,5494,107,81,59,4,143,14634,0,282,14916,21555,
12,GUERRERO,70,XALPATLAHUAC,13,20,24,2228,46,169,41,1365,2592,55,100,32,0,0,6652,2,304,6958,9943,
12,GUERRERO,71,XOCHIHUEHUETLAN,8,12,59,160,586,435,1264,16,1356,32,60,15,4,2,3989,2,108,4099,5896,
12,GUERRERO,72,XOCHISTLAHUACA,15,37,860,7244,140,2582,254,191,2416,840,142,68,0,12,14749,0,563,15312,20400,
12,GUERRERO,73,ZAPOTITLAN TABLAS,9,14,209,549,1251,1791,22,327,1114,23,41,9,9,5,5350,1,272,5623,7291,
12,GUERRERO,74,ZIRANDARO,22,32,27,1868,533,62,38,21,4701,76,69,56,0,103,7554,0,200,7754,13955,
12,GUERRERO,75,ZITLALA,19,33,1278,1414,3362,96,510,95,2024,71,120,40,75,2,9087,1,568,9656,15914,
12,GUERRERO,76,ACATEPEC,26,62,2710,145,10934,33,50,24,3904,65,125,21,7,1,18019,5,521,18545,22193,
12,GUERRERO,77,JOSE JOAQUIN DE HERRERA,9,20,34,2809,1577,208,547,25,2214,68,218,32,20,0,7752,0,325,8077,11045,
12,GUERRERO,78,ILIATENCO,6,14,30,155,623,1607,170,1248,1270,36,31,6,0,1,5177,5,255,5437,7108,
12,GUERRERO,79,COCHOAPA EL GRANDE,16,33,1619,447,1139,1815,2074,1261,717,34,31,20,0,10,9167,17,473,9657,15724,
12,GUERRERO,80,MARQUELIA,11,19,77,1493,321,152,573,46,3554,43,45,20,26,85,6435,3,255,6693,9872,
12,GUERRERO,81,JUCHITAN,12,15,414,523,65,497,590,23,1623,23,24,49,2,3,3836,1,241,4078,5767,
