ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NA_GTO,PES,RSP,FXM,PRI_PRD,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,1,DOLORES HIDALGO,153,343,32229,11013,651,17801,2538,1795,8904,4979,1578,5590,2145,116,,89339,81,3620,93040,195580,
11,GUANAJUATO,2,SAN LUIS DE LA PAZ,156,386,32722,19271,7337,4491,4573,3944,17915,6194,4113,2605,1769,188,,105122,27,4304,109453,224422,
11,GUANAJUATO,3,LEON,101,326,70846,6863,640,2977,723,3481,15805,1076,602,398,401,,,103812,66,1613,105491,202571,
11,GUANAJUATO,4,LEON,115,336,47074,6630,605,3021,559,2641,18215,1076,673,430,530,189,,81643,59,1705,83407,210009,
11,GUANAJUATO,5,LEON,99,310,43109,6685,697,3081,630,2593,18543,837,1002,367,734,,,78278,36,1673,79987,196168,
11,GUANAJUATO,6,LEON,126,312,43285,7236,1054,2570,704,2144,18757,848,595,449,636,,,78278,63,1638,79979,189533,
11,GUANAJUATO,7,LEON,206,360,60694,7500,780,3525,631,3226,20949,1085,686,465,643,191,,100375,105,1984,102464,195876,
11,GUANAJUATO,8,GUANAJUATO,137,340,37880,12057,1467,3759,1059,4131,13889,2370,1451,1517,3601,774,,83955,87,3513,87555,202243,
11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,146,353,26271,17822,1956,4742,1658,2093,19533,1798,4093,1681,2154,,3278,87079,104,2688,89871,206148,
11,GUANAJUATO,10,SAN FRANCISCO DEL RINCON,147,357,46346,26257,685,3100,726,3862,10017,1223,410,185,136,628,,93575,19,1835,95429,210771,
11,GUANAJUATO,11,IRAPUATO,109,361,44577,11154,1233,1707,665,3914,22515,974,648,825,731,,,88943,87,2066,91096,228013,
11,GUANAJUATO,12,IRAPUATO,140,351,33659,6696,1129,1805,807,2875,29124,841,643,950,571,,,79100,103,2195,81398,211876,
11,GUANAJUATO,13,SILAO DE LA VICTORIA,128,323,27228,15224,782,3256,757,1515,25458,3042,873,807,1083,311,,80336,47,1859,82242,189996,
11,GUANAJUATO,14,SALAMANCA,154,369,32332,5799,1197,2917,3680,9032,35315,1479,1064,807,2632,172,,96426,75,2286,98787,219577,
11,GUANAJUATO,15,CELAYA,171,374,37057,13801,1259,3112,3360,3649,23999,1366,1162,656,939,133,,90493,60,2344,92897,210927,
11,GUANAJUATO,16,CELAYA,110,330,31309,7971,1150,3557,2961,3151,26549,1344,1149,742,865,91,,80839,82,1921,82842,211169,
11,GUANAJUATO,17,SANTA CRUZ DE JUVENTINO ROSAS,107,288,21588,2961,8413,3236,3637,2733,17627,13121,771,3128,1648,69,,78932,34,2266,81232,174303,
11,GUANAJUATO,18,PENJAMO,185,398,33443,11344,763,8449,1212,4604,22065,2381,579,4838,2209,,,91887,16,2577,94480,226429,
11,GUANAJUATO,19,VALLE DE SANTIAGO,156,392,33059,5820,6125,4477,1868,2181,23465,5330,3789,5909,1192,475,,93690,66,3116,96872,224372,
11,GUANAJUATO,20,YURIRIA,212,448,29422,16751,3545,10658,1104,15589,26741,1110,887,999,691,594,,108091,260,3359,111710,253236,
11,GUANAJUATO,21,LEON,89,297,49951,6480,785,3269,645,3414,19450,1155,642,417,783,,,86991,60,1804,88855,190483,
11,GUANAJUATO,22,ACAMBARO,212,391,28367,11997,2781,6452,1513,7702,20920,1948,1692,1699,913,404,,86388,116,3827,90331,209999,
