ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NA_GTO,PES,RSP,FXM,PRI_PRD,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,1,ABASOLO,50,118,10985,6099,151,1515,678,507,5717,371,267,3958,1835,,,32083,4,820,32907,69147,
11,GUANAJUATO,2,ACAMBARO,90,177,12819,1886,1560,1770,1203,1536,10769,1078,674,1128,709,184,,35316,105,1794,37215,96534,
11,GUANAJUATO,3,SAN MIGUEL DE ALLENDE,103,234,16583,16617,1336,1721,903,1331,13945,1185,1376,1011,1178,,3029,60215,39,1816,62070,135343,
11,GUANAJUATO,4,APASEO EL ALTO,44,94,6781,1004,195,3521,115,4597,3834,184,472,361,92,91,,21247,5,788,22040,51218,
11,GUANAJUATO,5,APASEO EL GRANDE,43,119,9688,1205,620,3021,755,762,5588,613,2717,670,976,,249,26864,65,872,27801,70805,
11,GUANAJUATO,6,ATARJEA,5,11,1728,70,20,157,27,22,1167,65,42,85,43,0,,3426,0,163,3589,4483,
11,GUANAJUATO,7,CELAYA,247,642,62987,16069,2276,6469,5516,6511,48655,2510,2216,1367,1720,197,,156493,139,3812,160444,390227,
11,GUANAJUATO,8,MANUEL DOBLADO,42,65,8188,6482,323,310,47,489,1101,191,63,24,14,239,,17471,2,308,17781,32810,
11,GUANAJUATO,9,COMONFORT,43,106,7793,1469,603,1277,2794,995,6205,369,416,680,1225,18,,23844,25,1039,24908,62381,
11,GUANAJUATO,10,CORONEO,10,18,2618,231,790,404,39,136,795,310,30,21,15,5,,5394,1,185,5580,9587,
11,GUANAJUATO,11,CORTAZAR,55,132,12297,1406,3947,2578,828,693,7594,855,2143,2323,564,150,,35378,14,945,36337,76654,
11,GUANAJUATO,12,CUERAMARO,21,41,4101,3738,78,146,145,887,2051,372,24,56,28,27,,11653,4,288,11945,23930,
11,GUANAJUATO,13,DOCTOR MORA,12,32,2886,142,1338,883,51,70,2910,106,1216,241,647,15,,10505,1,323,10829,19214,
11,GUANAJUATO,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,71,195,21595,9096,563,3186,658,1397,6722,1121,1934,803,3568,599,,51242,84,3308,54634,118328,
11,GUANAJUATO,15,GUANAJUATO,102,248,28149,8039,1160,2211,747,3309,10404,1767,423,1136,1871,284,,59500,54,1872,61426,145506,
11,GUANAJUATO,16,HUANIMARO,13,29,2907,171,53,1926,49,260,2938,102,60,666,51,,,9183,0,195,9378,17055,
11,GUANAJUATO,17,IRAPUATO,249,712,78236,17850,2362,3512,1472,6789,51639,1815,1291,1775,1302,,,168043,190,4261,172494,439889,
