ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PODEMOS,MXH,PANALH,PESH,RSP,FXM,PAN_PRI_PRD_PESH,PAN_PRI_PRD,PAN_PRI_PESH,PAN_PRD_PESH,PRI_PRD_PESH,PAN_PRI,PAN_PRD,PAN_PESH,PRI_PRD,PRI_PESH,PRD_PESH,PT_PVEM_MORENA_PANALH,PT_PVEM_MORENA,PT_PVEM_PANALH,PT_MORENA_PANALH,PVEM_MORENA_PANALH,PT_PVEM,PT_MORENA,PT_PANALH,PVEM_MORENA,PVEM_PANALH,MORENA_PANALH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,1,ZIMAPAN,179,247,3991,12321,5782,1062,1147,676,19239,1716,342,1694,334,604,0,34,272,1,1,0,121,47,1,81,5,2,69,83,6,28,24,20,123,5,49,24,77,49981,18,2349,52348,113554,
13,HIDALGO,2,ZACUALTIPAN DE ANGELES,169,256,2105,23365,2757,697,1236,853,14914,1538,412,6006,2966,603,278,0,0,0,0,0,0,0,0,0,0,0,58,30,20,22,20,21,35,28,37,38,159,58198,26,2264,60488,120941,
13,HIDALGO,3,SAN FELIPE ORIZATLAN,104,212,10459,21207,2792,1160,1085,678,17001,1286,475,3712,4729,927,275,0,0,0,0,0,0,0,0,0,0,0,66,29,26,20,15,22,29,17,25,37,101,66173,19,3216,69408,109862,
13,HIDALGO,4,HUEJUTLA DE REYES,90,215,1877,10748,1403,1003,1196,485,22594,1736,440,4167,5497,1370,1307,69,82,14,1,4,85,18,10,25,32,5,0,0,0,0,0,0,0,0,0,0,0,54168,15,2358,56541,116381,
13,HIDALGO,5,IXMIQUILPAN,131,236,8419,11410,1284,636,3871,988,19963,1788,614,3132,636,6034,826,45,88,3,0,0,79,33,2,25,1,0,92,67,19,30,13,20,169,29,21,18,39,60394,30,2494,62918,120713,
13,HIDALGO,6,HUICHAPAN,113,231,15178,11505,1010,3721,1324,1886,17955,712,384,1403,155,685,1153,73,399,11,3,2,346,63,5,19,0,0,93,98,13,15,27,35,73,4,105,15,35,58505,20,1977,60502,131642,
13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,86,208,1633,12977,1114,864,1153,641,25957,3009,269,3716,357,416,678,123,214,13,3,11,60,11,2,21,4,5,120,51,17,38,25,10,111,12,45,11,132,53823,22,1508,55353,120554,
13,HIDALGO,8,ACTOPAN,116,227,1799,19370,3042,625,1023,1400,20491,1744,714,1739,561,913,755,67,232,10,4,4,99,16,1,56,14,3,48,40,11,34,13,9,110,10,24,6,62,55049,32,2002,57083,124510,
13,HIDALGO,9,METEPEC,121,216,3201,12651,4707,796,625,540,13279,2714,297,3576,568,630,537,36,223,5,3,3,68,45,4,78,7,9,78,27,9,15,19,7,32,17,23,24,77,44930,56,1811,46797,110392,
13,HIDALGO,10,APAN,91,220,2014,18561,585,1040,886,702,22843,1659,457,1598,336,2768,821,47,170,7,1,1,88,12,1,19,2,1,59,25,13,13,25,13,69,10,37,8,51,54942,19,1641,56602,131327,
13,HIDALGO,11,TULANCINGO DE BRAVO,54,203,3081,12919,682,523,790,1701,20603,1970,386,2067,226,499,1047,47,224,10,0,6,149,12,3,20,3,0,108,97,14,38,18,15,107,10,60,15,80,47530,135,1503,49168,130017,
13,HIDALGO,12,PACHUCA DE SOTO,96,192,5008,20938,579,663,794,1390,23314,710,346,1734,230,651,748,64,436,1,1,1,172,12,1,35,4,0,75,107,14,30,18,11,160,5,56,7,61,58376,38,1588,60002,111294,
13,HIDALGO,13,PACHUCA DE SOTO,33,192,4543,19806,658,668,745,1372,24218,916,628,2081,292,438,835,103,385,5,1,1,185,13,2,26,3,3,89,92,4,35,16,8,133,4,47,11,53,58419,55,1591,60065,124304,
13,HIDALGO,14,TULA DE ALLENDE,73,202,3442,9742,2914,2653,733,1310,26371,592,1507,1347,166,1474,951,179,800,51,2,4,106,53,4,86,2,1,159,222,12,33,34,17,114,12,157,19,55,55324,35,1517,56876,123145,
13,HIDALGO,15,TEPEJI DEL RIO DE OCAMPO,68,212,4859,10632,1527,1451,1229,1957,26682,608,357,1253,224,4016,577,40,359,7,2,7,112,116,7,27,3,0,79,98,6,18,15,31,118,5,80,6,29,56537,25,1537,58099,131464,
13,HIDALGO,16,TIZAYUCA,63,233,3442,12828,767,899,1332,2965,24116,674,921,1722,880,545,1063,64,197,7,1,5,79,15,2,19,24,3,0,0,0,0,0,0,0,0,0,0,0,52570,53,1441,54064,145473,
13,HIDALGO,17,VILLAS DEL ALAMO,87,236,5336,17924,760,822,1203,1440,27575,848,615,2971,342,648,754,52,337,4,0,2,133,7,2,16,9,3,126,81,20,18,17,18,110,15,44,8,79,62339,48,1596,63983,143332,
13,HIDALGO,18,TEPEAPULCO,85,219,2955,19166,1179,707,773,882,24077,1851,517,3800,252,926,452,50,283,1,1,1,89,8,0,25,1,0,58,52,13,29,17,21,74,7,29,7,100,58403,23,1496,59922,131002,
