ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,SOMOS,PES,HAGAMOS,FUTURO,RSP,FM,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,1,TEQUILA,217,497,27662,37763,1845,4012,6032,45315,27091,595,1662,9194,2995,623,927,,,,165716,75,3333,169124,280546,
14,JALISCO,2,LAGOS DE MORENO,182,469,41218,13687,569,8155,792,45700,16713,,2630,7472,2070,1670,1081,,,,141757,112,3270,145139,271890,
14,JALISCO,3,TEPATITLAN DE MORELOS,215,578,53011,30606,943,5328,1277,35090,17460,345,3331,12397,1172,405,4305,,,,165670,87,4850,170607,348058,
14,JALISCO,4,ZAPOPAN,119,460,12297,12450,672,2179,1101,46178,31130,428,1432,4888,11919,758,1166,,,,126598,76,2854,129528,301240,
14,JALISCO,5,PUERTO VALLARTA,148,496,5387,9141,826,21601,1076,42458,45938,371,1543,7396,2354,937,570,,,,139598,50,2892,142540,300968,
14,JALISCO,6,ZAPOPAN,176,559,16381,12226,578,1972,860,66121,31307,419,1329,4216,13865,730,1130,,,,151134,104,2873,154111,352889,
14,JALISCO,7,TONALA,68,394,8616,19203,823,3297,2611,21241,28904,620,1744,6430,4495,771,1262,,,,100017,154,3061,103232,267585,
14,JALISCO,8,GUADALAJARA,333,604,22882,17962,750,1954,900,81049,31907,488,1261,7627,9508,411,1979,,,2171,180849,98,3596,184543,326454,
14,JALISCO,9,GUADALAJARA,193,505,11389,13127,758,2498,1273,40642,38390,482,1927,6236,4553,961,1976,2980,,,127192,22,3747,130961,308159,
14,JALISCO,10,ZAPOPAN,120,466,20186,10082,537,1521,574,81731,21227,275,937,2053,16904,434,706,,,,157167,67,2416,159650,307217,
14,JALISCO,11,GUADALAJARA,230,536,15634,14330,867,2631,1296,46893,39739,692,3752,6665,5363,751,2493,,,,141106,153,3895,145154,313345,
14,JALISCO,12,SANTA CRUZ DE LAS FLORES,152,600,13456,8041,1352,2365,3036,61232,37174,446,3435,2980,4332,1006,948,,,,139803,97,2873,142773,386494,
14,JALISCO,13,TLAQUEPAQUE,138,465,16226,11918,693,1938,886,51914,28746,470,1738,3387,10517,759,1021,,,,130213,73,2767,133053,295902,
14,JALISCO,14,GUADALAJARA,226,541,16287,14072,878,3113,1108,56066,38257,589,1801,5534,6754,576,1676,,1898,,148609,93,3876,152578,315631,
14,JALISCO,15,LA BARCA,199,549,18790,26019,726,3355,3235,50378,31684,437,4248,6646,3819,5937,3074,,,,158348,110,3379,161837,326501,
14,JALISCO,16,TLAQUEPAQUE,124,476,12527,16699,1241,2359,2109,31765,36619,1148,3632,3549,5141,1389,1082,,,,119260,60,3168,122488,309533,
14,JALISCO,17,JOCOTEPEC,172,459,18994,20675,806,14254,2777,41863,31157,,4616,7993,5290,479,4861,,,,153765,92,3617,157474,275875,
14,JALISCO,18,AUTLAN DE NAVARRO,246,535,18495,38664,1696,3670,1716,44768,34687,691,1215,12613,1114,346,2858,,,,162533,213,4402,167148,296304,
14,JALISCO,19,CIUDAD GUZMAN,251,546,16914,19615,4894,5224,7143,48493,33491,308,1563,17275,6628,884,4737,,,,167169,78,4006,171253,309933,
14,JALISCO,20,TONALA,89,468,13584,22589,791,2375,4173,36406,29625,371,2188,6130,5049,891,1507,,,,125679,118,3089,128886,309352,
