ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,SOMOS,PES,HAGAMOS,FUTURO,RSP,FM,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,1,ACATIC,11,30,2834,1051,48,109,71,2032,771,21,129,1254,44,17,285,,,,8666,0,283,8949,17012,
14,JALISCO,2,ACATLAN DE JUAREZ,11,29,932,540,29,239,61,2623,2790,,1055,664,141,29,545,,,,9648,1,187,9836,17917,
14,JALISCO,3,AHUALULCO DE MERCADO,12,29,574,3411,56,72,215,4807,2077,24,42,533,71,6,19,,,,11907,0,152,12059,17828,
14,JALISCO,4,AMACUECA,4,9,56,559,195,32,15,1533,500,7,6,150,11,3,10,,,,3077,1,69,3147,4621,
14,JALISCO,5,AMATITAN,8,20,807,1164,653,628,54,1294,2289,32,23,290,105,90,78,,,,7507,3,133,7643,11787,
14,JALISCO,6,AMECA,43,93,1718,5309,154,592,217,8776,5743,66,175,1214,490,33,322,,,,24809,10,537,25356,49902,
14,JALISCO,7,SAN JUANITO DE ESCOBEDO,8,15,769,846,12,37,568,1138,904,11,65,83,97,12,14,,,,4556,0,103,4659,7494,
14,JALISCO,8,ARANDAS,30,96,6384,6785,135,291,230,7259,2103,47,220,4991,176,84,995,,,,29700,16,942,30658,59510,
14,JALISCO,9,EL ARENAL,5,23,1421,911,25,86,1325,1582,1389,115,31,1380,617,33,394,,,,9309,3,151,9463,15090,
14,JALISCO,10,ATEMAJAC DE BRIZUELA,5,9,1859,294,6,19,11,647,884,,21,45,9,9,2,,,,3806,0,56,3862,5018,
14,JALISCO,11,ATENGO,6,11,1100,1047,4,20,10,147,234,1,5,718,5,1,3,,,,3295,58,63,3416,4573,
14,JALISCO,12,ATENGUILLO,5,8,44,473,0,16,7,1054,193,3,12,428,3,5,1,,,,2239,0,64,2303,3521,
