ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,NAEM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA_NAEM,PT_MORENA,PT_NAEM,MORENA_NAEM,PT_MORENA_NAEM_CM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,82,417,5959,31527,5798,7479,2448,6757,58848,2082,2503,2271,2109,865,117,34,170,164,271,30,72,0,129504,80,4138,133722,283476,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D01.pdf
15,MEXICO,2,TOLUCA DE LERDO,106,404,17837,40454,1536,4002,2085,3765,50509,3146,1508,2506,1345,1149,319,19,29,941,303,43,106,0,131602,185,3368,135155,258207,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D02.pdf
15,MEXICO,3,CHIMALHUACAN,91,399,3121,43903,1672,2049,1437,2027,56832,1205,730,1500,2275,0,0,0,0,168,251,20,117,0,117307,326,2828,120461,264210,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D03.pdf
15,MEXICO,4,LERMA DE VILLADA,121,449,16151,59718,3692,14843,4130,2252,51814,2517,2747,4528,3104,0,0,0,0,0,0,0,0,0,165496,165,4740,170401,281653,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D04.pdf
15,MEXICO,5,CHICOLOAPAN DE JUAREZ,110,439,3978,51227,3166,3481,1784,2136,52384,2637,1319,3704,1775,0,0,0,0,250,242,27,62,0,128172,93,3579,131844,285096,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D05.pdf
15,MEXICO,6,ECATEPEC DE MORELOS,106,355,7012,24631,9881,2311,1261,2173,45740,1282,879,1840,1406,0,0,0,0,88,137,7,46,0,98694,170,2881,101745,226079,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D06.pdf
15,MEXICO,7,TENANCINGO DE DEGOLLADO,137,452,11453,41391,6861,16443,0,10116,0,12861,3011,5983,0,1310,241,56,153,0,0,0,0,52995,162874,158,5428,168460,279980,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D07.pdf
15,MEXICO,8,ECATEPEC DE MORELOS,150,396,12937,31980,3971,4005,1540,3292,51658,1579,1118,2174,2185,0,0,0,0,222,138,14,57,0,116870,180,3520,120570,234501,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D08.pdf
15,MEXICO,9,TEJUPILCO DE HIDALGO,252,539,5434,60747,14068,15678,5655,7291,48456,2109,3034,2952,2715,1700,261,92,334,190,218,72,123,0,171129,54,5571,176754,283571,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D09.pdf
15,MEXICO,10,VALLE DE BRAVO,183,477,8195,66302,15446,8719,3565,4376,51361,4796,2846,3321,2516,1431,287,124,297,211,333,88,95,0,174309,29,5060,179398,271417,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D10.pdf
15,MEXICO,11,TULTITLAN DE MARIANO ESCOBEDO,125,412,15380,33986,2194,6834,2067,3487,54046,1823,1102,2506,1254,0,0,0,0,113,250,11,35,0,125088,101,3372,128561,257848,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D11.pdf
15,MEXICO,12,TEOLOYUCAN,113,435,19909,19098,2128,8652,0,14894,0,4600,7075,5083,0,609,125,21,11,0,0,0,0,52016,134221,786,4049,139056,281360,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D12.pdf
15,MEXICO,13,ATLACOMULCO DE FABELA,163,478,11906,62247,1948,18889,2319,4993,47162,3369,1954,6926,3979,1288,428,45,64,354,160,64,121,0,168216,70,4588,172874,277367,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D13.pdf
15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,179,489,21421,62640,1233,27408,0,7143,0,4963,5569,4645,0,840,300,38,40,0,0,0,0,43708,179948,52,4736,184736,270073,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D14.pdf
15,MEXICO,15,IXTLAHUACA DE RAYON,127,425,3004,62527,1504,7721,0,29875,0,6381,3097,2573,0,1119,262,21,78,0,0,0,0,45621,163783,63,5004,168850,263684,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D15.pdf
15,MEXICO,16,CIUDAD ADOLFO LOPEZ MATEOS,108,413,39447,19011,1725,4963,2495,3886,45623,1924,1344,3425,1896,1269,380,49,37,2210,215,30,47,0,129976,109,3272,133357,270746,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D16.pdf
15,MEXICO,17,HUIXQUILUCAN DE DEGOLLADO,105,419,70611,45420,4096,4739,0,5460,0,2217,1140,4034,0,0,0,0,0,0,0,0,0,35983,173700,78,3879,177657,271762,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D17.pdf
15,MEXICO,18,TLALNEPANTLA DE BAZ,215,497,56129,36459,2128,4122,1596,5896,52366,1599,1071,2930,1454,1776,407,46,22,144,322,22,50,0,168539,162,3444,172145,289579,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D18.pdf
15,MEXICO,19,SANTA MARIA TULTEPEC,87,425,13197,27083,13613,6978,2089,6416,54251,4212,3797,3153,2096,1090,97,42,219,427,236,39,73,0,139108,161,3890,143159,282606,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D19.pdf
15,MEXICO,20,ZUMPANGO DE OCAMPO,151,541,26516,36642,9742,14037,0,4322,0,2359,2200,14916,0,0,0,0,0,0,0,0,0,60281,171015,335,5272,176622,347433,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D20.pdf
15,MEXICO,21,ECATEPEC DE MORELOS,137,410,7700,32384,9030,3251,1444,2793,47958,1340,1440,1859,2141,0,0,0,0,104,178,14,57,0,111693,136,3256,115085,252831,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D21.pdf
15,MEXICO,22,ECATEPEC DE MORELOS,159,392,8018,33415,3027,2777,1301,3857,46992,1296,875,1355,1651,0,0,0,0,202,180,6,40,0,104992,150,3021,108163,229159,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D22.pdf
15,MEXICO,23,TEXCOCO DE MORA,114,469,13111,37264,7531,21491,1872,3739,58360,3602,2115,3979,2523,0,0,0,0,120,183,5,58,0,155953,142,4493,160588,307407,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D23.pdf
15,MEXICO,24,CD. NEZAHUALCOYOTL,214,483,12909,23654,7616,2948,1864,31553,57861,1509,799,1829,1347,867,137,34,62,85,347,6,26,0,145453,145,3917,149515,283370,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D24.pdf
15,MEXICO,25,CD. NEZAHUALCOYOTL,244,524,7897,23983,10953,2521,2232,37578,60277,2456,1031,2277,2135,584,77,35,79,103,344,8,56,0,154626,143,3987,158756,297266,http://www.ieem.org.mx/proceso2021/actasdis/distrital/mr/ADMR2021_D25.pdf
