ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,NAEM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA_NAEM,PT_MORENA,PT_NAEM,MORENA_NAEM,PT_MORENA_NAEM_CM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,1,ACAMBAY DE RUIZ CASTAÑEDA,32,92,6055,10618,180,1386,0,272,0,2875,177,1054,0,41,49,0,3,0,0,0,0,7302,30012,7,905,30924,48380,
15,MEXICO,2,ACOLMAN,33,134,10481,13569,527,1813,626,588,19209,711,1120,690,563,0,0,0,0,55,85,4,20,0,50061,25,1002,51088,87279,
15,MEXICO,3,ACULCO,24,64,779,7884,220,5119,0,468,0,406,2089,310,0,140,38,5,7,0,0,0,0,4473,21938,8,742,22688,34643,
15,MEXICO,4,ALMOLOYA DE ALQUISIRAS,12,23,200,5109,64,122,71,308,1988,43,59,26,102,75,24,4,3,4,1,1,3,0,8207,18,274,8499,12193,
15,MEXICO,5,ALMOLOYA DE JUAREZ,56,193,5056,23379,2970,13147,0,1380,0,1771,1005,1332,0,0,0,0,0,0,0,0,0,17219,67259,180,2230,69669,119160,
15,MEXICO,6,ALMOLOYA DEL RIO,5,14,187,1619,246,785,0,177,0,168,104,296,0,20,6,0,1,0,0,0,0,2211,5820,25,245,6090,8866,
15,MEXICO,7,AMANALCO,10,33,350,3871,347,644,226,2028,3462,1117,233,648,128,112,11,4,3,13,162,8,6,0,13373,2,478,13853,18836,
15,MEXICO,8,AMATEPEC,27,46,202,6416,1185,110,139,78,4659,93,148,47,139,58,15,13,24,6,4,4,6,0,13346,1,391,13738,20568,
15,MEXICO,9,AMECAMECA,26,73,1801,7064,711,4119,308,1909,8199,1267,568,760,218,0,0,0,0,35,15,4,2,0,26980,18,768,27766,43027,
15,MEXICO,10,APAXCO,14,38,2602,2240,330,1230,0,255,0,130,351,2882,0,0,0,0,0,0,0,0,0,4191,14211,9,452,14672,22555,
15,MEXICO,11,ATENCO,14,71,1049,6897,1665,1134,380,1391,9677,508,300,1238,469,0,0,0,0,16,20,0,11,0,24755,27,728,25510,47691,
15,MEXICO,12,ATIZAPAN,4,14,486,2107,183,204,174,61,1650,225,247,104,77,0,0,0,0,0,0,0,0,0,5518,23,253,5794,8944,
15,MEXICO,13,ATIZAPAN DE ZARAGOZA,168,635,76385,30759,2849,8185,2495,6387,45623,2972,2072,4940,1896,2305,698,192,81,2210,215,30,47,19448,209789,230,4885,214904,411231,
15,MEXICO,14,ATLACOMULCO,39,128,2253,16153,290,2766,1194,1629,13067,1400,703,4740,1044,417,79,12,14,97,114,16,31,0,46019,37,1042,47098,79186,
15,MEXICO,15,ATLAUTLA,13,38,361,3896,589,1059,213,759,5640,431,962,262,173,0,0,0,0,10,7,5,5,0,14372,7,360,14739,22341,
15,MEXICO,16,AXAPUSCO,20,35,3016,5572,262,238,960,463,2413,93,198,430,192,0,0,0,0,2,13,1,1,0,13854,2,340,14196,19039,
