ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PES,RSP,FXM,PT_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,1,LA PIEDAD,140,281,17560,10352,5338,2973,3303,7297,19585,2894,385,1447,660,0,0,600,0,0,0,72394,29,2358,74781,158503,https://www.iem.org.mx/peol_2021/actas/dipmr/LA_PIEDAD.pdf
16,MICHOACAN,2,PURUANDIRO,165,314,2497,11722,13350,3607,10022,4283,20540,6625,1147,3934,698,330,139,26,117,0,0,79037,39,4523,83599,168131,https://www.iem.org.mx/peol_2021/actas/dipmr/PURUANDIRO.pdf
16,MICHOACAN,3,MARAVATIO DE OCAMPO,98,245,4639,10704,13729,1875,10236,3301,17631,1357,1074,2247,824,776,177,58,116,0,0,68744,25,2953,71722,139390,https://www.iem.org.mx/peol_2021/actas/dipmr/MARAVATIO.pdf
16,MICHOACAN,4,JIQUILPAN DE JUAREZ,140,279,15821,11077,4825,2931,4107,8395,21909,2236,0,2606,468,580,115,54,99,0,0,75223,45,2573,77841,146965,https://www.iem.org.mx/peol_2021/actas/dipmr/JIQUILPAN.pdf
16,MICHOACAN,5,PARACHO DE VERDUZCO,97,222,3740,10715,9419,4047,4484,4111,25037,5542,1119,2915,745,322,40,37,109,0,0,72382,25,3312,75719,124194,https://www.iem.org.mx/peol_2021/actas/dipmr/PARACHO.pdf
16,MICHOACAN,6,ZAMORA DE HIDALGO,97,256,15373,8871,2170,5321,3494,3572,12323,1401,599,863,754,542,132,38,42,0,0,55495,43,1835,57373,151004,https://www.iem.org.mx/peol_2021/actas/dipmr/ZAMORA.pdf
16,MICHOACAN,7,ZACAPU,125,275,7257,9801,12315,2579,2586,7020,18305,2877,1422,2907,1002,0,0,0,1223,0,0,69294,39,3063,72396,163272,https://www.iem.org.mx/peol_2021/actas/dipmr/ZACAPU.pdf
16,MICHOACAN,8,TARIMBARO,113,278,6703,11662,9041,11524,9964,5443,13445,8592,840,5004,831,0,0,0,134,0,0,83183,80,3797,87060,159812,https://www.iem.org.mx/peol_2021/actas/dipmr/TARIMBARO.pdf
16,MICHOACAN,9,LOS REYES DE SALGADO,138,302,11603,9540,4829,2718,7853,6969,20645,2859,1194,4008,457,265,187,118,149,0,0,73394,31,3051,76476,160090,https://www.iem.org.mx/peol_2021/actas/dipmr/LOS_REYES.pdf
16,MICHOACAN,10,MORELIA,57,232,9057,9539,3796,1474,2371,1506,18803,877,2317,1031,712,940,249,177,72,0,0,52921,78,2645,55644,148277,https://www.iem.org.mx/peol_2021/actas/dipmr/MORELIA_10.pdf
16,MICHOACAN,11,MORELIA,95,263,21049,10962,5833,1936,4396,2148,20533,1284,1192,1130,658,0,840,0,0,0,0,71961,89,3175,75225,160932,https://www.iem.org.mx/peol_2021/actas/dipmr/MORELIA_11.pdf
16,MICHOACAN,12,CIUDAD HIDALGO,126,275,6620,9315,7219,10445,11559,5531,17000,1988,3060,1032,1919,954,169,90,201,0,0,77102,37,3485,80624,155057,https://www.iem.org.mx/peol_2021/actas/dipmr/CIUDAD_HIDALGO.pdf
16,MICHOACAN,13,HEROICA ZITACUARO,89,224,5256,11900,7200,6252,5910,2367,16865,1745,4243,2344,1968,2263,298,118,259,0,0,68988,66,3660,72714,133936,https://www.iem.org.mx/peol_2021/actas/dipmr/ZITACUARO.pdf
16,MICHOACAN,14,URUAPAN DEL PROGRESO,86,215,8464,3970,10078,1869,2624,2035,22511,852,463,1760,637,954,72,63,60,0,0,56412,59,2354,58825,125708,https://www.iem.org.mx/peol_2021/actas/dipmr/URUAPAN_14.pdf
16,MICHOACAN,15,PATZCUARO,96,243,5476,11863,12054,3133,8398,4326,15488,2769,3486,3502,708,1036,108,84,94,0,0,72525,34,4095,76654,146864,https://www.iem.org.mx/peol_2021/actas/dipmr/PATZCUARO.pdf
16,MICHOACAN,16,MORELIA,92,269,12336,11309,7250,1890,3982,2465,25015,1047,1046,1279,820,0,681,0,0,0,0,69120,103,3497,72720,162974,https://www.iem.org.mx/peol_2021/actas/dipmr/MORELIA_16.pdf
16,MICHOACAN,17,MORELIA,127,286,27332,11661,4837,1693,4906,1927,23082,923,2265,1412,828,1596,268,195,38,0,0,82963,103,2947,86013,164000,https://www.iem.org.mx/peol_2021/actas/dipmr/MORELIA_17.pdf
16,MICHOACAN,18,HUETAMO DE NUÑEZ,178,281,2359,6631,21067,2945,12352,2026,29087,3337,658,0,1380,681,53,97,158,0,0,82831,26,3862,86719,140654,https://www.iem.org.mx/peol_2021/actas/dipmr/HUETAMO.pdf
16,MICHOACAN,19,TACAMBARO DE CODALLOS,141,278,10014,14859,6516,10336,7091,1090,19130,5665,0,953,1080,1457,270,109,113,0,0,78683,79,4343,83105,151548,https://www.iem.org.mx/peol_2021/actas/dipmr/TACAMBARO.pdf
16,MICHOACAN,20,URUAPAN DEL PROGRESO,55,198,7642,3317,9216,2675,2010,1202,20808,1053,477,983,886,0,0,621,0,0,0,50890,52,2596,53538,125907,https://www.iem.org.mx/peol_2021/actas/dipmr/URUAPAN_20.pdf
16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,111,234,3006,7442,7525,1602,18279,2002,14115,1282,570,4032,608,212,36,50,39,0,0,60800,44,2557,63401,130680,https://www.iem.org.mx/peol_2021/actas/dipmr/COALCOMAN.pdf
16,MICHOACAN,22,NUEVA ITALIA DE RUIZ,124,255,1985,9947,6647,5594,1723,447,42182,1027,0,448,2686,496,141,73,124,0,0,73520,14,2717,76251,132838,https://www.iem.org.mx/peol_2021/actas/dipmr/MUGICA.pdf
16,MICHOACAN,23,APATZINGAN DE LA CONSTITUCION,104,234,4411,10204,6569,3066,2827,1010,16642,757,2308,1730,865,608,125,226,97,1295,0,52740,63,2310,55113,129466,https://www.iem.org.mx/peol_2021/actas/dipmr/APATZINGAN.pdf
16,MICHOACAN,24,LAZARO CARDENAS,65,228,4065,5005,9765,2425,2500,1289,33436,749,1741,1436,501,281,28,38,187,0,805,64251,90,1665,66006,140241,https://www.iem.org.mx/peol_2021/actas/dipmr/LAZARO_CARDENAS.pdf
