ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PES,RSP,FXM,PT_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,1,ACUITZIO,10,18,936,541,615,882,306,94,851,219,0,226,48,55,11,10,20,0,0,4814,6,346,5166,8933,
16,MICHOACAN,2,AGUILILLA,13,22,62,583,44,110,1618,164,1205,58,27,28,56,3,0,0,0,0,0,3958,11,229,4198,11673,
16,MICHOACAN,3,ALVARO OBREGON,12,29,709,2640,426,861,391,136,1428,2575,52,1253,63,0,0,0,8,0,0,10542,1,354,10897,17078,
16,MICHOACAN,4,ANGAMACUTIRO,13,25,79,1255,1000,79,173,60,2376,336,28,2163,26,13,0,8,0,0,0,7596,1,277,7874,12679,
16,MICHOACAN,5,ANGANGUEO,6,12,173,529,410,1432,462,947,865,62,156,67,104,34,2,1,1,0,0,5245,0,223,5468,8106,
16,MICHOACAN,6,APATZINGAN,78,170,1598,5502,3048,2385,2303,656,12074,636,2215,1599,657,426,44,17,53,1202,0,34415,60,1602,36077,92583,
16,MICHOACAN,7,APORO,4,6,113,150,108,42,189,496,450,102,68,368,4,3,2,0,0,0,0,2095,0,101,2196,2874,
16,MICHOACAN,8,AQUILA,13,32,56,808,2761,99,7995,78,1286,52,85,184,10,5,3,4,10,0,0,13436,2,419,13857,19386,
16,MICHOACAN,9,ARIO,21,47,3840,990,333,359,3430,162,2267,154,0,142,56,411,62,37,9,0,0,12252,15,896,13163,27397,
16,MICHOACAN,10,ARTEAGA,14,36,444,2270,989,304,140,45,4261,69,0,63,98,64,58,11,19,0,0,8835,1,291,9127,16236,
16,MICHOACAN,11,BRISEÑAS,6,11,142,350,471,181,229,965,890,412,0,284,16,43,0,0,3,0,0,3986,1,126,4113,6372,
16,MICHOACAN,12,BUENAVISTA,22,55,377,1612,863,525,414,88,4039,537,135,1200,270,129,18,9,14,0,0,10230,8,454,10692,31396,
16,MICHOACAN,13,CARACUARO,12,17,53,273,1010,318,1741,18,1369,147,24,0,131,36,2,0,41,0,0,5163,0,211,5374,7721,
16,MICHOACAN,14,COAHUAYANA,12,21,275,648,1096,193,974,49,1161,39,123,1066,80,9,1,1,6,0,0,5721,1,177,5899,11295,
16,MICHOACAN,15,COALCOMAN DE VAZQUEZ PALLARES,16,29,301,989,1306,163,1975,1127,1507,54,53,97,45,9,0,5,2,0,0,7633,3,396,8032,14649,
16,MICHOACAN,16,COENEO,29,42,349,468,1955,842,306,86,4604,296,62,94,253,34,6,7,51,0,0,9413,4,457,9874,19173,
16,MICHOACAN,17,CONTEPEC,13,40,231,5011,3212,452,1014,281,3523,180,109,182,130,90,78,4,23,0,0,14520,5,623,15148,24053,
16,MICHOACAN,18,COPANDARO,6,12,105,1381,781,799,321,103,670,56,16,46,47,0,0,0,4,0,0,4329,1,192,4522,7627,
16,MICHOACAN,19,COTIJA,19,36,3185,636,520,273,297,161,2087,68,60,43,57,35,10,17,26,0,0,7475,3,384,7862,17279,
16,MICHOACAN,20,CUITZEO,16,43,667,1132,1753,2418,657,1296,2342,811,197,743,218,0,0,0,10,0,0,12244,22,585,12851,23620,
16,MICHOACAN,21,CHARAPAN,3,8,30,669,813,94,349,314,982,447,177,307,5,1,0,0,1,0,0,4189,0,168,4357,5566,
16,MICHOACAN,22,CHARO,15,29,941,642,2003,282,901,1877,2271,469,115,544,72,0,0,0,18,0,0,10135,25,624,10784,16976,
16,MICHOACAN,23,CHAVINDA,11,20,708,644,400,215,400,57,1599,42,83,37,55,14,111,2,2,0,0,4369,4,187,4560,9394,
16,MICHOACAN,24,CHERAN,2,4,21,97,208,21,18,7,424,13,9,165,3,5,1,0,0,0,0,992,0,43,1035,2103,
16,MICHOACAN,25,CHILCHOTA,17,47,242,2915,1230,1986,577,2228,4961,1862,133,391,87,143,12,3,30,0,0,16800,7,656,17463,28753,
16,MICHOACAN,26,CHINICUILA,7,10,18,251,251,48,579,42,625,381,25,14,11,1,1,0,0,0,0,2247,1,100,2348,3990,
16,MICHOACAN,27,CHUCANDIRO,6,11,24,219,595,65,1146,21,393,25,10,9,27,5,0,0,3,0,0,2542,0,100,2642,5009,
16,MICHOACAN,28,CHURINTZIO,8,13,96,192,854,72,57,16,1381,28,20,8,22,0,0,7,0,0,0,2753,1,86,2840,6092,
16,MICHOACAN,29,CHURUMUCO,13,22,28,5288,70,55,163,12,507,16,0,5,4,6,2,0,1,0,0,6157,2,126,6285,10623,
16,MICHOACAN,30,ECUANDUREO,13,23,2410,254,287,144,197,903,1475,45,27,28,41,0,0,65,0,0,0,5876,1,296,6173,11432,
