ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PSD,MORENA,PHM,PANALM,PESM,MAS,PODEMOS,MP,BC,FUTURO,FM,PAS,RPM,PES,RSP,FXM,APM,PAN_PSD,PRI_PRD,MORENA_PANALM_PESM,MORENA_PANALM,MORENA_PESM,PANALM_PESM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,1,CUERNAVACA,76,215,15253,4683,1740,1808,2088,1156,1059,16020,695,2223,2791,1612,793,462,546,360,499,540,1010,347,358,3386,260,182,,,,,,59871,147,2470,62488,129232,
17,MORELOS,2,CUERNAVACA,95,224,15538,6867,2159,1679,2333,1214,919,13754,683,445,926,2551,492,748,717,271,1467,423,2300,398,442,3646,717,115,,167,20,115,22,61128,140,2547,63815,129672,
17,MORELOS,3,TEPOZTLAN,83,218,7572,4578,1080,2386,5744,4815,1157,16733,1833,1577,594,2085,751,1685,606,1553,497,987,2977,3096,3243,1952,1837,0,92,271,32,59,11,69803,47,3732,73582,128203,
17,MORELOS,4,YECAPIXTLA,68,199,23981,2687,547,572,9491,1761,836,13357,2159,4547,802,1721,485,179,627,983,440,120,709,2230,4142,1005,76,,70,,,,,73527,78,2582,76187,122767,
17,MORELOS,5,TEMIXCO,59,190,4857,5080,895,1131,6032,6673,599,10787,195,666,1708,484,1317,2063,292,569,384,236,456,1470,3553,1242,306,,,166,72,114,15,51362,31,2609,54002,117780,
17,MORELOS,6,JIUTEPEC,56,195,7845,3137,2760,1285,839,3124,173,19125,543,2271,280,427,298,441,344,217,404,319,3881,1038,4307,1676,145,,212,,,,,55091,70,2131,57292,123112,
17,MORELOS,7,CUAUTLA,84,211,4889,2781,864,928,6160,5682,2301,15847,2513,393,314,161,410,3479,351,443,785,101,1071,3339,2094,2132,285,,81,198,71,51,12,57736,49,2475,60260,128121,
17,MORELOS,8,XOCHITEPEC,45,189,4997,13397,1866,1769,2546,891,379,11606,406,836,1129,10843,567,150,67,427,243,218,207,285,2506,467,921,,970,,,,,57693,39,2148,59880,120872,
17,MORELOS,9,PUENTE DE IXTLA,93,203,2226,3276,1381,526,2652,22251,301,11996,198,1094,7718,1363,588,11078,316,360,323,59,300,318,631,729,38,,,,,,,69722,334,2422,72478,117597,
17,MORELOS,10,AYALA,88,219,16797,2055,618,651,1502,9422,375,15853,1974,1190,1648,163,177,7775,529,521,301,316,409,7418,686,362,152,,71,603,141,94,17,71820,26,2576,74422,129309,
17,MORELOS,11,JOJUTLA,97,216,993,2487,690,8935,6722,1189,2733,15970,5821,348,7351,1283,179,2258,565,454,191,44,1218,365,3982,750,1817,0,121,0,0,0,0,66466,34,2720,69220,121619,
17,MORELOS,12,YAUTEPEC,68,206,3486,3045,1258,906,634,1912,1095,9534,419,24425,288,205,234,147,419,149,184,96,1558,1299,2495,3262,264,,,,,,,57314,39,2490,59843,127785,
