ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PES,RSP,FXM,NAN,VIVA,MLN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA_NAN,PT_PVEM_MORENA,PT_PVEM_NAN,PT_MORENA_NAN,PVEM_MORENA_NAN,PT_PVEM,PT_MORENA,PT_NAN,PVEM_MORENA,PVEM_NAN,MORENA_NAN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,1,ACAPONETA,86,113,1027,4169,2006,1349,750,6958,8222,364,1063,457,617,59,896,405,49,30,35,245,55,12,28,47,12,57,10,49,10,48,29029,4,1091,30124,45887,
18,NAYARIT,2,TECUALA,73,92,718,3664,666,2038,978,4480,10328,202,1051,465,912,226,1057,229,35,5,16,365,136,30,45,53,44,72,22,75,17,66,27995,2,974,28971,45410,
18,NAYARIT,3,JESUS MARIA DEL NAYAR,50,95,1742,4316,337,3603,2452,5236,6271,352,809,141,419,57,212,149,51,17,9,84,24,11,24,20,36,34,9,46,17,217,26695,4,1430,28129,45263,
18,NAYARIT,4,TUXPAN,73,104,1083,3213,777,666,544,6130,10471,553,436,566,468,576,1506,345,37,16,10,266,58,17,24,22,8,22,4,29,9,48,27904,47,1168,29119,48604,
18,NAYARIT,5,SANTIAGO IXCUINTLA,72,104,1300,2531,2048,604,1054,3904,5912,963,608,871,388,796,2168,546,49,28,17,325,73,22,25,30,38,28,8,54,21,55,24466,25,1045,25536,47671,
18,NAYARIT,6,TEPIC,52,104,1955,2529,500,1114,754,2891,10162,576,564,590,640,601,1111,395,27,11,15,408,88,15,36,35,19,59,7,58,11,53,25224,15,953,26192,49363,
18,NAYARIT,7,TEPIC,47,106,1039,1382,376,712,1005,4678,9484,511,925,396,499,563,1353,241,28,13,12,301,81,21,31,56,22,60,13,86,10,57,23955,9,775,24739,57037,
18,NAYARIT,8,TEPIC,53,97,1506,1376,1376,1331,509,3701,8900,632,686,459,485,434,2183,459,40,36,13,402,132,24,48,51,19,100,8,70,12,65,25057,33,802,25892,51535,
18,NAYARIT,9,TEPIC,48,87,1180,1278,660,663,427,3862,9375,991,1125,257,561,264,1904,224,19,13,6,221,100,19,44,34,12,59,3,52,8,55,23416,25,870,24311,50167,
18,NAYARIT,10,SAN BLAS,60,88,2210,1363,281,595,914,3078,6883,323,370,2457,485,301,1315,376,62,24,12,374,60,14,24,47,6,24,6,55,13,42,21714,2,922,22638,40259,
18,NAYARIT,11,TEPIC,49,94,3214,2359,653,815,666,3765,10505,575,804,325,561,719,1600,479,48,17,3,291,143,18,25,61,12,70,9,73,4,59,27873,27,810,28710,49917,
18,NAYARIT,12,TEPIC,48,92,2887,2018,668,843,856,2528,9801,642,744,299,875,206,1057,457,70,21,9,341,129,19,42,72,27,66,13,65,10,46,24811,43,804,25658,49640,
18,NAYARIT,13,SANTA MARIA DEL ORO,65,102,1690,2866,419,1107,1023,4758,5819,86,2015,375,965,294,1244,312,80,20,9,499,65,40,26,65,34,41,25,45,21,80,24023,5,1352,25380,47399,
18,NAYARIT,14,XALISCO,26,85,2373,848,178,544,3785,4849,7593,464,951,278,1247,329,2442,205,47,6,2,0,0,0,0,0,0,0,0,0,0,0,26141,20,1051,27212,52122,
18,NAYARIT,15,COMPOSTELA,58,99,2603,1125,323,677,679,3099,9828,346,555,530,456,1101,413,332,73,17,5,233,62,24,46,42,12,50,7,60,7,70,22775,11,797,23583,49227,
18,NAYARIT,16,IXTLAN DEL RIO,62,92,4855,1354,542,1946,2031,3819,4447,580,686,1205,868,38,1920,403,108,31,17,367,87,25,39,44,29,48,12,47,15,42,25605,11,1080,26696,44184,
18,NAYARIT,17,BUCERIAS,25,88,4936,1265,369,642,1703,1225,8946,430,195,397,337,64,2452,439,84,24,9,270,84,13,22,51,38,37,20,96,22,51,24221,13,754,24988,55448,
18,NAYARIT,18,MEZCALES,18,91,5763,1334,686,523,547,1827,7400,347,259,402,260,126,1068,1096,95,59,12,675,74,22,20,40,14,47,5,67,5,41,22814,10,549,23373,62361,
