ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PES,RSP,FXM,NAN,VIVA,MLN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA_NAN,PT_PVEM_MORENA,PT_PVEM_NAN,PT_MORENA_NAN,PVEM_MORENA_NAN,PT_PVEM,PT_MORENA,PT_NAN,PVEM_MORENA,PVEM_NAN,MORENA_NAN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,1,ACAPONETA,47,63,696,1989,1589,540,511,4346,4708,201,466,104,379,9,433,289,29,21,29,102,34,4,16,30,5,34,3,32,8,28,16635,4,534,17173,27434,
18,NAYARIT,2,AHUACATLAN,17,26,1359,542,81,319,343,1175,2011,67,141,46,236,13,414,169,41,5,5,160,30,10,19,7,6,14,2,30,4,24,7273,2,351,7626,12518,
18,NAYARIT,3,AMATLAN DE CAÑAS,21,24,599,323,308,132,1369,620,740,210,112,807,108,14,778,41,10,5,2,34,10,9,2,13,7,2,1,8,6,3,6273,7,295,6575,9483,
18,NAYARIT,4,BAHIA DE BANDERAS,43,179,10699,2599,1055,1165,2250,3052,16346,777,454,799,597,190,3520,1535,179,83,21,945,158,35,42,91,52,84,25,163,27,92,47035,23,1303,48361,117809,
18,NAYARIT,5,COMPOSTELA,72,118,2991,1362,356,882,951,3691,11720,395,592,607,507,1106,662,461,88,18,9,448,83,31,49,49,13,59,7,75,9,81,27302,11,1013,28326,59067,
18,NAYARIT,6,HUAJICORI,19,23,123,731,333,102,98,1343,1964,23,356,304,109,4,213,71,7,4,4,113,10,2,5,13,2,8,2,11,1,11,5967,0,299,6266,8350,
18,NAYARIT,7,IXTLAN DEL RIO,24,42,2897,489,153,1495,319,2024,1696,303,433,352,524,11,728,193,57,21,10,173,47,6,18,24,16,32,9,9,5,15,12059,2,434,12495,22183,
18,NAYARIT,8,JALA,18,29,833,1055,133,305,298,1784,1635,47,1552,46,400,59,133,160,43,14,2,188,10,11,6,24,10,16,4,13,10,24,8815,1,505,9321,13727,
18,NAYARIT,9,DEL NAYAR,23,54,843,3578,202,3396,2001,2867,2115,190,456,89,156,22,45,83,32,11,6,7,6,7,3,1,33,26,5,16,8,192,16396,2,855,17253,27181,
18,NAYARIT,10,ROSAMORADA,43,57,670,3091,386,1857,451,3233,4420,269,738,229,371,99,494,137,33,7,8,82,39,17,21,12,18,45,10,20,5,17,16779,0,647,17426,26292,
18,NAYARIT,11,RUIZ,27,41,899,738,135,207,451,2369,4156,162,353,52,263,35,167,66,19,6,3,77,18,4,21,19,3,8,4,30,9,25,10299,2,575,10876,18082,
18,NAYARIT,12,SAN BLAS,46,69,1822,1126,248,390,642,2486,4991,274,333,2380,434,296,1066,247,47,23,8,159,39,7,21,40,5,15,6,40,11,31,17187,2,706,17895,30419,
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,13,17,317,295,48,130,201,1314,940,7,63,189,97,27,484,41,10,1,0,38,5,1,2,1,2,3,6,15,1,8,4246,2,201,4449,6724,
18,NAYARIT,14,SANTA MARIA DEL ORO,23,36,540,1516,238,672,524,1660,3244,32,400,140,468,208,627,111,27,5,7,273,50,28,18,40,22,22,15,17,10,48,10962,2,646,11610,18599,
18,NAYARIT,15,SANTIAGO IXCUINTLA,111,158,1727,4700,2531,965,1325,5905,11862,1382,765,973,691,1027,2737,705,69,40,23,407,106,36,37,44,43,40,12,69,28,94,38343,64,1556,39963,72737,
18,NAYARIT,16,TECUALA,50,62,256,2022,364,888,668,2516,7458,73,554,285,670,173,813,137,15,3,10,313,108,19,31,45,31,42,17,61,13,58,17643,2,585,18230,29221,
18,NAYARIT,17,TEPIC,299,592,11941,11055,4273,5606,4383,22095,59934,3982,4974,2353,3785,2879,9495,2282,238,111,57,1950,672,114,223,309,111,413,50,404,54,333,154076,162,5138,159376,315417,
18,NAYARIT,18,TUXPAN,34,50,656,1044,294,305,273,4129,4521,134,279,464,165,345,937,186,17,4,4,184,25,3,12,8,3,10,0,14,2,9,14027,8,657,14692,23538,
18,NAYARIT,19,XALISCO,24,73,2213,735,138,416,3619,4179,5886,409,825,251,1083,237,2155,178,41,6,3,14,1,2,3,0,0,1,3,0,1,2,22401,10,927,23338,44364,
18,NAYARIT,20,LA YESCA,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8349,
