ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PANAL,PES,RSP,FXM,C_PRI_PRD,C_PVEM_PT_MORENA_PANAL,C_PVEM_PT_MORENA,C_PVEM_PT_PANAL,C_PVEM_MORENA_PANAL,C_PT_MORENA_PANAL,C_PVEM_PT,C_PVEM_MORENA,C_PVEM_PANAL,C_PT_MORENA,C_PT_PANAL,C_MORENA_PANAL,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,1,MONTERREY,38,188,5499,27423,707,630,1958,11406,5927,477,303,577,326,189,33,40,8,5,6,12,9,7,54,6,8,0,0,0,0,0,0,55610,16,1282,56908,127525,
19,NUEVO LEON,2,MONTERREY,78,232,9489,27261,590,1198,4402,15314,8810,639,430,371,717,214,67,59,12,12,12,36,25,8,115,12,20,0,0,0,0,0,0,69813,26,1957,71796,142763,
19,NUEVO LEON,3,MONTERREY,73,240,29795,25021,1225,1164,1949,22483,8462,658,353,232,450,292,0,0,0,0,0,0,0,0,0,0,0,0,0,1777,0,0,0,93861,50,1687,95598,153972,
19,NUEVO LEON,4,MONTERREY,172,289,28118,28902,415,1157,865,22371,8841,758,1288,336,424,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,0,94820,51,1681,96552,155085,
19,NUEVO LEON,5,APODACA,128,313,14358,34724,678,1107,1072,15672,12814,606,692,457,494,224,61,56,18,14,11,19,28,6,60,7,9,0,0,0,0,0,532,83719,26,1499,85244,184757,
19,NUEVO LEON,6,MONTERREY,230,322,21015,27489,769,1044,680,21594,11371,614,431,636,568,175,0,0,0,0,0,0,0,0,0,0,0,2755,0,0,0,0,0,89141,31,1895,91067,161412,
19,NUEVO LEON,7,APODACA,96,233,10346,31446,573,907,660,10764,9916,466,423,472,423,168,106,29,4,8,6,8,22,3,41,1,15,0,0,0,0,0,0,66807,19,1015,67841,140481,
19,NUEVO LEON,8,MONTERREY,73,245,27138,31126,604,874,732,22411,6284,595,407,271,369,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90979,44,1581,92604,151929,
19,NUEVO LEON,9,SAN NICOLAS DE LOS GARZA,93,244,37475,8201,303,1247,1076,15421,11746,771,0,395,543,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77360,22,1670,79052,145846,
19,NUEVO LEON,10,SAN NICOLAS DE LOS GARZA,91,249,37040,8696,309,1431,1320,16252,11226,1400,0,637,646,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79111,22,1653,80786,146996,
19,NUEVO LEON,11,SAN NICOLAS DE LOS GARZA,111,246,32177,17608,615,951,4231,14117,7954,474,0,278,594,350,132,91,11,9,8,16,19,5,81,8,13,0,0,0,0,0,0,79742,38,1513,81293,143599,
19,NUEVO LEON,12,GUADALUPE,91,231,21646,19916,490,955,859,14852,10396,771,539,878,343,141,0,0,0,0,0,0,0,0,0,0,0,0,1861,0,0,0,0,73647,108,1826,75581,138168,
19,NUEVO LEON,13,GUADALUPE,57,216,14589,19626,603,1264,848,14360,11057,933,0,405,758,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64605,33,1714,66352,139122,
19,NUEVO LEON,14,GUADALUPE,55,208,17523,15410,479,1964,845,14726,10175,903,0,542,698,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63428,16,1573,65017,133503,
19,NUEVO LEON,15,GUADALUPE,99,236,21533,18855,841,3561,1198,15632,12313,1216,587,661,603,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77210,32,1971,79213,142026,
19,NUEVO LEON,16,APODACA,75,223,12813,26762,507,1099,1113,13771,11049,621,597,326,489,161,91,62,9,12,10,17,24,7,54,6,19,0,0,0,0,0,0,69619,21,1257,70897,137538,
19,NUEVO LEON,17,GRAL. ESCOBEDO,52,241,17395,10094,406,2418,1576,19214,14330,991,501,1310,693,84,224,93,33,39,18,31,88,14,66,12,29,0,0,0,0,0,0,69659,47,1326,71032,159375,
19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,88,266,56438,12510,374,931,554,15080,6716,1210,310,249,803,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1754,0,0,97086,50,1707,98843,166826,
19,NUEVO LEON,19,SANTA CATARINA,73,257,35197,8001,318,1475,678,15651,10749,1502,492,2554,1511,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78206,139,1780,80125,166765,
19,NUEVO LEON,20,GARCIA,159,418,23811,14779,1139,7116,2464,22575,16891,1513,3234,1389,2727,141,311,61,12,17,12,36,40,16,63,8,19,0,0,0,0,0,0,98374,81,2703,101158,252549,
19,NUEVO LEON,21,SABINAS HIDALGO,160,331,27239,15703,807,6379,3527,22395,12810,715,0,2506,1408,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93752,20,2533,96305,192505,
19,NUEVO LEON,22,BENITO JUAREZ,110,279,12782,21684,426,1666,684,17759,10809,759,0,408,1130,289,43,40,3,8,6,12,40,3,25,2,16,0,0,0,0,0,0,68594,7,1399,70000,166518,
19,NUEVO LEON,23,BENITO JUAREZ,162,409,23202,21435,582,11576,2454,13659,15035,1898,867,1526,1599,298,225,77,28,144,7,42,106,29,45,9,19,0,0,0,0,0,0,94862,35,2483,97380,239765,
19,NUEVO LEON,24,LINARES,157,317,27968,28879,775,1806,1660,11074,11179,5075,558,1099,616,259,96,33,27,25,34,23,28,29,60,26,85,0,0,0,0,0,0,91414,40,2959,94413,176971,
19,NUEVO LEON,25,GRAL. ESCOBEDO,103,267,14583,11310,513,1786,1501,14607,10669,785,478,743,445,111,163,53,19,27,12,26,56,7,73,7,26,0,0,0,0,0,0,58000,30,1273,59303,162409,
19,NUEVO LEON,26,SANTIAGO,158,303,39250,39684,342,4811,3706,3647,8341,598,0,755,264,498,241,17,21,6,3,44,30,21,28,7,18,0,0,0,0,0,0,102332,15,2290,104637,161279,
