ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,MORENA,NAO,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,113,226,,,,,,,,,,,,,,,,,,,,,,,109523,
20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,71,196,2243,6675,314,2597,1358,5238,704,32564,8920,1358,377,2456,126,184,6,9,,,65129,13,1620,66762,113040,
20,OAXACA,3,LOMA BONITA,86,213,5562,14273,8044,7610,610,1638,1678,27932,6426,1865,1466,556,301,77,40,43,,,78121,4,2189,80314,108854,
20,OAXACA,4,TEOTITLAN DE FLORES MAGON,119,236,1761,20085,4485,967,3247,722,1692,26262,2234,1738,1063,1145,341,171,23,94,,,66030,4,2703,68737,109793,
20,OAXACA,5,ASUNCION NOCHIXTLAN,166,290,2646,11271,1993,1576,4633,2140,2542,27930,2540,755,3037,1546,218,62,17,44,,,62950,46,2374,65370,117239,
20,OAXACA,6,HEROICA CIUDAD DE HUAJUAPAN DE LEON,156,264,8147,10475,1624,4092,6222,1262,1245,22763,3656,710,1055,1604,200,266,33,42,,,63396,13,2372,65781,126283,
20,OAXACA,7,PUTLA VILLA DE GUERRERO,109,239,586,8556,3084,1551,4137,860,696,24364,474,616,1024,1679,237,32,14,48,,18798,66756,8,3274,70038,123381,
20,OAXACA,8,HEROICA CIUDAD DE TLAXIACO,128,243,1103,8289,1811,2146,15768,587,1270,21926,756,2333,810,1376,230,52,20,47,,,58524,12,2611,61147,115648,
20,OAXACA,9,IXTLAN DE JUAREZ,127,239,1677,8766,969,2397,2398,969,1387,29161,1979,1134,393,897,273,90,20,141,,,52651,24,1901,54576,112610,
20,OAXACA,10,SAN PEDRO Y SAN PABLO AYUTLA,80,200,855,7612,639,765,8564,435,287,13977,262,788,952,444,59,39,13,23,31,,35745,24,1597,37366,97949,
20,OAXACA,11,MATIAS ROMERO AVENDAÑO,121,266,2646,13230,8196,1796,4171,1233,570,42582,1271,597,1819,2140,224,71,14,33,18,,80611,34,2233,82878,129597,
20,OAXACA,12,SANTA LUCIA DEL CAMINO,62,198,3557,7732,654,1011,4375,3265,1899,25896,1586,1725,944,2269,235,78,4,14,,,55244,46,2036,57326,122019,
20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,85,223,4048,13179,1022,1159,2688,1549,924,32534,1037,1551,779,1795,381,108,12,21,25,,62812,43,2032,64887,132981,
20,OAXACA,14,OAXACA DE JUAREZ ZONA NORTE,86,226,5598,15317,673,2201,1940,1843,798,32641,1695,1409,835,2163,423,112,7,14,49,,67718,45,2098,69861,131573,
20,OAXACA,15,SANTA CRUZ XOXOCOTLAN,40,213,3122,7541,1500,3158,5545,2285,8259,32246,1701,2078,1187,6968,271,41,12,22,,,75936,18,2725,78679,138588,
20,OAXACA,16,ZIMATLAN DE ALVAREZ,104,229,7176,7087,1511,13556,6662,842,669,23075,432,856,494,2256,226,137,32,28,,,65039,19,2998,68056,124779,
20,OAXACA,17,TLACOLULA DE MATAMOROS,120,266,3746,15964,1238,1092,10997,1138,1092,22572,391,679,378,610,160,147,16,41,112,,60373,12,2450,62835,137022,
20,OAXACA,18,SANTO DOMINGO TEHUANTEPEC,90,202,973,10114,1098,2690,2401,959,2991,37576,459,868,973,1453,87,26,3,17,,,62688,32,1865,64585,105662,
20,OAXACA,19,SALINA CRUZ,90,227,2651,15175,823,1446,3860,1261,2307,42933,1662,886,637,1753,447,84,7,28,,,75960,11,2024,77995,128790,
20,OAXACA,20,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,84,201,757,15017,1454,505,11879,3988,1103,30470,1593,4892,1773,1795,177,31,8,11,14,,75467,44,2001,77512,111050,
20,OAXACA,21,HEROICA CIUDAD DE EJUTLA DE CRESPO,92,201,7740,9450,1160,4598,2532,455,877,14002,231,1296,620,1007,237,179,36,44,,,44464,4,2517,46985,104267,
20,OAXACA,22,SANTIAGO PINOTEPA NACIONAL,101,243,2833,18991,12687,2193,4963,985,989,28189,5490,1116,3602,2707,164,33,36,104,,,85082,32,2607,87721,129598,
20,OAXACA,23,SAN PEDRO MIXTEPEC,62,212,1482,25562,1574,674,2494,597,2301,28184,1225,598,1014,458,342,105,63,92,,,66765,14,2167,68946,121543,
20,OAXACA,24,MIAHUATLAN DE PORFIRIO DIAZ,109,232,1518,15789,841,959,2324,577,3130,19441,8803,942,801,1204,159,79,13,38,,,56618,5,2556,59179,119371,
20,OAXACA,25,SAN PEDRO POCHUTLA,68,221,3227,7462,3895,5551,6160,1263,2466,24603,4041,1321,1370,2734,394,101,42,51,,,64681,11,2417,67109,126637,
