ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,MORENA,NAO,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,33,65,,,,,,,,,,,,,,,,,,,,,,,32526,
20,OAXACA,24,COSOLAPA,10,17,,,,,,,,,,,,,,,,,,,,,,,10082,
20,OAXACA,167,SAN JOSE INDEPENDENCIA,3,6,,,,,,,,,,,,,,,,,,,,,,,3232,
20,OAXACA,170,SAN JOSE TENANGO,16,27,,,,,,,,,,,,,,,,,,,,,,,12181,
20,OAXACA,182,SAN JUAN BAUTISTA TUXTEPEC,75,205,1952,7053,326,2687,1390,5420,723,33084,9020,1387,393,2518,125,187,5,9,0,0,66279,13,1693,67985,116540,
20,OAXACA,276,SAN MIGUEL SOYALTEPEC,24,57,,,,,,,,,,,,,,,,,,,,,,,27931,
20,OAXACA,307,SAN PEDRO IXCATLAN,9,17,,,,,,,,,,,,,,,,,,,,,,,7808,
20,OAXACA,404,SANTA MARIA CHILCHOTLA,17,35,,,,,,,,,,,,,,,,,,,,,,,14918,
20,OAXACA,232,SAN LUCAS OJITLAN,12,32,2660,1044,350,126,36,104,19,5702,2822,34,142,52,47,25,4,0,0,0,13167,0,217,13384,16001,
20,OAXACA,11,AYOTZINTEPEC,2,8,44,523,111,59,149,43,17,1285,35,289,34,21,39,5,2,6,0,0,2662,0,172,2834,4094,
20,OAXACA,44,LOMA BONITA,32,60,502,2139,5609,611,138,167,84,4599,2411,520,105,177,17,8,20,9,0,0,17116,2,680,17798,29555,
