ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QI,PES,RSP,FXM,PAN_QI,PRI_PVEM,PVEM_PT,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
22,QUERETARO,1,SANTIAGO DE QUERETARO,62,187,27020,5802,626,1388,909,16811,453,540,620,676,554,,,,,,55399,49,1417,56865,113789,
22,QUERETARO,2,SANTIAGO DE QUERETARO,66,197,23867,5061,662,1450,2410,16722,431,622,1000,596,763,316,,,,,53900,45,1406,55351,120679,
22,QUERETARO,3,SANTIAGO DE QUERETARO,67,177,21640,3297,786,1691,837,16739,445,631,268,425,2119,242,,,,,49120,42,1367,50529,111261,
22,QUERETARO,4,SANTIAGO DE QUERETARO,73,196,32215,5266,481,1219,1317,15823,475,947,802,519,442,,,,,,59506,69,1471,61046,120236,
22,QUERETARO,5,SANTIAGO DE QUERETARO,65,191,34893,4539,1303,1621,1726,15483,433,691,781,620,399,,,,,,62489,62,1507,64058,116251,
22,QUERETARO,6,SANTIAGO DE QUERETARO,51,202,34088,8417,723,1554,2407,12293,982,779,796,696,1025,,,42,2273,,66075,59,1615,67749,130590,
22,QUERETARO,7,EL PUEBLITO,63,191,31907,7624,1128,677,5258,9622,805,828,770,1241,972,,,102,,,60934,62,1900,62896,116440,
22,QUERETARO,8,SAN JUAN DEL RIO,68,190,22104,14457,513,1109,1462,12920,447,425,473,732,735,,,,,,55377,44,1984,57405,103435,
22,QUERETARO,9,SAN JUAN DEL RIO,53,183,19518,6241,555,1015,2336,16032,588,559,734,449,962,,,,,,48989,56,1465,50510,113646,
22,QUERETARO,10,PEDRO ESCOBEDO,42,167,21602,7833,929,1130,1007,12411,422,432,1194,1504,1770,,,,,,50234,20,1610,51864,106934,
22,QUERETARO,11,TEQUISQUIAPAN,53,167,15854,15624,1193,1058,1998,13786,,1912,2408,3723,1634,190,,,,,59380,58,2351,61789,103082,
22,QUERETARO,12,LA CAÑADA,34,208,34786,10270,869,841,1401,18341,1417,450,822,825,1149,,,,,,71171,61,2179,73411,138737,
22,QUERETARO,13,SANTA ROSA JAUREGUI,53,225,30938,10341,730,1107,1370,13781,,267,435,741,1311,,,,,277,61298,45,1550,62893,142572,
22,QUERETARO,14,CADEREYTA DE MONTES,62,184,24026,11042,741,1278,4087,14792,,728,,1992,2231,,,,,,60917,31,2483,63431,106760,
22,QUERETARO,15,JALPAN DE SERRA,79,188,25088,11377,678,420,5354,9613,786,714,283,335,457,269,397,,,,55771,15,2641,58427,91957,
