ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PAS,MORENA,PES,RSP,FXM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,CC_PAS_MORENA,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
25,SINALOA,1,EL FUERTE,236,262,3806,8206,3103,232,10757,2662,2124,20676,383,589,630,168,76,15,18,188,1350,,54983,17,1665,56665,98358,
25,SINALOA,2,LOS MOCHIS,118,183,3950,9348,469,5770,567,1744,2215,17525,340,576,814,449,127,6,11,257,,,44168,23,1131,45322,94777,
25,SINALOA,3,LOS MOCHIS,150,187,1763,8579,565,3215,316,2222,1915,19265,298,903,1134,361,124,7,26,344,,,41037,15,1397,42449,87382,
25,SINALOA,4,LOS MOCHIS,161,197,4125,10035,378,2059,432,1260,2313,16882,259,690,1076,449,118,4,13,316,,,40409,15,1004,41428,90013,
25,SINALOA,5,LOS MOCHIS,105,185,4702,10792,375,1222,212,1208,2914,21319,237,286,639,632,136,5,17,498,,,45194,15,873,46082,95230,
25,SINALOA,6,SINALOA DE LEYVA,216,230,1474,14021,460,826,184,567,2927,11443,425,451,154,214,92,21,29,215,,,33503,2,1575,35080,81531,
25,SINALOA,7,GUASAVE,178,212,3858,12305,476,164,175,645,2635,19920,591,329,178,643,216,18,21,556,,,42730,17,924,43671,87052,
25,SINALOA,8,GUASAVE,167,197,3817,10371,492,152,153,575,2433,20215,532,505,197,560,143,39,13,382,,,40579,12,828,41419,85444,
25,SINALOA,9,GUAMUCHIL,247,281,3433,14732,1811,312,1602,811,6523,27597,264,1697,1059,375,110,20,43,599,,,60988,20,1333,62341,100530,
25,SINALOA,10,MOCORITO,217,238,1381,13811,2311,1303,300,3069,5290,17068,,474,400,149,77,92,45,812,,,46582,13,1600,48195,83090,
25,SINALOA,11,NAVOLATO,125,176,2003,9704,242,3513,841,4022,2158,14400,399,685,270,65,37,4,11,140,,,38494,21,948,39463,84223,
25,SINALOA,12,CULIACAN DE ROSALES,75,186,4931,13286,521,738,867,2631,3615,23488,1150,768,981,535,134,6,4,513,,,54168,79,1251,55498,110581,
25,SINALOA,13,CULIACAN DE ROSALES,157,217,5368,12756,488,544,753,1818,2714,19070,827,541,710,521,126,11,13,500,,,46760,50,1127,47937,103251,
25,SINALOA,14,CULIACAN DE ROSALES,258,289,7245,13567,454,578,1249,2990,2934,22689,764,570,855,649,164,11,11,609,,,55339,48,1253,56640,101841,
25,SINALOA,15,CULIACAN DE ROSALES,78,170,4253,9543,369,670,564,1733,2155,18173,584,388,640,425,95,5,16,350,,,39963,29,949,40941,93751,
25,SINALOA,16,CULIACAN DE ROSALES,55,147,1913,7073,357,383,815,1857,2048,17682,760,503,476,245,59,3,8,389,,,34571,21,856,35448,91431,
25,SINALOA,17,CULIACAN DE ROSALES,155,199,2163,8991,496,906,765,1766,2485,17649,642,357,580,331,108,15,50,606,,,37910,37,1101,39048,94647,
25,SINALOA,18,CULIACAN DE ROSALES,176,231,1760,8997,467,1369,442,1180,3630,20827,501,767,493,239,89,12,32,708,,,41513,17,1147,42677,103324,
25,SINALOA,19,LA CRUZ,175,216,1303,14690,468,5772,1948,727,7822,12339,,528,300,217,102,12,32,347,,,46607,17,2042,48666,89347,
25,SINALOA,20,MAZATLAN,90,191,2476,7342,267,719,653,1522,2870,22426,941,343,1193,243,118,14,40,565,,,41732,40,1095,42867,106714,
25,SINALOA,21,MAZATLAN,76,178,5420,10176,285,538,885,1881,3130,21004,748,388,1623,416,108,13,10,342,,,46967,38,969,47974,104934,
25,SINALOA,22,MAZATLAN,189,215,3512,10271,304,493,2937,2221,1825,21145,713,279,1002,415,123,5,5,499,,752,46501,50,1259,47810,95740,
25,SINALOA,23,MAZATLAN,181,214,2363,7838,978,523,638,1406,4632,18234,559,425,783,217,96,8,15,848,,,39563,41,1292,40896,87881,
25,SINALOA,24,EL ROSARIO,145,185,10746,4204,356,,243,4821,4086,11866,,2680,633,66,74,18,3,329,,,40125,2,1281,41408,81035,
