ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PAS,MORENA,PES,RSP,FXM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,CC_PAS_MORENA,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
25,SINALOA,1,AHOME,482,691,15278,33969,1883,14372,1775,7442,7749,66214,1242,2523,3763,1620,476,77,139,1284,,,159806,81,4376,164263,339435,
25,SINALOA,2,ANGOSTURA,103,112,1111,7182,620,90,405,360,3320,9671,122,619,687,106,51,7,29,139,,,24519,4,570,25093,36587,
25,SINALOA,3,BADIRAGUATO,58,66,223,4310,188,165,55,77,2075,5517,66,138,46,64,31,7,12,390,,,13364,7,466,13837,22950,
25,SINALOA,4,CONCORDIA,43,49,412,765,799,80,70,100,2221,4485,102,128,76,16,5,6,13,489,,,9767,21,413,10201,19911,
25,SINALOA,5,COSALA,32,37,223,2542,63,47,19,225,3434,827,43,110,16,18,21,5,9,175,,,7777,0,308,8085,12559,
25,SINALOA,6,CULIACAN,1001,1497,28085,79208,3315,5358,5536,14206,20291,145207,5468,3992,4905,3073,823,69,147,3766,,,323449,281,8072,331802,726761,
25,SINALOA,7,CHOIX,67,75,2862,609,2830,66,406,77,535,6022,47,202,124,23,17,9,10,91,156,,14086,5,435,14526,24023,
25,SINALOA,8,ELOTA,59,77,424,5041,201,5497,174,197,3235,4392,153,264,59,63,24,0,10,71,,,19805,16,793,20614,32892,
25,SINALOA,9,ESCUINAPA,63,89,5285,2925,170,2044,123,3893,2307,4432,135,937,107,28,34,6,3,188,,,22617,2,651,23270,42607,
25,SINALOA,10,EL FUERTE,169,187,944,7597,273,166,9991,2585,1736,14654,336,387,506,145,59,6,8,97,1194,,40684,12,1230,41926,74335,
25,SINALOA,11,GUASAVE,436,511,9071,28341,1215,419,399,1463,6050,48638,1252,1131,678,1395,420,65,46,1099,,,101682,33,2524,104239,217196,
25,SINALOA,12,MAZATLAN,493,749,13359,34862,1035,2193,5043,6930,10236,78324,2859,1307,4525,1275,440,34,57,1765,,752,164996,148,4202,169346,375358,
25,SINALOA,13,MOCORITO,112,117,390,5713,2067,92,97,2323,2677,5842,349,111,273,78,29,83,29,377,,,20530,4,728,21262,35982,
25,SINALOA,14,ROSARIO,82,96,5461,1279,186,379,120,928,1779,7434,202,1743,526,38,40,12,0,141,,,20268,0,630,20898,38428,
25,SINALOA,15,SALVADOR ALVARADO,144,169,2289,7425,1177,218,1166,433,3166,17669,139,1073,369,261,60,11,24,438,,,35918,16,752,36686,63943,
25,SINALOA,16,SAN IGNACIO,37,44,215,2145,43,59,1676,80,466,1651,3051,54,60,15,9,1,0,16,,,9541,1,558,10100,15961,
25,SINALOA,17,SINALOA,177,189,805,10972,278,790,149,476,2622,7888,352,379,115,114,59,15,22,159,,,25195,1,1026,26222,64798,
25,SINALOA,18,NAVOLATO,172,231,2771,13492,298,4559,989,4691,2696,20109,571,910,351,72,54,6,15,185,,,51769,23,1354,53146,108381,
