ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PCP,PMC,MORENA,NASLP,PES,RSP,FXM,PAN_PRI_PRD_PCP,PAN_PRI_PRD,PAN_PRI_PCP,PAN_PRD_PCP,PRI_PRD_PCP,PAN_PRI,PAN_PRD,PAN_PCP,PRI_PRD,PRI_PCP,PRD_PCP,PT_PVEM,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,1,MATEHUALA,177,288,12324,7944,1256,2324,22367,680,3655,13259,2998,3146,666,364,608,413,68,10,13,429,118,32,29,38,18,1699,,74458,27,3994,78479,139608,
24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,105,243,21874,8652,1247,1608,16405,673,2759,15170,1634,631,1234,1220,798,725,76,20,17,350,47,18,16,14,8,1079,,76275,152,3246,79673,139865,
24,SAN LUIS POTOSI,3,SANTA MARIA DEL RIO,159,283,16441,23855,9044,2320,14143,2271,5933,9641,2540,2145,1647,459,237,210,30,24,7,212,716,22,55,132,22,876,,92982,15,6192,99189,143297,
24,SAN LUIS POTOSI,4,SALINAS DE HIDALGO,143,258,,,,7984,16696,,11821,8713,3923,2747,2349,303,22214,,,,,,,,,,,2098,,78848,38,5922,84808,133970,
24,SAN LUIS POTOSI,5,SOLEDAD DE GRACIANO SANCHEZ,77,244,9198,5308,1719,1288,25230,1093,1788,9687,3201,1262,1170,525,447,368,30,12,5,262,57,13,25,8,23,1803,2333,66855,87,2970,69912,150918,
24,SAN LUIS POTOSI,6,SAN LUIS POTOSI,73,223,11006,5353,1011,2045,24113,986,4181,13158,1243,911,747,716,396,456,24,15,10,338,41,11,18,7,20,1875,,68681,102,3177,71960,141502,
24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,82,241,,,,1683,13360,,6891,13756,2089,933,1163,,47855,,,,,,,,,,,1038,,88768,187,3581,92536,145954,
24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,73,246,12545,5819,786,2107,23906,544,3820,15831,2361,2057,1382,1623,480,457,33,10,7,263,60,11,11,4,2,1411,,75530,224,3269,79023,153731,
24,SAN LUIS POTOSI,9,SOLEDAD DE GRACIANO SANCHEZ,51,214,6788,3704,1589,1929,32423,936,3321,10544,1869,515,872,1234,368,325,42,9,6,127,31,10,12,7,13,2168,,68842,83,3036,71961,141124,
24,SAN LUIS POTOSI,10,RIOVERDE,171,291,16317,12267,530,8279,16811,1174,2174,9945,1714,475,449,1305,423,215,44,13,13,341,79,41,29,15,3,,,72656,28,4252,76936,147790,
24,SAN LUIS POTOSI,11,CARDENAS,187,291,10722,15332,2021,7813,11230,655,3304,14312,5693,3025,2104,1056,411,357,29,12,4,247,82,32,32,19,7,1585,,80084,39,6049,86172,135577,
24,SAN LUIS POTOSI,12,CIUDAD VALLES,105,232,5453,5162,823,2927,13258,726,3795,14787,4761,2472,10045,2024,241,185,21,5,6,146,29,14,12,7,9,1219,,68127,115,2734,70976,130478,
24,SAN LUIS POTOSI,13,TAMUIN,151,245,9250,7582,1694,2813,12838,871,1967,14028,11601,2240,10786,2027,220,142,34,13,5,160,56,31,28,17,31,846,,79280,11,5046,84337,122516,
24,SAN LUIS POTOSI,14,TANCANHUITZ DE SANTOS,119,229,14190,10507,1321,2573,11605,514,3398,14973,2223,1643,14909,967,358,201,56,16,11,456,60,21,51,36,13,995,,81097,33,5665,86795,121222,
24,SAN LUIS POTOSI,15,TAMAZUNCHALE,112,222,10594,8556,1918,4130,14975,1996,2642,18045,3880,2587,2548,,193,118,17,8,8,131,34,19,34,43,15,1362,,73853,63,5246,79162,120738,
