ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PCP,PMC,MORENA,NASLP,PES,RSP,FXM,PAN_PRI_PRD_PCP,PAN_PRI_PRD,PAN_PRI_PCP,PAN_PRD_PCP,PRI_PRD_PCP,PAN_PRI,PAN_PRD,PAN_PCP,PRI_PRD,PRI_PCP,PRD_PCP,PT_PVEM,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,1,AHUALULCO,14,29,,,,314,2259,,492,542,2385,78,67,15,2405,,,,,,,,,,,27,,8584,2,828,9414,14796,
24,SAN LUIS POTOSI,2,ALAQUINES,19,20,915,1899,10,42,641,11,71,453,128,47,20,6,10,5,,1,,9,1,2,1,,,36,,4308,10,242,4560,6418,
24,SAN LUIS POTOSI,3,AQUISMON,26,64,5419,2229,106,306,3643,73,269,2095,126,96,9509,113,182,88,32,5,1,269,27,10,7,4,,346,,24955,1,1443,26399,34347,
24,SAN LUIS POTOSI,4,ARMADILLO DE LOS INFANTE,10,11,257,1468,17,78,596,16,26,166,35,33,5,7,17,20,2,1,1,21,,,2,1,,71,,2840,,156,2996,4027,
24,SAN LUIS POTOSI,5,CARDENAS,20,30,2343,503,100,887,2604,94,113,1397,182,92,105,126,44,25,8,2,1,40,14,3,3,,1,169,,8856,24,447,9327,14725,
24,SAN LUIS POTOSI,6,CATORCE,18,20,1185,609,32,244,1435,31,466,356,129,88,30,9,20,15,3,1,1,41,3,,,,1,88,,4787,1,289,5077,7153,
24,SAN LUIS POTOSI,7,CEDRAL,17,29,226,763,62,477,3362,80,656,1251,723,88,66,117,20,20,,,,14,2,,2,2,1,369,,8301,2,358,8661,14545,
24,SAN LUIS POTOSI,8,CERRITOS,26,39,1637,1493,83,937,2612,57,62,2177,341,25,44,35,60,33,4,1,2,51,4,,2,,,,,9660,6,604,10270,17735,
24,SAN LUIS POTOSI,9,CERRO DE SAN PEDRO,6,10,904,923,32,49,553,14,53,448,29,93,23,27,13,4,,,,14,5,1,1,,,20,,3206,,227,3433,4370,
24,SAN LUIS POTOSI,10,CIUDAD DEL MAIZ,30,48,2853,1982,139,1397,1639,22,119,1096,2010,1776,30,37,5,193,,1,,22,23,1,1,1,1,197,,13545,,748,14293,23310,
24,SAN LUIS POTOSI,11,CIUDAD FERNANDEZ,31,67,4204,1897,119,3002,5719,730,597,1780,332,206,89,224,46,28,9,2,1,47,23,14,5,4,1,,,19079,9,912,20000,37073,
24,SAN LUIS POTOSI,12,TANCANHUITZ,15,28,815,1267,797,658,1049,127,958,1392,1331,158,939,562,36,23,2,4,1,11,7,,11,9,4,59,,10220,3,910,11133,14975,
24,SAN LUIS POTOSI,13,CIUDAD VALLES,105,232,5453,5162,823,2927,13258,726,3795,14787,4761,2472,10045,2024,241,185,21,5,6,146,29,14,12,7,9,1219,,68127,115,2734,70976,130478,
24,SAN LUIS POTOSI,14,COXCATLAN,13,24,1179,1352,296,129,804,38,132,1567,991,301,586,58,12,8,4,2,,21,10,12,8,5,1,54,,7570,2,685,8257,12079,
24,SAN LUIS POTOSI,15,CHARCAS,21,34,872,1796,81,417,3303,36,38,2138,242,139,83,20,5,12,2,,,9,30,2,1,28,1,267,,9522,4,392,9918,15972,
24,SAN LUIS POTOSI,16,EBANO,32,57,2793,372,257,301,5219,141,157,3292,1419,310,2450,1075,49,36,10,2,2,29,15,4,1,,13,274,,18221,3,937,19161,30498,
24,SAN LUIS POTOSI,17,GUADALCAZAR,30,42,543,5406,163,102,757,105,803,1172,394,62,766,20,271,50,12,1,3,60,7,,14,6,,26,,10743,,1148,11891,18936,
24,SAN LUIS POTOSI,18,HUEHUETLAN,10,21,615,2300,121,194,1764,76,180,687,94,57,1155,36,49,30,10,1,3,57,1,2,11,8,,111,,7562,1,635,8198,11213,
24,SAN LUIS POTOSI,19,LAGUNILLAS,11,13,154,172,18,285,90,18,639,675,83,331,158,292,8,7,,2,,3,1,1,,2,1,21,,2961,,340,3301,4738,
24,SAN LUIS POTOSI,20,MATEHUALA,64,135,8132,3577,498,695,8780,334,837,6663,888,1357,345,142,474,307,51,7,9,292,64,25,16,5,8,735,,34241,16,1468,35725,73544,
24,SAN LUIS POTOSI,21,MEXQUITIC DE CARMONA,36,78,,,,870,3254,,9386,3388,697,648,276,95,6940,,,,,,,,,,,243,,25797,5,1957,27759,43985,
24,SAN LUIS POTOSI,22,MOCTEZUMA,24,30,,,,1123,3112,,543,721,202,124,83,16,2819,,,,,,,,,,,349,,9092,,812,9904,14720,
24,SAN LUIS POTOSI,23,RAYON,18,27,489,1878,89,766,862,140,82,1519,86,368,82,22,23,24,4,2,,33,8,10,2,6,1,234,,6730,,643,7373,12801,
24,SAN LUIS POTOSI,24,RIOVERDE,87,153,10008,6242,202,3710,7529,142,619,4692,768,225,165,1030,242,110,26,9,8,194,48,22,18,7,,,,36016,10,2042,38068,79132,
24,SAN LUIS POTOSI,25,SALINAS,23,42,,,,544,1905,,618,1802,314,1600,1736,137,3090,,,,,,,,,,,174,,11920,4,932,12856,22723,
24,SAN LUIS POTOSI,26,SAN ANTONIO,9,14,419,181,43,153,441,22,40,1623,991,165,1078,22,10,8,3,2,1,3,2,,,2,,38,,5247,1,494,5742,7083,
24,SAN LUIS POTOSI,27,SAN CIRO DE ACOSTA,16,20,711,378,33,1153,335,18,55,1366,143,56,104,14,12,19,1,,,33,2,,1,1,,197,,4632,1,322,4955,8883,
24,SAN LUIS POTOSI,28,SAN LUIS POTOSI,372,1059,48777,22090,3571,7956,86410,2522,17994,61920,7593,5005,4906,3751,49695,1772,150,49,37,1096,173,46,49,29,34,6122,1409,333156,695,14459,348310,645062,
24,SAN LUIS POTOSI,29,SAN MARTIN CHALCHICUAUTLA,20,31,1640,218,84,697,3852,79,314,1861,268,1511,234,,31,21,2,2,,27,8,3,2,,1,225,,11080,3,710,11793,15754,
24,SAN LUIS POTOSI,30,SAN NICOLAS TOLENTINO,11,12,238,236,100,472,633,225,14,626,186,4,12,5,34,7,3,1,1,12,3,5,1,4,2,,,2824,,306,3130,4804,
24,SAN LUIS POTOSI,31,SAN VICENTE TANCUAYALAB,19,26,1159,1507,35,591,1401,257,54,1260,1252,235,1174,47,10,4,,1,,7,4,4,4,2,2,48,,9058,,608,9666,12005,
24,SAN LUIS POTOSI,32,SANTA CATARINA,9,21,55,209,30,354,2067,31,196,2052,64,62,126,34,5,5,1,,,3,2,,2,,,355,,5653,1,585,6239,9040,
24,SAN LUIS POTOSI,33,SANTA MARIA DEL RIO,29,61,7611,5049,677,511,1882,83,196,2359,1324,400,63,61,52,47,4,3,3,46,258,3,2,2,1,217,,20854,3,1340,22197,31908,
24,SAN LUIS POTOSI,34,SANTO DOMINGO,21,25,,,,589,1285,,133,1566,204,53,42,12,1903,,,,,,,,,,,177,,5964,,523,6487,9775,
24,SAN LUIS POTOSI,35,SOLEDAD DE GRACIANO SANCHEZ,89,352,12634,6746,2781,2704,49027,1710,4766,16226,4804,1304,1662,1567,649,559,55,17,8,244,63,17,33,11,32,3252,924,111795,140,4820,116755,228032,
24,SAN LUIS POTOSI,36,TAMASOPO,17,41,1541,1607,1390,2611,1800,157,288,2480,459,129,554,151,20,17,2,1,,21,19,15,8,1,3,308,,13582,2,1027,14611,21693,
24,SAN LUIS POTOSI,37,TAMAZUNCHALE,59,127,8005,3460,941,2948,7503,1173,1289,10824,2347,692,1355,,119,72,10,5,5,75,22,13,16,28,13,1005,,41920,55,2574,44549,70789,
24,SAN LUIS POTOSI,38,TAMPACAN,16,24,415,1124,509,184,1313,296,372,2068,298,156,477,,14,8,4,,1,11,1,,4,5,1,85,,7346,1,515,7862,12107,
24,SAN LUIS POTOSI,39,TAMPAMOLON CORONA,16,21,138,165,84,525,2131,58,26,864,2018,231,504,132,3,6,,,,6,,2,,2,10,148,,7053,,380,7433,10263,
24,SAN LUIS POTOSI,40,TAMUIN,35,56,1715,2147,379,645,1321,196,1320,1894,1684,215,3031,552,101,62,16,3,2,62,5,6,6,2,1,198,,15563,2,902,16467,26853,
24,SAN LUIS POTOSI,41,TANLAJAS,16,28,1237,1037,548,224,578,127,128,2540,1566,275,865,47,26,14,1,2,,20,19,2,7,2,2,16,,9283,2,641,9926,13561,
