ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAS,PES,RSP,FXM,PAN_PRI_PRD,CAND_COM_PAN_PRI_PRD,CAND_COM_MORENA_PT_PVEM_NAS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,SONORA,1,SAN LUIS RIO COLORADO,79,183,4981,5016,280,1238,897,3009,13883,,1390,217,1646,639,,,,,,,33196,51,852,34099,104087,
26,SONORA,2,PUERTO PEÑASCO,30,156,4885,3970,251,2054,983,1466,15690,,3651,,1050,477,,,,,,,34477,66,1031,35574,103839,
26,SONORA,3,CABORCA,67,168,3953,9699,581,1570,2673,1980,15204,2942,466,743,799,879,,,,,,,41489,23,1286,42798,94541,
26,SONORA,4,NOGALES,77,199,5543,8884,684,,,3834,,,1016,621,1095,636,,18494,,,,,40807,23,1704,42534,118896,
26,SONORA,5,NOGALES,71,185,4319,7353,353,3232,788,2424,12591,882,1565,417,814,587,,,,,,,35325,8,1109,36442,109766,
26,SONORA,6,HERMOSILLO,65,177,,,,,,4133,,,601,327,712,0,22621,21569,1145,,,,51108,52,1184,52344,106159,
26,SONORA,7,AGUA PRIETA,59,183,5589,4855,572,1550,4733,2400,14818,1203,9854,931,704,462,,,,,,,47671,16,1556,49243,110281,
26,SONORA,8,HERMOSILLO,75,180,2870,6584,277,835,1215,3746,18201,,558,507,686,314,,,,,,,35793,113,1158,37064,109207,
26,SONORA,9,HERMOSILLO,93,191,7434,15400,507,,,5567,,,490,358,826,775,,22001,,4833,,,58191,132,1314,59637,112213,
26,SONORA,10,HERMOSILLO,40,156,,,,,,4655,,,653,338,737,0,19901,18687,,,,,44971,48,1051,46070,103605,
26,SONORA,11,HERMOSILLO,76,188,,,,1166,1109,3377,17733,,540,330,692,0,13715,,,,,,38662,52,1284,39998,108283,
26,SONORA,12,HERMOSILLO,64,166,,,,,,3708,,,679,397,572,0,15663,20881,,,,,41900,101,1130,43131,98644,
26,SONORA,13,GUAYMAS,77,177,2957,4523,674,,,5378,,,2324,1311,1350,334,,21586,,,,,40437,89,983,41509,98698,
26,SONORA,14,EMPALME,65,156,1049,3863,1980,1733,3412,2241,15895,1451,261,1502,3171,0,,,,,,,36558,49,1191,37798,89779,
26,SONORA,15,CD. OBREGON,89,197,1672,5530,334,1307,1509,4945,22723,,1086,1108,930,410,,,,,,,41554,35,1266,42855,109958,
26,SONORA,16,CD. OBREGON,82,182,4335,10337,761,,,5327,,,970,298,814,454,,18207,,,2869,,44372,44,1034,45450,105094,
26,SONORA,17,CD. OBREGON,60,179,2232,7043,514,,,5641,,,1308,300,1160,226,,22127,,,,3423,43974,45,1162,45181,109762,
26,SONORA,18,SANTA ANA,140,232,7644,19315,1087,,,6134,,,1031,505,590,1312,,33564,,,,,71182,37,3066,74285,115037,
26,SONORA,19,NAVOJOA,55,159,2881,8440,481,800,2648,1839,19683,909,249,2840,999,670,,,,,,,42439,27,990,43456,96847,
26,SONORA,20,ETCHOJOA,73,159,,,,1519,5738,968,19617,2356,1339,915,505,0,9637,,,,,,42594,115,1764,44473,89964,
26,SONORA,21,HUATABAMPO,85,175,7134,9839,672,,,5860,,,1131,,662,1039,,24019,,,,,50356,27,1680,52063,92954,
