ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAS,PES,RSP,FXM,PAN_PRI_PRD,CAND_COM_PAN_PRI_PRD,CAND_COM_MORENA_PT_PVEM_NAS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,SONORA,1,ACONCHI,2,5,101,550,44,,,419,,,25,5,9,7,,588,,,,,1748,0,134,1882,2490,
26,SONORA,2,AGUA PRIETA,29,108,3112,1482,229,1142,574,1101,10561,612,7659,836,526,301,,,,,,,28135,8,780,28923,68286,
26,SONORA,3,ALTAR,7,14,273,1247,45,22,35,36,2016,76,8,25,8,76,,,,,,,3867,0,115,3982,6835,
26,SONORA,4,ARIVECHI,3,4,15,156,15,,,117,,,120,4,2,5,,358,,,,,792,0,52,844,1101,
26,SONORA,5,ARIZPE,5,7,130,792,13,,,30,,,21,24,5,42,,1078,,,,,2135,1,69,2205,2942,
26,SONORA,6,ATIL,1,2,20,188,2,2,1,11,44,27,0,5,1,13,,,,,,,314,0,12,326,776,
26,SONORA,7,BACADEHUACHI,1,2,42,288,6,,,85,,,9,5,3,7,,473,,,,,918,1,32,951,1148,
26,SONORA,8,BACANORA,3,4,347,60,4,,,12,,,2,4,2,3,,374,,,,,808,0,17,825,1106,
26,SONORA,9,BACERAC,1,2,17,390,6,,,16,,,1,2,3,14,,494,,,,,943,0,16,959,1159,
26,SONORA,10,BACOACHI,2,3,21,199,182,8,154,109,116,64,20,1,6,0,,,,,,,880,1,33,914,1462,
26,SONORA,11,BANAMICHI,2,3,87,296,16,,,241,,,26,109,6,26,,350,,,,,1157,1,71,1229,1591,
26,SONORA,12,BAVIACORA,6,9,584,458,69,,,49,,,143,18,6,73,,941,,,,,2341,1,96,2438,3446,
26,SONORA,13,BAVISPE,2,2,8,548,1,,,3,,,0,1,1,8,,410,,,,,980,0,17,997,1269,
26,SONORA,14,BENJAMIN HILL,4,8,384,345,33,,,227,,,19,9,46,25,,979,,,,,2067,0,91,2158,3711,
26,SONORA,15,CANANEA,19,50,1149,1744,121,307,3588,433,2454,379,1418,65,104,118,,,,,,,11880,5,544,12429,29426,
26,SONORA,16,CUCURPE,1,2,295,91,7,,,14,,,6,2,5,7,,130,,,,,557,15,88,660,1014,
26,SONORA,17,CUMPAS,8,12,231,1207,101,,,197,,,42,17,28,109,,1659,,,,,3591,1,244,3836,5366,
26,SONORA,18,DIVISADEROS,1,2,8,474,3,,,159,,,1,1,1,0,,264,,,,,911,0,20,931,1147,
26,SONORA,19,FRONTERAS,5,13,298,762,23,62,108,735,1177,52,502,19,64,42,,,,,,,3844,2,136,3982,6507,
26,SONORA,20,GRANADOS,1,2,45,277,2,,,330,,,5,2,6,11,,191,,,,,869,0,21,890,1133,
26,SONORA,21,HUACHINERA,2,2,35,420,4,,,2,,,5,0,0,10,,362,,,,,838,0,21,859,1037,
26,SONORA,22,HUASABAS,1,2,39,215,7,,,295,,,8,2,7,7,,289,,,,,869,0,52,921,1332,
26,SONORA,23,HUEPAC,2,3,105,318,22,,,29,,,30,18,8,14,,376,,,,,920,0,59,979,1378,
26,SONORA,24,IMURIS,8,17,539,1278,76,,,305,,,41,37,77,9,,2220,,,,,4582,2,226,4810,9878,
