ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CAND_IND1,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,TENOSIQUE,88,168,742,7935,1823,7968,643,578,30035,3191,766,1374,,537,55592,8,1398,56998,87650,http://iepct.mx/computos/2021/DIP/1/ACTA_COMPUTO_MR.pdf
27,TABASCO,2,HEROICA CARDENAS,50,127,380,719,6247,2895,746,854,20969,884,317,153,,19,34183,807,832,35822,76660,http://iepct.mx/computos/2021/DIP/2/ACTA_COMPUTO_MR.pdf
27,TABASCO,3,RANCHERIA MELCHOR OCAMPO,51,131,150,917,8252,890,400,254,21923,694,700,561,,16,34757,591,1104,36452,74147,http://iepct.mx/computos/2021/DIP/3/ACTA_COMPUTO_MR.pdf
27,TABASCO,4,RANCHERIA RIO SECO Y MONTAÑA 2DA. SECCION,51,140,139,604,11867,1455,756,225,22634,1868,713,727,,8,40996,81,1177,42254,78683,http://iepct.mx/computos/2021/DIP/4/ACTA_COMPUTO_MR.pdf
27,TABASCO,5,FRONTERA,64,140,620,3682,1665,3242,738,6577,16025,3933,1427,4673,1481,,44063,7,1655,45725,76635,http://iepct.mx/computos/2021/DIP/5/ACTA_COMPUTO_MR.pdf
27,TABASCO,6,VILLAHERMOSA,58,141,1381,7091,2075,1214,677,911,23711,429,422,376,,,38287,34,1171,39492,81591,http://iepct.mx/computos/2021/DIP/6/ACTA_COMPUTO_MR.pdf
27,TABASCO,7,VILLAHERMOSA,30,123,644,3583,1417,630,734,1019,23491,801,734,465,,131,33649,12,1258,34919,78502,http://iepct.mx/computos/2021/DIP/7/ACTA_COMPUTO_MR.pdf
27,TABASCO,8,VILLAHERMOSA,51,136,1538,5615,2475,889,506,646,22689,662,479,405,,,35904,31,1190,37125,81901,http://iepct.mx/computos/2021/DIP/8/ACTA_COMPUTO_MR.pdf
27,TABASCO,9,VILLAHERMOSA,43,130,1090,6180,1341,1154,363,816,22047,812,445,617,,,34865,33,1151,36049,78906,http://iepct.mx/computos/2021/DIP/9/ACTA_COMPUTO_MR.pdf
27,TABASCO,10,MACULTEPEC VILLA,40,136,472,5327,1092,721,924,737,26276,496,419,358,,,36822,19,1004,37845,85849,http://iepct.mx/computos/2021/DIP/10/ACTA_COMPUTO_MR.pdf
27,TABASCO,11,TACOTALPA,64,145,227,2362,2669,6558,462,10971,19855,983,589,511,,32,45219,5,1661,46885,76586,http://iepct.mx/computos/2021/DIP/11/ACTA_COMPUTO_MR.pdf
27,TABASCO,12,VILLAHERMOSA,53,140,781,6418,1307,948,474,746,22647,607,1218,419,,,35565,36,1281,36882,83798,http://iepct.mx/computos/2021/DIP/12/ACTA_COMPUTO_MR.pdf
27,TABASCO,13,COMALCALCO,64,168,243,3093,20559,953,402,579,30763,686,753,411,,296,58738,15,1056,59809,99137,http://iepct.mx/computos/2021/DIP/13/ACTA_COMPUTO_MR.pdf
27,TABASCO,14,CUNDUACAN,48,128,781,1481,4520,731,1128,3772,20287,2850,745,955,,16,37266,34,1758,39058,76757,http://iepct.mx/computos/2021/DIP/14/ACTA_COMPUTO_MR.pdf
27,TABASCO,15,EMILIANO ZAPATA,68,148,435,1039,6053,9309,375,479,28806,1337,1481,227,,42,49583,11,1287,50881,78281,http://iepct.mx/computos/2021/DIP/15/ACTA_COMPUTO_MR.pdf
27,TABASCO,16,HUIMANGUILLO,67,155,226,1348,17778,2466,1548,620,21659,684,1726,382,,19,48456,31,1561,50048,82220,http://iepct.mx/computos/2021/DIP/16/ACTA_COMPUTO_MR.pdf
27,TABASCO,17,JALPA DE MENDEZ,54,161,409,3963,10542,2633,7668,1390,26538,830,666,504,,,55143,24,1966,57133,96573,http://iepct.mx/computos/2021/DIP/17/ACTA_COMPUTO_MR.pdf
27,TABASCO,18,MACUSPANA,47,127,526,1102,4253,4634,640,1415,16142,1659,915,456,,70,31812,93,1046,32951,76614,http://iepct.mx/computos/2021/DIP/18/ACTA_COMPUTO_MR.pdf
27,TABASCO,19,NACAJUCA,48,158,635,1511,741,12345,1688,1159,23209,996,10230,782,,36,53332,30,2030,55392,99246,http://iepct.mx/computos/2021/DIP/19/ACTA_COMPUTO_MR.pdf
27,TABASCO,20,PARAISO,63,166,359,3410,17789,1370,501,832,25822,638,610,7500,,59,58890,7,1342,60239,97736,http://iepct.mx/computos/2021/DIP/20/ACTA_COMPUTO_MR.pdf
27,TABASCO,21,VILLA PLAYAS DEL ROSARIO (SUBTENIENTE GARCIA),41,139,303,6873,2287,897,756,684,21332,599,696,2306,,,36733,22,1238,37993,85272,http://iepct.mx/computos/2021/DIP/21/ACTA_COMPUTO_MR.pdf
