ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CAND_IND1,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,BALANCAN,44,81,453,1270,1575,7127,417,173,12445,2811,433,221,,31,26956,4,645,27605,42305,
27,TABASCO,2,CARDENAS,122,307,581,1860,17127,4039,1353,1195,51243,1843,1289,927,,37,81494,1472,2287,85253,177718,
27,TABASCO,3,CENTLA,64,140,620,3682,1665,3242,738,6577,16025,3933,1427,4673,1481,,44063,7,1655,45725,76635,
27,TABASCO,4,CENTRO,279,841,6013,36761,9282,5629,3382,4699,145087,3629,3692,2538,,125,220837,170,6980,227987,514816,
27,TABASCO,5,COMALCALCO,99,263,401,5174,32427,1232,705,808,48653,1057,1107,771,,307,92642,29,1730,94401,155994,
27,TABASCO,6,CUNDUACAN,59,161,888,1886,5296,965,1590,4298,26593,3347,943,1180,,22,47008,39,2378,49425,96250,
27,TABASCO,7,EMILIANO ZAPATA,16,42,250,233,71,6212,109,84,9291,141,330,38,,17,16776,4,323,17103,23795,
27,TABASCO,8,HUIMANGUILLO,97,246,314,1728,27017,3667,2097,758,35942,2287,2167,896,,25,76898,38,2387,79323,133992,
27,TABASCO,9,JALAPA,28,55,84,404,597,4098,166,3553,9362,257,207,183,,5,18916,1,507,19424,28491,
27,TABASCO,10,JALPA DE MENDEZ,37,110,310,2918,4556,2515,7495,1276,16643,636,485,276,,,37110,11,1600,38721,66126,
27,TABASCO,11,JONUTA,26,49,89,231,5319,1418,92,167,11376,217,722,49,,4,19684,0,504,20188,24165,
27,TABASCO,12,MACUSPANA,82,208,671,1865,5422,6873,927,2249,26825,2945,1501,634,,92,50004,104,1729,51837,120156,
27,TABASCO,13,NACAJUCA,48,158,635,1511,741,12345,1688,1159,23209,996,10230,782,,36,53332,30,2030,55392,99246,
27,TABASCO,14,PARAISO,45,122,300,2374,11907,1209,371,717,17827,461,437,7368,,48,43019,6,1034,44059,71326,
27,TABASCO,15,TACOTALPA,27,66,94,1770,1566,1900,183,6812,7949,419,225,290,,26,21234,0,931,22165,34874,
27,TABASCO,16,TEAPA,26,71,89,3921,1936,590,590,334,10800,280,523,2183,,,21246,12,693,21951,41510,
27,TABASCO,17,TENOSIQUE,44,87,289,6665,248,841,226,405,17590,380,333,1153,,506,28636,4,753,29393,45345,
