ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
28,TAMAULIPAS,1,NUEVO LAREDO,81,206,16934,4223,374,1694,1034,1978,24948,793,596,1054,185,,,,53813,28,1342,55183,126360,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE01_Nuevo Laredo.pdf
28,TAMAULIPAS,2,NUEVO LAREDO,115,233,28282,6370,358,1449,729,1048,22458,545,461,729,202,,,,62631,33,1137,63801,129538,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE02_Nuevo Laredo.pdf
28,TAMAULIPAS,3,NUEVO LAREDO,70,206,23154,8129,517,2903,1912,753,18243,2686,186,1644,364,,,,60491,23,1473,61987,122816,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE03_Nuevo Laredo.pdf
28,TAMAULIPAS,4,REYNOSA,86,208,19151,3604,456,1367,1225,2160,21427,2235,257,738,275,,,,52895,23,1290,54208,124531,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE04_Reynosa.pdf
28,TAMAULIPAS,5,REYNOSA,110,226,18433,2605,445,1696,1203,2258,24609,2601,883,704,306,,,,55743,32,1291,57066,128647,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE05_Reynosa.pdf
28,TAMAULIPAS,6,REYNOSA,100,226,18758,3616,1035,1827,1363,2586,22257,2038,626,269,364,,,,54739,22,1540,56301,128274,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE06_Reynosa.pdf
28,TAMAULIPAS,7,REYNOSA,87,220,16946,1827,610,1231,1367,1667,24962,2074,627,642,274,,,,52227,18,1263,53508,128809,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE07_Reynosa.pdf
28,TAMAULIPAS,8,RIO BRAVO,98,235,18487,5830,761,1739,3467,2184,23415,2044,866,733,237,,,,59763,20,1536,61319,136521,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE08_Rio Bravo.pdf
28,TAMAULIPAS,9,VALLE HERMOSO,81,192,16555,8368,502,1213,1172,894,21632,834,271,630,187,,,,52258,19,1320,53597,109186,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE09_Valle Hermoso.pdf
28,TAMAULIPAS,10,H. MATAMOROS,56,191,13055,5295,509,817,1110,1132,31226,744,384,507,232,,,,55011,42,998,56051,121160,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE10_Matamoros.pdf
28,TAMAULIPAS,11,H. MATAMOROS,35,172,12013,3341,383,1083,971,1100,27509,832,369,499,192,703,,,48995,99,1172,50266,112892,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE11_Matamoros.pdf
28,TAMAULIPAS,12,H. MATAMOROS,107,219,16018,6323,324,1075,832,1233,28649,691,385,611,208,,,,56349,31,1051,57431,122245,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE12_Matamoros.pdf
28,TAMAULIPAS,13,SAN FERNANDO,159,258,38900,16185,528,1505,3898,2783,15310,658,484,222,224,,,,80697,28,1851,82576,118287,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE13_San Fernando.pdf
28,TAMAULIPAS,14,CIUDAD VICTORIA,82,211,25297,12922,912,2905,1505,3798,25954,1154,875,238,280,974,,,76814,57,1505,78376,125635,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE14_Victoria.pdf
28,TAMAULIPAS,15,CIUDAD VICTORIA,67,211,22016,7751,918,1761,1462,7042,25373,1449,733,791,320,881,,,70497,44,1544,72085,128366,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE15_Victoria.pdf
28,TAMAULIPAS,16,XICOTENCATL,150,283,43689,12536,714,3550,8705,1934,15112,1345,1481,824,,,,,89890,84,4694,94668,130764,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE16_Xicotencatl.pdf
28,TAMAULIPAS,17,CIUDAD MANTE,123,227,23290,11675,613,4335,1367,1797,24722,1559,364,419,135,,,,70276,34,1740,72050,118900,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE17_El Mante.pdf
28,TAMAULIPAS,18,ALTAMIRA,76,218,25856,3937,1433,1662,1459,5806,29521,2134,655,545,354,,,,73362,5,1833,75200,128765,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE18_Altamira.pdf
28,TAMAULIPAS,19,MIRAMAR,42,174,20079,1987,2623,683,976,1507,27087,1675,804,547,299,,,,58267,46,1255,59568,115024,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE19_Miramar.pdf
28,TAMAULIPAS,20,CIUDAD MADERO,94,220,28841,2615,849,1547,1067,2011,32566,2099,772,832,436,,,,73635,88,1214,74937,127616,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE20_Ciudad Madero.pdf
28,TAMAULIPAS,21,TAMPICO,69,198,30788,1874,398,692,989,1747,28120,1228,937,457,433,,,,67663,43,1161,68867,121419,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE21_Tampico.pdf
28,TAMAULIPAS,22,TAMPICO,123,242,38668,1927,517,772,1132,2143,28027,818,973,453,380,,,,75810,32,1143,76985,130185,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActComMR_CDE22_Tampico.pdf
