ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
28,TAMAULIPAS,1,ABASOLO,11,17,2245,2612,32,17,123,33,1159,33,10,16,5,,,,6285,1,143,6429,8442,
28,TAMAULIPAS,2,ALDAMA,21,46,7054,379,219,796,154,3540,4338,86,78,63,18,,,,16725,1,464,17190,23665,
28,TAMAULIPAS,3,ALTAMIRA,84,277,30256,4780,3518,1162,1903,3091,40273,2847,1033,771,509,,,,90143,21,2113,92277,175540,
28,TAMAULIPAS,4,ANTIGUO MORELOS,7,14,3372,457,42,286,217,46,466,115,16,85,,,,,5102,1,224,5327,7450,
28,TAMAULIPAS,5,BURGOS,8,12,1992,52,15,32,1666,4,289,5,2,0,32,,,,4089,0,59,4148,4848,
28,TAMAULIPAS,6,BUSTAMANTE,9,15,2579,694,7,57,82,20,1016,34,39,9,,,,,4537,0,79,4616,5884,
28,TAMAULIPAS,7,CAMARGO,15,24,2316,1468,55,127,668,21,1487,127,14,96,138,,,,6517,0,204,6721,12776,
28,TAMAULIPAS,8,CASAS,8,13,1659,927,10,264,162,22,313,14,8,5,,,,,3384,0,98,3482,4480,
28,TAMAULIPAS,9,CIUDAD MADERO,107,289,37121,3340,1137,1929,1430,2670,44117,2954,1106,1080,556,,,,97440,117,1666,99223,172200,
28,TAMAULIPAS,10,CRUILLAS,5,7,1073,220,2,10,23,10,558,7,11,1,0,,,,1915,0,40,1955,2349,
28,TAMAULIPAS,11,GOMEZ FARIAS,7,17,2471,259,31,1135,219,93,754,41,31,14,,,,,5048,7,184,5239,7248,
28,TAMAULIPAS,12,GONZALEZ,37,66,6255,3193,194,224,350,1077,5889,428,151,137,41,,,,17939,18,648,18605,32131,
28,TAMAULIPAS,13,GÜEMEZ,15,28,2851,3418,19,142,55,2007,1265,174,26,21,7,,,,9985,1,150,10136,13137,
28,TAMAULIPAS,14,GUERRERO,3,6,512,498,4,440,50,4,225,4,3,2,3,,,,1745,0,58,1803,2524,
28,TAMAULIPAS,15,GUSTAVO DIAZ ORDAZ,14,27,1766,301,18,185,534,29,1392,1904,18,1011,79,,,,7237,2,207,7446,13517,
28,TAMAULIPAS,16,HIDALGO,21,31,6648,436,75,140,244,123,1027,42,16,15,18,,,,8784,0,246,9030,14329,
28,TAMAULIPAS,17,JAUMAVE,12,28,3491,943,131,277,321,366,2073,313,201,316,,,,,8432,7,684,9123,12332,
28,TAMAULIPAS,18,JIMENEZ,8,13,1871,1588,17,22,27,33,961,19,9,8,4,,,,4559,0,84,4643,6075,
28,TAMAULIPAS,19,LLERA,18,30,4280,682,102,348,712,415,2103,84,143,62,,,,,8931,4,799,9734,12938,
28,TAMAULIPAS,20,MAINERO,4,6,1153,58,40,7,69,7,35,0,1,0,0,,,,1370,3,34,1407,2015,
28,TAMAULIPAS,21,EL MANTE,86,161,16804,8385,408,4076,997,682,18619,1123,209,276,91,,,,51670,16,1070,52756,86769,
28,TAMAULIPAS,22,MATAMOROS,234,688,48862,17509,1542,3378,3330,3960,100358,2871,1308,1850,690,703,,,186361,186,3989,190536,418044,
28,TAMAULIPAS,23,MENDEZ,6,10,1488,1064,11,26,74,9,296,6,5,34,1,,,,3014,0,65,3079,3958,
28,TAMAULIPAS,24,MIER,6,9,1019,553,23,97,131,25,483,42,11,24,54,,,,2462,1,97,2560,4164,
28,TAMAULIPAS,25,MIGUEL ALEMAN,22,40,4716,3405,248,1435,112,44,1332,66,4,43,19,,,,11424,3,234,11661,21071,
28,TAMAULIPAS,26,MIQUIHUANA,4,7,1457,638,13,92,124,15,156,5,5,3,,,,,2508,0,78,2586,3092,
28,TAMAULIPAS,27,NUEVO LAREDO,206,539,57732,12394,890,3726,2160,3616,60045,1863,1185,2231,454,,,,146296,77,3097,149470,324662,
28,TAMAULIPAS,28,NUEVO MORELOS,3,6,1334,962,6,15,172,10,103,7,4,3,,,,,2616,0,130,2746,3345,
28,TAMAULIPAS,29,OCAMPO,14,22,3608,1596,64,368,277,122,1192,285,132,29,,,,,7673,1,459,8133,11094,
28,TAMAULIPAS,30,PADILLA,9,22,4418,380,35,284,604,90,2002,50,113,14,60,,,,8050,0,181,8231,11674,
28,TAMAULIPAS,31,PALMILLAS,4,5,916,71,4,15,17,19,276,13,8,2,,,,,1341,0,28,1369,1818,
28,TAMAULIPAS,32,REYNOSA,409,936,75846,11976,2645,6320,5347,8900,97628,9437,2532,2476,1257,,,,224364,99,5588,230051,540839,
28,TAMAULIPAS,33,RIO BRAVO,72,179,15050,5309,639,1474,3200,1864,17786,1456,689,589,182,,,,48238,15,1242,49495,105943,
28,TAMAULIPAS,34,SAN CARLOS,12,18,3035,298,29,37,84,33,629,30,26,15,5,,,,4221,0,195,4416,7039,
28,TAMAULIPAS,35,SAN FERNANDO,51,78,8428,5843,217,749,863,429,6859,272,257,92,90,,,,24099,20,591,24710,38855,
28,TAMAULIPAS,36,SAN NICOLAS,2,3,704,21,1,1,9,0,26,3,3,2,2,,,,772,0,6,778,986,
28,TAMAULIPAS,37,SOTO LA MARINA,24,45,4707,410,76,247,5380,69,1244,110,672,57,,,,,12972,2,881,13855,19630,
28,TAMAULIPAS,38,TAMPICO,192,440,69456,3801,915,1464,2121,3890,56147,2046,1910,910,813,,,,143473,75,2304,145852,251604,
28,TAMAULIPAS,39,TULA,19,43,6534,4385,97,127,232,158,1933,188,105,189,,,,,13948,59,439,14446,22677,
28,TAMAULIPAS,40,VALLE HERMOSO,45,86,8488,5696,171,797,729,379,7985,200,93,386,126,,,,25050,4,535,25589,47439,
28,TAMAULIPAS,41,VICTORIA,149,422,47313,20673,1830,4666,2967,10840,51327,2603,1608,1029,600,,974,881,147311,97,2965,150373,254001,
28,TAMAULIPAS,42,VILLAGRAN,7,13,2994,195,35,38,57,5,204,17,5,4,0,,,,3554,3,57,3614,4580,
28,TAMAULIPAS,43,XICOTENCATL,21,38,7281,512,131,319,790,579,3483,136,117,50,,,,,13398,3,611,14012,18776,
