ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PAC,PS,MORENA,PANALT,PEST,PISSI,PES,RSP,FXM,PAN_PRI_PRD_PAC_PS,PAN_PRI_PRD_PAC,PAN_PRI_PRD_PS,PAN_PRI_PAC_PS,PAN_PRD_PAC_PS,PRI_PRD_PAC_PS,PAN_PRI_PRD,PAN_PRI_PAC,PAN_PRI_PS,PAN_PRD_PAC,PAN_PAC_PS,PAN_PRD_PS,PRI_PRD_PAC,PRI_PRD_PS,PRI_PAC_PS,PRD_PAC_PS,PAN_PRI,PAN_PRD,PAN_PAC,PAN_PS,PRI_PRD,PRI_PAC,PRI_PS,PRD_PAC,PRD_PS,PAC_PS,PT_PVEM_MORENA_PANALT_PEST,PT_PVEM_MORENA_PANALT,PT_PVEM_MORENA_PEST,PT_PVEM_PANALT_PEST,PT_MORENA_PANALT_PEST,PVEM_MORENA_PANALT_PEST,PT_PVEM_MORENA,PT_PVEM_PANALT,PT_PVEM_PEST,PT_MORENA_PANALT,PT_PANALT_PEST,PT_MORENA_PEST,PVEM_MORENA_PANALT,PVEM_MORENA_PEST,PVEM_PANALT_PEST,MORENA_PANALT_PEST,PT_PVEM,PT_MORENA,PT_PANALT,PT_PEST,PVEM_MORENA,PVEM_PANALT,PVEM_PEST,MORENA_PANALT,MORENA_PEST,PANALT_PEST,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,38,101,1046,6775,8737,998,409,1583,1306,1446,6563,182,146,170,326,887,4805,,,,,,,,,,,,,,,,,,,,,,,,,,,46,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,3,0,0,,35437,1,1007,36445,61086,
29,TLAXCALA,2,TLAXCO DE MORELOS,60,113,5265,4648,3517,3027,332,265,991,1743,8026,866,519,183,280,1697,654,231,27,17,7,2,1,24,1,2,3,1,0,2,2,0,0,33,23,4,7,10,2,5,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5880,38307,26,1659,39992,61327,
29,TLAXCALA,3,XALOZTOC,44,100,3692,7460,3679,1687,1604,1419,6716,2682,8892,520,293,464,574,1427,833,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,2,0,1,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,3,3,0,,41962,36,1778,43906,59783,
29,TLAXCALA,4,APIZACO,37,105,8931,4888,1494,1316,540,909,1453,451,11054,343,801,214,1356,2673,1046,,,,,,,,,,,,,,,,,,,,,,,,,,,51,0,0,0,0,1,7,0,0,2,0,0,0,1,1,5,2,14,1,0,9,0,1,1,8,0,,37573,28,1543,39144,66038,
29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,52,108,8953,5115,714,1629,1105,770,1625,528,12404,428,785,218,791,2720,477,,,,,,,,,,,,,,,,,,,,,,,,,,,103,15,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,1,0,0,0,3,0,,38392,0,1549,39953,60427,
29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,54,120,1456,6597,614,1300,1135,993,4605,1829,14070,2191,817,2518,791,1529,2830,,,,,,,,,,,,,,,,,,,,,,,,,,,102,3,2,0,3,1,2,2,0,1,0,2,1,0,0,2,2,8,2,0,5,1,1,13,9,0,,43437,14,2128,45579,67958,
29,TLAXCALA,7,TLAXCALA DE XICOHTENCATL,36,120,4946,7906,677,1532,837,1266,2343,534,19156,710,363,487,2852,1123,2163,350,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,196,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,47482,34,1629,49145,76269,
29,TLAXCALA,8,SAN BERNARDINO CONTLA,35,102,7940,5955,963,1317,754,1503,1445,1671,14105,1482,1107,788,749,1203,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41720,8,1547,43275,63577,
29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,36,112,2962,3999,1262,1775,2800,1330,703,645,13448,738,415,374,784,1053,8577,62,2,1,3,0,0,15,0,1,0,0,0,0,1,0,0,13,5,24,1,2,1,0,0,0,0,75,0,0,1,6,0,5,1,0,2,0,0,1,0,2,2,1,14,0,0,4,1,2,0,0,0,,41113,22,1583,42724,68644,
29,TLAXCALA,10,HUAMANTLA,41,101,4645,4597,1166,1116,2578,2164,848,1185,8186,558,703,485,481,2056,1959,396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,33399,16,1853,35268,59002,
