ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PAC,PS,MORENA,PANALT,PEST,PISSI,PES,RSP,FXM,PAN_PRI_PRD_PAC_PS,PAN_PRI_PRD_PAC,PAN_PRI_PRD_PS,PAN_PRI_PAC_PS,PAN_PRD_PAC_PS,PRI_PRD_PAC_PS,PAN_PRI_PRD,PAN_PRI_PAC,PAN_PRI_PS,PAN_PRD_PAC,PAN_PAC_PS,PAN_PRD_PS,PRI_PRD_PAC,PRI_PRD_PS,PRI_PAC_PS,PRD_PAC_PS,PAN_PRI,PAN_PRD,PAN_PAC,PAN_PS,PRI_PRD,PRI_PAC,PRI_PS,PRD_PAC,PRD_PS,PAC_PS,PT_PVEM_MORENA_PANALT_PEST,PT_PVEM_MORENA_PANALT,PT_PVEM_MORENA_PEST,PT_PVEM_PANALT_PEST,PT_MORENA_PANALT_PEST,PVEM_MORENA_PANALT_PEST,PT_PVEM_MORENA,PT_PVEM_PANALT,PT_PVEM_PEST,PT_MORENA_PANALT,PT_PANALT_PEST,PT_MORENA_PEST,PVEM_MORENA_PANALT,PVEM_MORENA_PEST,PVEM_PANALT_PEST,MORENA_PANALT_PEST,PT_PVEM,PT_MORENA,PT_PANALT,PT_PEST,PVEM_MORENA,PVEM_PANALT,PVEM_PEST,MORENA_PANALT,MORENA_PEST,PANALT_PEST,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
29,TLAXCALA,1,AMAXAC DE GUERRERO,4,13,340,1137,121,295,48,129,171,171,1794,107,145,68,298,149,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5164,0,198,5362,8444,
29,TLAXCALA,2,APETATITLAN DE ANTONIO CARVAJAL,7,20,1284,1090,133,245,73,490,212,649,2860,433,65,159,139,273,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8318,1,254,8573,12204,
29,TLAXCALA,3,APIZACO,37,106,9143,4948,1663,1324,538,923,1444,449,11080,348,798,219,1363,2714,1069,,,,,,,,,,,,,,,,,,,,,,,,,,,51,0,0,0,0,1,7,0,0,2,0,0,0,1,1,5,2,14,1,0,9,0,1,1,8,0,,38127,28,1564,39719,66421,
29,TLAXCALA,4,ATLANGATEPEC,9,11,346,661,67,103,64,12,73,79,669,176,60,27,16,76,84,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1190,3712,0,171,3883,5104,
29,TLAXCALA,5,ATLTZAYANCA,19,28,933,2803,683,1234,987,106,224,121,1835,70,20,231,45,320,94,,,,,,,,,,,,,,,,,,,,,,,,,,,47,11,5,1,1,0,2,0,0,0,1,0,0,2,1,0,5,2,1,0,8,3,0,2,2,0,,9800,3,428,10231,12894,
29,TLAXCALA,6,CALPULALPAN,21,59,769,3266,3912,258,245,583,873,736,3638,100,59,145,235,591,3944,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,,19391,1,581,19973,35982,
29,TLAXCALA,7,EL CARMEN TEQUEXQUITLA,7,20,596,998,537,213,67,57,1439,42,1667,39,21,30,45,1902,46,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,,7716,1,393,8110,12223,
29,TLAXCALA,8,CUAPIAXTLA,10,21,691,2301,267,961,72,102,424,41,1797,235,17,28,74,523,345,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,7,0,0,1,0,0,0,0,0,,7899,1,334,8234,11021,
29,TLAXCALA,9,CUAXOMULCO,5,8,426,656,167,109,84,64,469,43,786,28,31,68,95,164,169,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3370,1,175,3546,4599,
29,TLAXCALA,10,CHIAUTEMPAN,31,91,2101,3168,1086,1115,1824,1188,605,237,11139,383,341,284,550,846,6343,58,2,1,3,0,1,15,0,1,0,0,0,0,0,0,0,11,5,14,1,2,1,0,0,0,1,51,1,0,1,6,0,5,1,0,2,0,0,1,0,2,1,1,13,1,0,4,1,2,1,0,0,,31420,19,1256,32695,54977,
29,TLAXCALA,11,MUÑOZ DE DOMINGO ARENAS,4,7,592,233,15,103,47,15,23,44,964,45,258,71,102,50,12,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,,2590,0,104,2694,3737,
