ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,TXVER,PODEMOS,PC,UC,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,1,PANUCO,246,401,24834,9465,7405,11636,2601,3290,55684,881,637,0,2664,6380,2346,3039,573,274,104,48,495,130,320,166,132972,29,3144,136145,199885,
30,VERACRUZ,2,TANTOYUCA,198,376,36525,7840,11430,14048,2838,6698,43147,1272,2396,401,5143,1727,1362,2281,291,189,101,37,282,56,159,77,138300,64,3803,142167,199150,
30,VERACRUZ,3,TUXPAN,160,393,12378,4976,19455,15277,1834,8178,44165,700,3054,230,462,1367,2438,4244,579,91,102,69,,,,,119599,178,3346,123123,218463,
30,VERACRUZ,4,ALAMO TEMAPACHE,210,405,28537,16396,7707,14423,11758,4707,36544,2049,2182,298,0,2723,1649,7385,309,94,122,62,286,142,118,164,137655,133,4271,142059,214315,
30,VERACRUZ,5,POZA RICA,139,322,7228,6738,6435,2158,2111,5853,45527,801,2600,1162,2447,4045,2022,5310,712,78,57,46,494,74,142,262,96302,77,2212,98591,187520,
30,VERACRUZ,6,PAPANTLA,151,371,13741,7411,18791,6763,6248,17170,44929,1334,648,278,850,3756,1796,2189,851,70,119,79,241,80,78,189,127611,17,2948,130576,209138,
30,VERACRUZ,7,MARTINEZ DE LA TORRE,175,356,14324,5306,9060,3324,1398,6706,38846,1979,1585,1317,941,4960,4037,2518,278,61,49,16,201,38,123,77,97144,57,2804,100005,186002,
30,VERACRUZ,8,MISANTLA,215,393,12391,6531,9146,19727,27032,13284,25186,2787,3480,2153,1782,1717,2772,4728,575,117,114,47,,,,,133569,7,5399,138975,196309,
30,VERACRUZ,9,PEROTE,132,354,7076,25425,2260,8163,3535,10670,29462,3275,2896,2805,5257,3156,5483,3137,494,227,33,42,200,61,77,104,113838,48,4143,118029,188643,
30,VERACRUZ,10,XALAPA,137,309,12457,13321,1427,3170,1673,5118,42283,1275,826,667,1566,2124,1596,1779,970,235,34,33,394,61,194,186,91389,113,3228,94730,183208,
30,VERACRUZ,11,XALAPA,117,336,18751,17323,1544,3246,1758,7717,40369,952,911,833,1731,2030,1515,2664,1397,290,32,37,351,90,191,198,103930,115,3360,107405,200141,
30,VERACRUZ,12,COATEPEC,122,336,16765,20883,4188,3906,4542,9928,41073,1787,2700,325,4111,1580,3545,2323,701,241,70,51,213,50,123,135,119240,72,4230,123542,193320,
30,VERACRUZ,13,EMILIANO ZAPATA,170,364,11932,13643,3383,3066,5100,15194,38760,4862,5724,2769,2316,1756,6608,4617,474,111,27,15,344,72,78,234,121085,39,3131,124255,196299,
30,VERACRUZ,14,VERACRUZ,173,403,37866,5554,1096,2943,1309,4269,48544,868,287,225,708,1012,1313,1013,654,281,65,14,545,48,211,239,109064,54,2393,111511,233713,
30,VERACRUZ,15,VERACRUZ,190,405,48470,4941,1109,3283,1169,3554,43909,758,277,287,424,845,941,2612,671,222,76,10,447,53,245,215,114518,76,2231,116825,238795,
30,VERACRUZ,16,BOCA DEL RIO,186,383,46355,9058,2168,4508,2219,7567,33145,5409,1878,519,636,1945,2979,2535,467,161,85,14,276,63,143,122,122252,47,3129,125428,213743,TEV-RIN-32/2021
30,VERACRUZ,17,MEDELLIN DE BRAVO,149,367,27270,10848,2527,8465,1437,18605,41079,1274,3361,606,1915,1705,2611,2242,513,213,63,22,468,92,355,84,125755,194,3661,129610,201071,
30,VERACRUZ,18,HUATUSCO,119,328,20510,20380,8285,12135,5076,10825,30950,2048,2118,1580,2574,1777,1664,3753,607,180,95,85,499,124,330,131,125726,38,4497,130261,189426,
30,VERACRUZ,19,CORDOBA,154,361,15791,13545,2192,2092,1494,7658,53353,2313,2218,2125,738,1475,2215,5646,777,237,33,37,325,37,158,160,114619,125,3466,118210,206248,
30,VERACRUZ,20,ORIZABA,168,378,19467,21541,3833,5639,1714,5671,55685,1391,1210,1424,1289,3312,2689,2266,1396,322,72,37,433,42,225,197,129855,89,3394,133338,214271,
30,VERACRUZ,21,CAMERINO Z. MENDOZA,118,308,13386,8051,11918,4387,2544,5837,40469,1301,3024,2478,1329,3958,5540,2938,577,90,116,72,314,37,117,123,108606,97,3884,112587,181400,
30,VERACRUZ,22,ZONGOLICA,133,322,14038,17616,11106,14596,6282,7100,28330,2471,5783,1141,1391,4171,2732,4723,454,131,140,76,429,237,229,83,123259,29,5051,128339,181700,
30,VERACRUZ,23,COSAMALOAPAN,192,382,19973,7536,1044,7796,4326,9427,50993,1927,4142,167,1775,2029,1869,1846,337,117,48,10,188,32,99,173,115854,40,3530,119424,197948,
30,VERACRUZ,24,SANTIAGO TUXTLA,181,358,8829,8643,9043,7498,5906,16454,44419,5131,1285,928,1915,3562,4822,2061,506,89,81,88,385,136,189,151,122121,32,4647,126800,198566,
30,VERACRUZ,25,SAN ANDRES TUXTLA,134,334,3723,5350,5203,4256,3358,16021,41026,1490,4498,301,2760,1934,2569,3008,510,105,84,83,615,137,243,158,97432,17,3110,100559,189328,
30,VERACRUZ,26,COSOLEACAQUE,160,383,7249,26706,5976,1367,1417,6215,52691,1443,1881,1046,1240,4459,5553,10472,939,207,54,124,173,34,41,114,129401,19,4061,133481,214639,
30,VERACRUZ,27,ACAYUCAN,151,345,9635,7001,18330,10726,2908,5523,44132,4146,1728,274,432,1143,1379,6898,670,174,120,86,593,174,334,121,116527,14,3603,120144,188119,
30,VERACRUZ,28,MINATITLAN,156,339,9123,5806,3061,3162,3820,5019,49155,3016,1057,219,0,3147,3215,5443,426,97,53,20,381,71,96,191,96578,80,2629,99287,175936,
30,VERACRUZ,29,COATZACOALCOS,172,355,5677,14846,1651,2722,1805,7611,55105,1003,936,607,968,1865,697,2136,585,129,18,49,289,35,139,277,99150,117,2050,101317,197411,
30,VERACRUZ,30,COATZACOALCOS,156,358,5061,13701,4971,1597,2771,3183,56754,3787,957,186,1257,2279,775,4422,931,173,77,65,374,64,117,347,103849,49,3055,106953,184899,
