ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,TXVER,PODEMOS,PC,UC,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,1,ACAJETE,4,12,387,1006,191,607,88,847,1059,53,8,10,256,40,533,36,8,9,3,1,14,8,8,4,5176,1,207,5384,6945,
30,VERACRUZ,2,ACATLAN,2,4,259,43,33,302,830,293,440,2,2,3,2,11,8,2,9,2,1,0,0,0,0,0,2242,0,35,2277,2542,
30,VERACRUZ,3,ACAYUCAN,40,107,1163,1269,10750,1704,457,440,11709,797,114,95,157,583,433,5749,349,5,66,56,160,14,83,39,36192,10,1251,37453,64203,
30,VERACRUZ,4,ACTOPAN,38,65,1689,1425,663,1225,970,2073,6768,1879,1119,385,181,266,1051,1568,21,6,1,0,5,3,6,13,21317,10,507,21834,32487,
30,VERACRUZ,5,ACULA,7,9,115,41,12,1073,69,34,1480,11,292,5,20,52,19,8,3,0,0,0,25,9,13,2,3283,0,67,3350,4184,
30,VERACRUZ,6,ACULTZINGO,14,28,206,300,865,114,131,101,3952,75,57,102,217,351,2013,1360,7,6,7,1,18,0,4,6,9893,0,434,10327,14956,
30,VERACRUZ,206,AGUA DULCE,29,64,406,1784,1259,134,472,409,9495,1982,190,29,756,968,142,352,28,2,6,7,50,4,10,53,18538,3,528,19069,33230,
30,VERACRUZ,8,ALAMO TEMAPACHE,69,146,13244,1485,1293,3596,1354,810,13632,1018,671,31,0,1241,480,5254,40,23,25,9,110,52,62,40,44470,16,1161,45647,80760,
30,VERACRUZ,9,ALPATLAHUAC,5,12,1463,119,1735,78,43,44,1013,20,14,15,8,33,289,8,14,9,8,17,1,0,0,1,4932,1,168,5101,6733,
30,VERACRUZ,10,ALTO LUCERO DE GUTIERREZ BARRIOS,33,48,340,1221,1008,1805,2299,2502,2949,104,247,30,798,130,61,1487,10,6,5,3,0,0,0,0,15005,1,717,15723,22295,
30,VERACRUZ,11,ALTOTONGA,29,82,2876,4705,1187,2075,784,858,6190,1310,977,1771,511,889,1560,841,23,29,7,5,13,7,5,11,26634,24,1167,27825,43876,
30,VERACRUZ,12,ALVARADO,40,79,5190,1070,733,1801,1543,2575,5411,413,910,375,259,892,2238,1269,156,22,33,4,108,42,56,24,25124,7,976,26107,42944,
30,VERACRUZ,13,AMATITLAN,7,13,188,106,30,71,587,1015,1475,67,237,2,604,33,55,43,1,0,0,0,41,17,1,18,4591,0,186,4777,6142,
30,VERACRUZ,14,AMATLAN DE LOS REYES,26,57,2777,1950,69,169,176,1110,9320,320,598,70,206,164,196,2182,31,12,3,2,17,5,9,16,19402,5,449,19856,31903,
30,VERACRUZ,16,ANGEL R. CABADA,24,45,710,1746,2047,1957,83,1856,7313,116,100,18,26,239,248,81,118,14,18,32,4,0,14,5,16745,3,465,17213,25711,
30,VERACRUZ,18,APAZAPAN,5,6,38,43,54,18,189,385,465,35,827,419,4,23,335,73,4,0,0,0,10,1,3,7,2933,0,88,3021,3597,
30,VERACRUZ,19,AQUILA,1,4,34,49,4,93,10,3,146,2,4,1,0,552,459,9,0,0,0,0,0,0,0,0,1366,0,51,1417,1661,
30,VERACRUZ,20,ASTACINGA,3,9,939,604,101,229,129,162,783,26,9,2,2,20,589,8,1,4,1,0,11,4,9,4,3637,0,84,3721,4911,
30,VERACRUZ,21,ATLAHUILCO,5,13,1390,1449,248,73,247,47,1105,50,40,6,7,47,61,955,6,12,6,5,3,2,2,2,5763,1,277,6041,7517,
30,VERACRUZ,22,ATOYAC,16,35,2132,361,135,287,93,947,4341,315,853,39,206,309,229,312,18,10,0,1,13,4,1,2,10608,62,445,11115,17174,
30,VERACRUZ,23,ATZACAN,11,27,1490,427,1396,162,126,1373,3599,128,380,650,172,880,112,297,28,11,6,3,20,2,6,5,11273,1,479,11753,14918,
30,VERACRUZ,24,ATZALAN,34,80,567,9261,103,1472,399,1171,6763,402,117,53,56,526,456,496,87,51,3,9,13,9,14,21,22049,1,630,22680,35874,
30,VERACRUZ,26,AYAHUALULCO,8,28,781,4713,27,95,62,393,1545,94,29,7,2325,80,225,57,47,41,1,13,2,1,1,4,10543,0,345,10888,16152,
30,VERACRUZ,27,BANDERILLA,9,33,1059,895,1534,473,174,2034,3517,158,617,49,169,160,172,190,171,14,26,17,46,5,14,10,11504,3,361,11868,19291,
30,VERACRUZ,28,BENITO JUAREZ,10,21,2289,2181,44,1259,141,50,2193,43,85,186,0,62,114,64,1,7,1,1,2,1,2,0,8726,1,280,9007,11630,
30,VERACRUZ,29,BOCA DEL RIO,96,213,36227,2953,393,852,406,2652,19404,258,376,92,229,605,549,565,292,118,46,6,127,8,63,86,66307,33,1121,67461,124715,
30,VERACRUZ,30,CALCAHUALCO,5,17,341,1964,131,239,33,124,1692,54,20,12,1537,64,85,32,64,14,1,0,0,0,1,2,6410,0,231,6641,9014,
30,VERACRUZ,7,CAMARON DE TEJEDA,3,9,536,82,944,82,38,159,1874,51,34,5,7,39,47,97,4,4,9,2,2,1,2,1,4020,17,133,4170,5023,
30,VERACRUZ,31,CAMERINO Z. MENDOZA,16,40,1180,1111,1171,267,254,689,7607,285,240,1454,182,649,474,214,166,21,17,13,87,9,21,19,16130,14,610,16754,23317,
30,VERACRUZ,208,CARLOS A. CARRILLO,20,30,316,2408,77,282,425,897,4613,80,72,9,22,101,294,155,10,10,1,5,82,23,14,26,9922,7,571,10500,16810,
30,VERACRUZ,32,CARRILLO PUERTO,8,26,1798,2461,27,134,150,464,3776,142,465,34,16,223,72,34,15,22,0,0,7,1,2,6,9849,7,190,10046,13273,
30,VERACRUZ,33,CASTILLO DE TEAYO,15,27,2476,934,50,141,1051,86,2974,174,491,13,0,73,49,1479,10,3,1,0,36,22,8,23,10094,0,259,10353,14866,
30,VERACRUZ,34,CATEMACO,25,65,851,841,3059,290,707,1310,12451,301,882,67,1008,286,563,258,120,18,35,18,15,2,9,17,23108,6,581,23695,36881,
30,VERACRUZ,35,CAZONES DE HERRERA,15,37,2100,169,2080,370,135,5226,3180,34,161,7,2,52,64,201,3,1,6,0,0,0,0,0,13791,1,261,14053,19134,
30,VERACRUZ,36,CERRO AZUL,24,35,585,632,64,2285,264,1540,4401,43,443,19,0,284,226,130,9,2,2,0,7,4,7,6,10953,4,272,11229,18555,
30,VERACRUZ,56,CHACALTIANGUIS,10,20,126,96,28,70,226,1190,2889,166,1599,5,16,198,94,116,4,1,1,1,24,6,7,12,6875,1,187,7063,9000,
30,VERACRUZ,57,CHALMA,9,20,172,104,32,1715,379,1227,2785,154,26,7,1042,86,78,40,3,1,1,0,2,2,5,7,7868,1,281,8150,9798,
30,VERACRUZ,58,CHICONAMEL,6,9,236,1161,1230,19,31,11,930,110,4,1,8,16,17,74,2,2,3,1,1,0,1,1,3859,0,122,3981,4933,
30,VERACRUZ,59,CHICONQUIACO,8,18,339,106,23,3139,713,573,400,18,21,30,3,39,17,1852,3,2,0,0,0,0,0,0,7278,0,260,7538,9644,
30,VERACRUZ,60,CHICONTEPEC,47,82,975,816,7267,7449,1080,1368,6946,227,141,327,117,539,333,497,71,16,39,18,11,6,23,21,28287,40,1046,29373,39938,
30,VERACRUZ,61,CHINAMECA,13,25,134,2340,341,88,110,828,3166,160,55,19,8,201,256,1111,3,2,1,1,10,0,3,6,8843,3,267,9113,13673,
30,VERACRUZ,62,CHINAMPA DE GOROSTIZA,10,22,3885,101,22,94,15,544,2881,42,26,0,16,20,223,54,9,7,5,0,7,0,3,2,7956,0,127,8083,10869,
30,VERACRUZ,64,CHOCAMAN,7,22,699,568,1448,2015,69,842,3140,118,35,28,222,262,140,83,36,5,7,8,5,0,10,2,9742,4,310,10056,14165,
30,VERACRUZ,65,CHONTLA,10,19,1911,1515,76,124,66,1056,1763,66,28,4,24,54,43,170,8,11,2,1,16,0,4,1,6943,1,294,7238,9705,
30,VERACRUZ,66,CHUMATLAN,2,5,40,16,883,72,875,23,338,2,2,0,4,60,10,294,2,0,2,0,0,0,0,8,2631,1,61,2693,3191,
30,VERACRUZ,37,CITLALTEPETL,9,15,1527,1021,15,55,80,35,950,15,12,6,1354,11,97,321,8,1,1,1,13,2,2,3,5530,2,128,5660,7414,
30,VERACRUZ,38,COACOATZINTLA,5,15,358,161,786,973,689,871,714,31,834,173,6,101,83,22,10,0,5,0,0,0,0,0,5817,2,273,6092,7819,
30,VERACRUZ,39,COAHUITLAN,3,9,1989,34,185,176,1491,29,787,7,2,3,28,11,66,29,2,2,6,0,34,17,1,12,4911,0,82,4993,5928,
30,VERACRUZ,40,COATEPEC,51,124,5820,3137,655,1012,375,4304,15606,791,1334,170,494,849,875,1547,235,84,19,6,70,10,44,55,37492,50,1374,38916,70613,
30,VERACRUZ,41,COATZACOALCOS,217,443,6341,18731,1925,3569,2314,8226,70660,1257,1323,734,1065,2193,848,2757,695,164,26,60,360,40,196,340,123824,141,2586,126551,245505,
30,VERACRUZ,42,COATZINTLA,29,68,662,1117,2889,894,478,1772,8310,190,360,257,157,1916,389,904,115,10,9,19,109,28,56,24,20665,44,523,21232,39832,
30,VERACRUZ,43,COETZALA,2,3,86,54,6,32,277,4,504,13,353,2,0,259,7,4,2,1,0,0,10,2,0,6,1622,1,40,1663,1832,
30,VERACRUZ,44,COLIPA,6,10,79,21,1218,457,500,50,606,15,785,2,0,12,13,4,5,2,3,1,0,0,0,0,3773,0,174,3947,4725,
30,VERACRUZ,45,COMAPA,10,26,3192,3820,55,848,67,85,2472,58,30,9,6,53,74,321,2,8,1,1,28,14,13,5,11162,0,279,11441,14955,
30,VERACRUZ,46,CORDOBA,114,278,12137,9654,2046,1859,1023,6054,39830,1920,1433,1863,497,1222,1969,3092,728,216,29,35,302,32,147,137,86225,120,2745,89090,160487,
30,VERACRUZ,47,COSAMALOAPAN,41,81,3383,808,333,3455,1788,1594,8976,603,946,32,573,677,740,248,55,12,9,2,21,5,20,26,24306,5,970,25281,42242,
30,VERACRUZ,48,COSAUTLAN DE CARVAJAL,9,21,2283,201,36,101,838,1106,2037,87,82,17,112,49,167,61,31,14,7,1,23,16,3,25,7297,1,413,7711,11501,
30,VERACRUZ,49,COSCOMATEPEC,22,63,1271,2348,2442,711,1698,6629,4291,220,282,349,121,289,234,299,324,51,45,38,9,2,9,18,21680,12,958,22650,38583,
30,VERACRUZ,50,COSOLEACAQUE,69,163,2530,13298,1074,445,511,746,24461,332,180,259,161,677,458,2210,445,132,22,77,106,24,17,63,48228,11,1317,49556,88967,
30,VERACRUZ,51,COTAXTLA,14,32,4690,147,43,99,96,3768,3541,73,38,4,43,55,37,78,23,12,3,1,5,0,6,7,12769,1,308,13078,16557,
30,VERACRUZ,52,COXQUIHUI,9,20,1181,40,99,56,26,9,918,23,14,1,1,27,26,770,2,2,3,0,3,2,1,2,3206,0,85,3291,11481,
30,VERACRUZ,53,COYUTLA,11,28,407,182,194,103,89,4739,5463,119,55,8,14,638,483,55,1,1,1,0,4,0,2,1,12559,2,235,12796,16791,
30,VERACRUZ,54,CUICHAPA,7,16,1227,1595,20,347,39,55,2838,36,3,39,2,260,42,37,3,3,0,0,3,1,0,3,6553,0,148,6701,9018,
30,VERACRUZ,55,CUITLAHUAC,17,38,2631,2229,75,748,209,359,4206,70,1237,289,22,116,50,60,47,30,8,3,94,14,39,8,12544,31,452,13027,20771,
