ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,NAY,PAN_PRD_NAY,PAN_PRD,PAN_NAY,PRD_NAY,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,1,MERIDA,84,192,20694,11972,375,734,560,1267,16820,684,320,1111,313,0,0,16,0,47,54913,26,1682,56621,111417,
31,YUCATAN,2,MERIDA,127,223,23753,12675,567,1364,511,1555,16890,547,232,749,381,0,0,0,0,0,59224,68,1741,61033,115540,
31,YUCATAN,3,MERIDA,68,221,20841,10597,364,1383,596,1463,19295,704,296,978,409,0,0,600,0,317,57843,57,1175,59075,138075,
31,YUCATAN,4,MERIDA,69,226,39705,11687,641,813,462,1701,15398,620,238,696,341,0,0,34,0,0,72336,45,1439,73820,133896,
31,YUCATAN,5,MERIDA,70,194,34342,10714,590,1036,443,1562,13462,502,247,785,317,0,0,0,0,0,64000,47,1011,65058,115310,
31,YUCATAN,6,KANASIN,42,161,16144,12882,3622,1725,633,4440,15758,1538,424,2115,1706,0,0,0,0,0,60987,18,1452,62457,105160,
31,YUCATAN,7,MERIDA,52,184,15726,11485,407,746,744,1108,15459,564,255,805,379,0,0,153,0,0,47831,24,1845,49700,114489,
31,YUCATAN,8,UMAN,62,175,16365,13283,2355,3020,3389,7075,21875,1968,624,711,410,0,0,64,0,0,71139,13,1825,72977,104051,
31,YUCATAN,9,PROGRESO,81,188,23869,17507,313,4567,565,3045,19323,3576,395,682,690,0,0,28,0,10,74570,16,2098,76684,112034,
31,YUCATAN,10,TIZIMIN,74,170,29007,18772,267,311,770,714,17179,452,326,248,3720,0,0,0,0,0,71766,4,1278,73048,97898,
31,YUCATAN,11,VALLADOLID,65,167,25209,20176,274,2087,1298,1243,16862,1424,545,234,3100,0,0,562,0,137,73151,39,1040,74230,101390,
31,YUCATAN,12,TEKAX,72,171,16353,20225,10112,4499,6563,2060,10469,407,156,1369,1336,0,511,0,0,0,74060,8,1590,75658,101189,
31,YUCATAN,13,TICUL,66,172,23840,13361,2785,512,1024,3071,24440,586,708,1800,4181,0,0,188,0,0,76496,15,1680,78191,101927,
31,YUCATAN,14,TECOH,84,174,28619,23424,2399,6877,654,1646,15119,1385,272,511,1911,0,0,201,0,0,83018,101,763,83882,100332,
31,YUCATAN,15,IZAMAL,101,198,30025,23253,3467,2199,325,2726,19612,811,206,2139,2478,0,0,83,0,0,87324,10,1972,89306,107356,
